"HID","median_probs","mean_probs","cilow","cihigh","cisize","standarddev"
75,0,0.07,0,1,1,0.255274685711618
76,0,0.019,0,0,0,0.136593036636783
77,0,0.002,0,0,0,0.0446989708829856
78,0,0,0,0,0,0
79,0,0.002,0,0,0,0.0446989708829856
80,0,0.04,0,1,1,0.196057232558349
81,0.5,0.5,0,1,1,0.500250187656387
82,1,0.988,1,1,0,0.108939744206914
156,0,0.044,0,1,1,0.205197724417465
157,0,0.006,0,0,0,0.0772655807586403
158,0,0.001,0,0,0,0.0316227766016838
159,0,0,0,0,0,0
160,0,0.005,0,0,0,0.0705689732104696
161,0,0.286,0,1,1,0.452115481274871
162,1,0.766,0,1,1,0.423584021680969
238,0,0.016,0,0,0,0.125537881771837
239,0,0.001,0,0,0,0.0316227766016838
240,0,0,0,0,0,0
241,0,0.001,0,0,0,0.0316227766016838
242,0,0.023,0,0,0,0.149978310076802
243,0,0.477,0,1,1,0.499720642680209
255,1,0.988,1,1,0,0.108939744206914
320,0,0.045,0,1,1,0.207407854282373
321,0,0.001,0,0,0,0.0316227766016838
322,0,0.001,0,0,0,0.0316227766016838
323,0,0.005,0,0,0,0.0705689732104696
324,0,0.169,0,1,1,0.374939434548541
325,1,0.657,0,1,1,0.474949025240158
335,1,0.987,1,1,0,0.113330683593826
336,1,0.946,0,1,1,0.226130792098589
401,0,0.007,0,0,0,0.0834143750078963
402,0,0,0,0,0,0
403,0,0,0,0,0,0
404,0,0.009,0,0,0,0.0944877131056093
405,0,0.264,0,1,1,0.441019839121211
406,1,0.985,1,1,0,0.121613279660528
410,1,1,1,1,0,0
412,1,1,1,1,0,0
416,1,0.992,1,1,0,0.0891288053546324
417,1,0.87,0,1,1,0.336471712352188
418,1,0.926,0,1,1,0.261901875885975
421,1,0.587,0,1,1,0.492619197427053
483,0,0.016,0,0,0,0.125537881771837
484,0,0.001,0,0,0,0.0316227766016838
485,0,0.003,0,0,0,0.054717401199198
486,0,0.114,0,1,1,0.317970289657863
487,1,0.855,0,1,1,0.352277020396022
493,1,1,1,1,0,0
494,1,1,1,1,0,0
498,1,0.94,0,1,1,0.237605674293474
499,1,0.806,0,1,1,0.395626743939942
502,0,0.36,0,1,1,0.480240180150131
503,0,0.374,0,1,1,0.484105730557239
564,0,0.107,0,1,1,0.309267920493941
565,0,0.011,0,0,0,0.104354635210372
566,0,0.006,0,0,0,0.0772655807586403
567,0,0.021,0,0,0,0.143455845400526
568,0,0.391,0,1,1,0.488218554908923
573,1,1,1,1,0,0
574,1,1,1,1,0,0
575,1,1,1,1,0,0
578,1,0.972,0,1,1,0.16505527329729
579,1,0.701,0,1,1,0.458048915301421
580,1,0.648,0,1,1,0.477832946043201
582,0,0.314,0,1,1,0.464348597090181
583,0,0.054,0,1,1,0.226130792098589
645,0,0.323,0,1,1,0.467856698028242
646,0,0.02,0,0,0,0.140070052543788
647,0,0.042,0,1,1,0.200689502157627
648,0,0.264,0,1,1,0.441019839121211
649,1,0.886,0,1,1,0.317970289657863
654,1,1,1,1,0,0
655,1,1,1,1,0,0
656,1,1,1,1,0,0
657,1,0.997,1,1,0,0.054717401199198
660,1,0.841,0,1,1,0.36585906146063
661,1,0.568,0,1,1,0.495602281695334
663,0,0.283,0,1,1,0.450681832465115
664,0,0.027,0,1,1,0.162164414398774
665,0,0.013,0,0,0,0.113330683593826
666,0,0.167,0,1,1,0.373162498451077
727,0,0.41,0,1,1,0.492079406338187
728,0,0.247,0,1,1,0.431482534034898
729,0,0.24,0,1,1,0.427296831936047
730,1,0.65,0,1,1,0.477208264521611
736,1,1,1,1,0,0
737,1,1,1,1,0,0
738,1,0.994,1,1,0,0.0772655807586403
741,1,0.919,0,1,1,0.272971634998059
742,1,0.569,0,1,1,0.495463908357092
745,0,0.042,0,1,1,0.200689502157627
746,0,0.003,0,0,0,0.054717401199198
747,0,0.003,0,0,0,0.054717401199198
748,0,0.107,0,1,1,0.309267920493941
809,1,0.639,0,1,1,0.480530862598762
810,1,0.535,0,1,1,0.499023069631078
811,1,0.675,0,1,1,0.468609213091884
816,1,1,1,1,0,0
817,1,1,1,1,0,0
818,1,0.991,1,1,0,0.0944877131056093
819,1,0.987,1,1,0,0.113330683593826
822,1,0.725,0,1,1,0.446737702208549
823,0,0.407,0,1,1,0.491520693961701
825,0,0.03,0,1,1,0.170672578726429
826,0,0.006,0,0,0,0.0772655807586403
827,0,0,0,0,0,0
828,0,0.002,0,0,0,0.0446989708829856
829,0,0.205,0,1,1,0.403903624814309
889,1,0.94,0,1,1,0.237605674293474
890,1,0.81,0,1,1,0.392497202606661
891,1,0.822,0,1,1,0.382704144820072
892,1,0.941,0,1,1,0.235742602375079
898,1,1,1,1,0,0
899,1,0.993,1,1,0,0.0834143750078963
900,1,0.981,1,1,0,0.136593036636783
901,1,0.983,1,1,0,0.129335717138491
904,0,0.435,0,1,1,0.496005061487301
905,0,0.253,0,1,1,0.434948479914783
906,0,0.067,0,1,1,0.250147103868051
907,0,0.004,0,0,0,0.0631505185092568
908,0,0,0,0,0,0
909,0,0,0,0,0,0
910,0,0.002,0,0,0,0.0446989708829856
911,0,0.263,0,1,1,0.440482718191106
972,1,0.889,0,1,1,0.314289321768618
973,1,0.96,0,1,1,0.196057232558349
979,1,1,1,1,0,0
980,1,1,1,1,0,0
981,1,0.986,1,1,0,0.117549214450024
982,1,0.979,1,1,0,0.143455845400526
983,1,0.946,0,1,1,0.226130792098589
985,1,0.585,0,1,1,0.492968577110162
986,0,0.28,0,1,1,0.449223554371097
987,0,0.059,0,1,1,0.235742602375079
988,0,0.01,0,0,0,0.0995485304256668
989,0,0,0,0,0,0
990,0,0,0,0,0,0
991,0,0,0,0,0,0
992,0,0,0,0,0,0
1060,1,1,1,1,0,0
1061,1,0.994,1,1,0,0.0772655807586403
1062,1,0.984,1,1,0,0.125537881771837
1063,1,0.961,0,1,1,0.193691808077979
1064,1,0.879,0,1,1,0.326290461805836
1065,1,0.605,0,1,1,0.489095301770743
1066,0,0.422,0,1,1,0.494125652198062
1067,0,0.163,0,1,1,0.369550493934953
1068,0,0.019,0,0,0,0.136593036636783
1069,0,0.001,0,0,0,0.0316227766016838
1070,0,0,0,0,0,0
1071,0,0,0,0,0,0
1072,0,0,0,0,0,0
1073,0,0.014,0,0,0,0.117549214450024
1141,1,1,1,1,0,0
1142,1,1,1,1,0,0
1143,1,0.992,1,1,0,0.0891288053546324
