HID,I001,I002,I003,I004,I005,I006,I007,I008,I009,I010
48763,6,1,1,5,10,8,7,8,1,1
48844,5,9,1,10,5,7,2,3,8,8
48925,3,2,7,3,2,5,2,8,1,9
49005,4,2,6,7,2,10,5,8,9,9
49006,5,8,6,4,8,3,8,6,7,4
49087,10,2,2,7,8,7,8,10,7,7
49168,1,6,5,5,2,7,4,9,8,7
49249,1,3,7,1,5,10,2,8,8,9
49330,7,9,4,10,8,4,8,2,7,3
49492,6,5,7,3,10,6,4,10,9,3
59090,1,7,2,6,5,6,8,5,2,3
59091,10,10,6,8,4,2,1,9,8,4
59092,2,2,5,5,4,2,1,2,5,6
59093,2,7,4,6,7,8,8,9,1,9
59171,4,7,5,5,6,9,7,6,2,5
59172,4,2,10,5,4,2,6,2,8,6
59173,7,6,9,8,3,8,2,6,3,9
59251,8,10,5,7,6,10,2,9,10,8
59252,5,9,9,7,2,6,3,5,2,2
59253,3,5,3,4,4,10,2,2,4,9
59254,10,5,4,1,7,10,6,10,1,10
59262,9,2,4,10,2,8,5,2,4,7
59332,5,9,1,2,10,1,7,5,8,1
59333,5,10,9,9,9,5,6,8,8,1
59334,7,7,7,4,9,6,7,4,10,5
59335,5,6,5,4,5,2,6,3,5,3
59336,5,10,4,7,5,8,2,4,10,6
59344,4,3,1,1,7,5,5,5,5,4
59413,8,2,7,3,6,3,4,6,8,10
59414,4,4,4,9,10,1,9,8,5,5
59415,7,3,2,3,4,2,6,6,3,8
59416,2,7,4,3,8,2,8,9,1,1
59424,1,10,7,3,6,2,6,9,8,5
59425,9,3,3,7,3,1,9,8,9,8
59494,5,8,6,1,6,3,4,5,4,4
59495,3,4,4,2,7,10,1,8,1,6
59496,5,6,1,5,8,8,2,3,1,2
59497,6,2,10,10,7,9,3,3,4,3
59506,8,3,10,6,2,8,1,5,3,5
59507,8,5,8,1,8,3,7,2,2,9
59576,4,7,2,4,4,7,5,7,5,6
59577,5,3,8,2,3,5,7,2,6,4
59578,10,2,3,6,8,6,6,8,8,7
59579,7,10,10,5,4,1,3,3,1,7
59587,2,6,2,9,5,4,1,1,8,6
59588,9,1,1,5,9,1,4,6,7,3
59589,2,3,6,5,6,7,4,5,10,2
59656,10,10,9,7,8,10,2,9,8,1
59657,8,3,8,6,7,7,9,5,5,6
59658,9,6,9,10,6,3,5,8,8,7
59659,9,8,3,8,1,9,2,7,6,7
59668,6,3,5,3,4,1,5,10,3,6
59669,4,9,9,3,8,10,8,6,4,1
59670,2,1,6,1,4,10,2,10,7,2
59736,5,2,4,3,6,9,2,5,6,6
59737,6,9,1,8,8,7,6,8,7,6
59738,5,8,1,3,8,10,1,7,8,7
59739,7,1,1,10,4,1,5,3,4,5
59740,5,10,6,2,3,5,3,4,6,10
59741,8,8,8,6,3,4,4,8,2,7
59749,7,7,6,8,4,4,6,3,2,6
59750,3,1,7,8,9,10,1,4,1,2
59751,10,1,3,1,4,1,1,9,4,3
59752,5,10,9,3,6,5,4,4,10,6
59816,4,3,1,5,4,9,8,5,10,8
59817,9,5,9,8,4,2,5,6,5,7
59818,1,2,7,9,5,4,5,9,5,6
59819,10,10,9,9,7,7,1,3,3,10
59820,9,3,8,4,3,7,5,3,5,9
59821,9,3,4,5,5,10,8,7,6,3
59822,7,2,9,6,10,5,8,9,7,6
59830,5,3,4,2,5,7,9,5,3,2
59831,10,8,7,3,1,7,10,8,4,8
59832,4,10,3,10,1,3,2,7,9,5
59833,8,10,7,6,1,10,9,3,10,8
59834,4,8,7,3,6,7,10,7,7,8
59895,10,3,2,2,6,7,7,8,9,3
59896,1,7,10,6,2,7,6,4,6,1
59897,10,8,6,5,3,7,2,4,10,5
59898,10,2,5,3,4,8,7,8,2,8
59899,7,1,7,3,1,3,1,10,8,1
59900,4,5,2,8,5,2,7,10,8,3
59901,1,9,5,2,5,8,5,1,8,3
59902,5,8,3,4,6,3,1,8,2,4
59903,1,9,6,10,8,10,9,8,5,4
59910,10,8,7,7,4,5,2,9,8,7
59911,3,6,4,4,3,4,8,9,7,9
59912,2,5,6,2,10,4,6,7,10,10
59913,7,8,2,9,3,10,9,8,4,9
59914,7,6,9,7,10,10,6,4,4,7
59915,1,3,6,2,6,1,3,1,3,8
59976,3,6,6,1,7,6,9,4,8,7
59977,5,6,9,8,8,7,6,4,1,10
59978,9,4,9,1,4,2,2,2,2,6
59979,1,4,5,4,7,7,6,7,9,3
59980,10,6,1,3,6,4,2,1,3,6
59981,3,9,10,1,5,5,9,8,2,4
59982,1,6,3,8,5,10,3,4,4,3
59983,7,10,7,7,8,4,10,1,5,5
59984,4,10,4,7,5,8,7,2,2,8
59985,9,4,9,5,10,1,6,2,8,1
59991,3,10,8,8,6,1,9,10,4,10
59992,8,3,3,9,9,6,10,9,9,1
59993,5,5,10,10,4,10,5,3,6,3
59994,3,10,6,10,10,6,3,5,5,6
59995,5,2,2,6,6,9,8,9,1,1
59996,2,4,7,2,6,1,6,5,9,8
59997,4,2,4,5,10,7,5,6,10,7
60057,10,9,5,2,10,1,5,8,2,10
60058,3,8,7,9,4,4,7,5,8,7
60059,3,4,8,9,7,7,10,1,8,8
60060,2,9,2,5,1,10,6,9,10,9
60061,5,2,3,5,7,2,5,4,5,10
60062,4,3,1,5,4,7,2,8,6,5
60063,10,3,9,7,5,4,3,9,4,9
60064,3,4,5,7,9,6,5,10,2,8
60065,4,1,10,4,1,6,9,6,6,5
60066,4,7,4,9,10,10,3,4,5,9
60067,6,8,6,7,3,8,7,1,4,7
60073,1,7,4,3,9,2,2,1,4,1
60074,4,6,4,2,8,1,5,7,10,1
60075,9,1,8,9,4,7,6,4,1,8
60076,3,7,5,6,5,4,10,9,1,8
60077,7,9,10,4,2,10,9,1,8,3
60078,1,4,3,7,1,9,10,2,10,2
60137,2,8,9,8,7,2,6,3,9,10
60138,2,1,9,8,2,3,9,3,8,2
60139,9,7,1,2,9,2,9,9,6,8
60140,3,9,4,6,1,5,2,7,9,2
60141,6,10,2,5,6,8,9,1,5,3
60142,1,5,9,9,5,3,8,6,5,1
60143,5,7,4,7,6,8,7,9,8,7
60144,6,9,5,9,5,8,5,5,9,5
60145,4,3,10,10,8,8,8,7,8,6
60146,7,1,5,9,1,2,7,2,5,10
60147,5,9,6,3,6,8,1,3,1,4
60148,7,7,8,3,8,10,10,6,9,10
60153,3,6,9,5,5,1,4,6,2,4
60154,7,1,10,8,9,4,2,2,1,2
60155,5,5,3,8,8,4,7,10,6,10
60156,3,4,10,8,8,7,2,3,6,1
60157,8,9,3,6,4,3,2,6,2,4
60158,7,2,1,7,9,10,9,10,4,2
60159,10,1,6,9,5,6,7,10,2,7
60218,10,1,3,1,2,9,1,7,4,3
60219,9,1,6,9,5,3,7,5,9,8
60220,2,10,10,5,10,4,8,3,1,9
60221,1,9,7,2,8,7,9,7,3,1
60222,2,8,6,4,4,7,1,1,7,10
60223,7,2,3,8,6,3,10,2,5,6
60224,10,10,9,5,6,5,7,4,3,4
60225,7,3,2,2,9,1,10,6,5,6
60226,7,10,1,6,8,4,4,3,9,3
60227,6,5,1,5,5,9,10,4,10,6
60228,9,6,8,7,5,2,10,10,10,8
60229,8,6,7,7,7,8,10,4,4,6
60230,4,1,7,10,6,10,9,6,10,6
60235,4,9,6,4,2,3,5,6,5,3
60236,10,8,4,4,8,2,4,1,2,9
60237,1,2,10,9,6,4,10,1,6,4
60238,5,8,1,8,9,6,8,8,5,3
60239,7,10,5,1,6,3,6,7,10,1
60240,1,4,8,9,4,4,3,1,7,3
60299,10,5,1,10,8,3,2,7,2,5
60300,3,6,3,4,10,7,8,8,3,7
60301,10,3,3,8,10,7,3,10,6,10
60302,4,3,5,1,2,10,10,3,5,2
60303,1,3,5,9,9,2,8,4,1,2
60304,8,8,3,1,7,5,7,4,8,9
60305,10,9,4,4,8,1,8,3,8,9
60306,10,7,4,3,4,9,8,9,8,9
60307,10,7,7,10,6,5,10,8,3,7
60308,7,6,5,4,7,2,7,10,6,9
60309,10,5,7,9,2,5,6,8,10,8
60310,10,3,7,1,9,2,10,7,6,5
60311,9,7,6,7,2,2,9,9,7,10
60312,3,1,8,1,10,3,4,3,7,9
60316,4,10,8,2,10,9,9,2,6,7
60317,6,1,7,9,6,5,3,3,6,9
60318,7,2,3,10,6,7,5,6,9,10
60319,5,1,4,4,10,6,5,7,1,6
60320,3,7,2,8,3,7,6,2,3,7
60321,10,9,5,8,9,3,7,2,1,4
60322,10,6,10,6,10,2,5,4,5,5
60379,1,7,6,3,1,9,3,2,5,3
