HID,I001,I002,I003,I004,I005,I006,I007,I008,I009,I010
48763,5,10,5,1,8,10,4,2,7,1
48844,5,10,5,1,8,10,4,2,7,1
48925,5,10,5,1,8,10,4,2,7,1
49005,5,10,5,1,8,10,4,2,7,1
49006,5,10,5,1,8,10,4,2,7,1
49087,5,10,5,1,8,10,4,2,7,1
49168,5,10,5,1,8,10,4,2,7,1
49249,5,10,5,1,8,10,4,2,7,1
49330,5,10,5,1,8,10,4,2,7,1
49492,5,10,5,1,8,10,7,2,7,1
59090,5,10,5,1,8,10,7,2,7,1
59091,5,10,5,1,8,10,4,2,7,1
59092,5,10,5,1,8,10,4,2,7,1
59093,5,10,5,1,8,10,4,2,7,1
59171,5,10,5,1,8,10,7,2,7,1
59172,5,10,5,1,8,10,4,2,7,1
59173,5,10,5,1,8,10,4,2,7,1
59251,5,10,5,1,8,10,7,2,7,1
59252,5,10,5,1,8,10,7,2,7,1
59253,5,10,5,1,8,10,4,2,7,1
59254,5,10,5,1,8,10,4,2,7,1
59262,5,7,5,1,8,10,4,2,7,1
59332,5,10,5,1,8,10,7,2,7,1
59333,5,10,5,1,8,10,7,2,7,1
59334,5,10,5,1,8,10,7,2,7,1
59335,5,10,5,1,8,10,4,2,7,1
59336,5,10,5,1,8,10,4,2,7,1
59344,5,7,5,1,8,10,4,2,7,1
59413,5,10,5,1,8,10,7,2,7,1
59414,5,10,5,1,8,10,7,2,7,1
59415,5,10,5,1,8,10,7,2,7,1
59416,5,10,5,1,8,10,4,2,7,1
59424,5,7,5,1,8,10,4,2,7,1
59425,5,7,5,1,8,10,4,2,7,1
59494,5,10,5,1,8,10,7,2,7,1
59495,5,10,5,1,8,10,7,2,7,1
59496,5,10,5,1,8,10,7,2,7,1
59497,5,10,5,1,8,10,4,2,7,1
59506,5,7,5,1,8,10,4,2,7,1
59507,5,7,5,1,8,10,4,2,7,1
59576,5,10,5,1,8,10,7,2,7,1
59577,5,10,5,1,8,10,7,2,7,1
59578,5,10,5,1,8,10,7,2,7,1
59579,5,10,5,1,8,10,4,2,7,1
59587,5,7,5,1,8,10,4,2,7,1
59588,5,7,5,1,8,10,4,2,7,1
59589,5,7,5,1,8,10,4,2,7,1
59656,5,10,5,1,8,10,7,2,6,1
59657,5,10,5,1,8,10,7,2,7,1
59658,5,10,5,1,8,10,7,2,7,1
59659,5,10,5,1,8,10,7,2,7,1
59668,5,7,5,1,8,10,4,2,7,1
59669,5,7,5,1,8,10,4,2,7,1
59670,5,7,5,1,8,10,4,1,7,1
59736,5,10,5,1,8,10,7,2,6,1
59737,5,10,5,1,8,10,7,2,6,1
59738,5,10,5,1,8,10,7,2,7,1
59739,5,10,5,1,8,10,7,2,7,1
59740,5,10,5,1,8,10,7,2,7,1
59741,5,10,5,1,8,10,4,2,7,1
59749,5,7,5,1,8,10,4,2,7,1
59750,5,7,5,1,8,10,4,2,7,1
59751,5,7,5,1,8,10,4,2,7,1
59752,5,7,5,1,8,10,4,1,7,1
59816,5,10,5,1,8,10,7,3,6,1
59817,5,10,5,1,8,10,7,2,6,1
59818,5,10,5,1,8,10,7,2,6,1
59819,5,10,5,1,8,10,7,2,6,1
59820,5,10,5,1,8,10,7,2,7,1
59821,5,10,5,1,8,10,7,2,7,1
59822,5,10,5,1,8,10,7,2,7,1
59830,5,7,5,1,8,10,4,2,7,1
59831,5,7,5,1,8,10,4,2,7,1
59832,5,7,5,1,8,10,4,2,7,1
59833,5,7,4,1,8,10,4,1,7,1
59834,5,7,4,1,8,10,4,1,7,1
59895,5,10,5,1,8,10,7,3,6,1
59896,5,10,5,1,8,10,7,3,6,1
59897,5,10,5,1,8,10,7,3,6,1
59898,5,10,5,1,8,10,7,2,6,1
59899,5,10,5,1,8,10,7,2,6,1
59900,5,10,5,1,8,10,7,2,7,1
59901,5,10,5,1,8,10,7,2,7,1
59902,5,10,5,1,8,10,7,2,7,1
59903,5,10,5,1,8,10,7,2,7,1
59910,5,7,5,1,8,10,4,2,7,1
59911,5,7,5,1,8,10,4,2,7,1
59912,5,7,5,1,8,10,4,2,7,1
59913,5,7,4,1,8,10,4,1,7,1
59914,5,7,4,1,8,10,4,1,7,1
59915,5,7,4,1,8,10,4,1,7,1
59976,5,10,5,1,8,10,7,3,6,1
59977,5,10,5,1,8,10,7,3,6,1
59978,5,10,5,1,8,10,7,3,6,1
59979,5,10,5,1,8,10,7,2,6,1
59980,5,10,5,1,8,10,7,2,6,1
59981,5,10,5,1,8,10,7,2,6,1
59982,5,10,5,1,8,10,7,2,7,1
59983,5,10,5,1,8,10,7,2,7,1
59984,5,10,5,1,8,10,7,2,7,1
59985,5,10,5,1,8,10,4,2,7,1
59991,5,7,5,1,8,10,4,2,7,1
59992,5,7,5,1,8,10,4,2,7,1
59993,5,7,5,1,8,10,4,2,7,1
59994,5,7,4,1,8,10,4,2,7,1
59995,5,7,4,1,8,10,4,1,7,1
59996,5,7,4,1,8,10,4,1,7,1
59997,5,7,4,1,8,10,4,1,7,1
60057,5,10,5,1,8,10,7,3,6,1
60058,5,10,5,1,8,10,7,3,6,1
60059,5,10,5,1,8,10,7,3,6,1
60060,5,10,5,1,8,10,7,3,6,1
60061,5,10,5,1,8,10,7,2,6,1
60062,5,10,5,1,8,10,7,2,6,1
60063,5,10,5,1,8,10,7,2,7,1
60064,5,10,5,1,8,10,7,2,7,1
60065,5,10,5,1,8,10,7,2,7,1
60066,5,10,5,1,8,10,7,2,7,1
60067,5,10,5,1,8,10,4,2,7,1
60073,5,7,5,1,8,10,4,2,7,1
60074,5,7,5,1,8,10,4,2,7,1
60075,5,7,4,1,8,10,4,2,7,1
60076,5,7,4,1,8,10,4,1,7,1
60077,5,7,4,1,8,10,4,1,7,1
60078,5,7,4,1,8,10,4,1,7,1
60137,5,10,5,1,1,10,7,3,6,1
60138,5,10,5,1,8,10,7,3,6,1
60139,5,10,5,1,8,10,7,3,6,1
60140,5,10,5,1,8,10,7,3,6,1
60141,5,10,5,1,8,10,7,2,6,1
60142,5,10,5,1,8,10,7,2,6,1
60143,5,10,5,1,8,10,7,2,6,1
60144,5,10,5,1,8,10,7,2,7,1
60145,5,10,5,1,8,10,7,2,7,1
60146,5,10,5,1,8,10,7,2,7,1
60147,5,10,5,1,8,10,7,2,7,1
60148,5,10,5,1,8,10,4,2,7,1
60153,5,7,5,1,8,10,4,2,7,1
60154,5,7,5,1,8,10,4,2,7,1
60155,5,7,4,1,8,10,4,2,7,1
60156,5,7,4,1,8,10,4,2,7,1
60157,5,7,4,1,8,10,4,1,7,1
60158,5,7,4,1,8,10,4,1,7,1
60159,5,7,4,1,8,10,4,1,7,1
60218,5,10,5,1,1,10,7,3,6,1
60219,5,10,5,1,1,10,7,3,6,1
60220,5,10,5,1,8,10,7,3,6,1
60221,5,10,5,1,8,10,7,3,6,1
60222,5,10,5,1,8,10,7,2,6,1
60223,5,10,5,1,8,10,7,2,6,1
60224,5,10,5,1,8,10,7,2,6,1
60225,5,10,5,1,8,10,7,2,6,1
60226,5,10,5,1,8,10,7,2,7,1
60227,5,10,5,1,8,10,7,2,7,1
60228,5,10,5,1,8,10,7,2,7,1
60229,5,10,5,1,8,10,4,2,7,1
60230,5,7,5,1,8,10,4,2,7,1
60235,5,7,5,1,8,10,4,2,7,1
60236,5,7,4,1,8,10,4,2,7,1
60237,5,7,4,1,8,10,4,2,7,1
60238,5,7,4,1,8,10,4,1,7,1
60239,5,7,4,1,8,10,4,1,7,1
60240,5,7,4,1,8,10,4,1,7,1
60299,5,10,5,2,1,1,7,3,6,1
60300,5,10,5,1,1,10,7,3,6,1
60301,5,10,5,1,1,10,7,3,6,1
60302,5,10,5,1,8,10,7,3,6,1
60303,5,10,5,1,8,10,7,3,6,1
60304,5,10,5,1,8,10,7,2,6,1
60305,5,10,5,1,8,10,7,2,6,1
60306,5,10,5,1,8,10,7,2,6,1
60307,5,10,5,1,8,10,7,2,7,1
60308,5,10,5,1,8,10,7,2,7,1
60309,5,10,5,1,8,10,7,2,7,1
60310,5,10,5,1,8,10,7,2,7,1
60311,5,10,5,1,8,10,4,2,7,1
60312,5,7,5,1,8,10,4,2,7,1
60316,5,7,5,1,8,10,4,2,7,1
60317,5,7,4,1,8,10,4,2,7,1
60318,5,7,4,1,8,10,4,2,7,1
60319,5,7,4,1,8,10,4,1,7,1
60320,5,7,4,1,8,10,4,1,7,1
60321,5,7,4,1,8,10,4,1,7,1
60322,4,7,4,1,8,10,4,1,7,1
60379,5,10,5,2,1,1,7,3,5,2
60380,5,10,5,1,1,1,7,3,6,1
60381,5,10,5,1,1,10,7,3,6,1
60382,5,10,5,1,8,10,7,3,6,1
60383,5,10,5,1,8,10,7,3,6,1
60384,5,10,5,1,8,10,7,2,6,1
60385,5,10,5,1,8,10,7,2,6,1
60386,5,10,5,1,8,10,7,2,6,1
60387,5,10,5,1,8,10,7,2,6,1
60388,5,10,5,1,8,10,7,2,7,1
60389,5,10,5,1,8,10,7,2,7,1
60390,5,10,5,1,8,10,7,2,7,1
60391,5,10,5,1,8,10,7,2,7,1
60392,5,7,5,1,8,10,4,2,7,1
60393,5,7,5,1,8,10,4,2,7,1
60397,5,7,4,1,8,10,4,2,7,1
60398,5,7,4,1,8,10,4,2,7,1
60399,5,7,4,1,8,10,4,2,7,1
60400,5,7,4,1,8,10,4,1,7,1
60401,4,7,4,1,8,10,4,1,7,1
60402,4,7,4,1,8,10,4,1,7,1
60403,4,7,4,1,8,10,4,1,7,1
60460,5,10,5,2,1,1,7,3,5,2
60461,5,10,5,2,1,1,7,3,6,2
60462,5,10,5,1,1,10,7,3,6,1
60463,5,10,5,1,1,10,7,3,6,1
60464,5,10,5,1,8,10,7,3,6,1
60465,5,10,5,1,8,10,7,3,6,1
60466,5,10,5,1,8,10,7,2,6,1
60467,5,10,5,1,8,10,7,2,6,1
60468,5,10,5,1,8,10,7,2,6,1
60469,5,10,5,1,8,10,7,2,7,1
60470,5,10,5,1,8,10,7,2,7,1
60471,5,10,5,1,8,10,7,2,7,1
60472,5,10,5,1,8,10,7,2,7,1
60473,5,7,5,1,8,10,4,2,7,1
60474,5,7,5,1,8,10,4,2,7,1
60478,5,7,4,1,8,10,4,2,7,1
60479,5,7,4,1,8,10,4,2,7,1
60480,5,7,4,1,8,10,4,2,7,1
60481,5,7,4,1,8,10,4,1,7,1
60482,4,7,4,1,8,10,4,1,7,1
60483,4,7,4,1,8,10,4,1,7,1
60484,4,7,4,1,8,10,4,1,7,1
60541,5,10,5,2,1,1,7,3,5,2
60542,5,10,5,2,1,1,7,3,5,2
60543,5,10,5,1,1,1,7,3,6,2
60544,5,10,5,1,1,10,7,3,6,1
60545,5,10,5,1,1,10,7,3,6,1
60546,5,10,5,1,8,10,7,3,6,1
60547,5,10,5,1,8,10,7,2,6,1
60548,5,10,5,1,8,10,7,2,6,1
60549,5,10,5,1,8,10,7,2,6,1
60550,5,10,5,1,8,10,7,2,6,1
60551,5,10,5,1,8,10,7,2,7,1
60552,5,10,5,1,8,10,7,2,7,1
60553,5,10,5,1,8,10,7,2,7,1
60554,5,10,5,1,8,10,7,2,7,1
60555,5,7,5,1,8,10,4,2,7,1
60556,5,7,5,1,8,10,4,2,7,1
60557,5,7,5,1,8,10,4,2,7,1
60560,5,7,4,1,8,10,4,2,7,1
60561,5,7,4,1,8,10,4,2,7,1
60562,5,7,4,1,8,10,4,2,7,1
60563,4,7,4,1,8,10,4,1,7,1
