HID,BIO03_Mean,TN10P_IDW1N10,GSL_IDW1N10,TNX_IDW1N10,ID_IDW1N10,BIO14_Mean,BIO18_Mean,CWD_IDW1N10,RX1DAY_IDW1N10,WSDI_IDW1N10
7931,29.302514,0.970735,96.13068,10.814949,127.581736,56.808441,290.765448,14.933682,55.224626,69.778061
7853,25.904666,0.355309,84.836874,11.384759,87.147349,105.440353,361.701158,11.864623,57.28834,104.830298
7852,27.884468,0.79082,53.352848,10.525957,152.288986,61.392703,283.698824,12.006204,62.051741,74.364338
7851,25.998766,1.039927,69.84608,10.079659,156.881374,69.177007,333.794177,13.486314,57.874537,65.510838
7850,28.224549,1.11528,99.907364,11.498949,135.012243,62.610029,315.073531,14.756991,52.775767,64.190278
7772,26.940888,0.249457,93.824822,11.382601,69.123609,109.709264,391.950888,11.228615,55.006766,112.329787
7771,24.048089,0.850159,21.742938,10.926939,175.477031,100.612694,358.539263,10.700126,63.132199,64.460929
7770,26.341012,1.0826,39.633105,9.041639,187.060127,70.135216,329.792659,12.219469,61.027015,61.901596
7769,23.920122,1.411488,50.546277,9.127845,186.76529,75.165744,363.987533,13.652153,56.42134,62.252023
7690,23.737068,0.473119,33.771713,10.369816,148.998807,113.909696,396.951261,10.597464,64.229799,87.340257
7689,26.363957,1.015806,31.676192,8.648924,188.433445,72.492288,306.803119,11.63099,61.464812,64.016407
7688,22.663099,1.542782,28.390377,7.481259,215.344414,84.891564,389.545146,12.989103,57.742689,58.192913
7687,24.741938,1.534232,61.421563,9.228562,182.164047,68.761532,348.663278,14.380986,53.066886,56.849491
7609,20.268249,0.78734,27.678586,8.875066,179.540433,129.59045,434.296543,11.025317,62.597063,73.563054
7608,21.633556,1.652062,9.388243,5.426801,246.696458,106.429133,425.312379,11.883192,57.54607,49.677065
7607,21.664599,1.797062,26.632626,6.909553,230.243732,83.35412,400.591525,13.247674,53.310837,52.118059
7606,22.697174,1.671248,52.821529,10.048138,184.566708,70.449699,356.569186,14.942817,53.270715,52.640288
7528,23.502555,0.490533,43.164542,9.68455,145.259615,112.028515,389.435394,10.729135,62.378321,90.267905
7527,21.015148,1.379493,3.307831,4.781871,255.132866,124.958602,431.798146,10.906105,56.783354,45.609801
7526,20.059652,1.811363,10.37628,5.309468,253.520286,107.876042,453.424636,12.351621,54.029512,49.27566
7525,20.215332,2.053919,23.649855,7.031567,232.424173,85.449467,415.256855,14.169407,52.981844,51.556281
7524,23.402877,1.802722,58.812779,10.368643,178.0981,56.985516,309.151601,14.881093,49.869767,46.444806
7446,19.654648,1.063762,6.654483,6.053737,233.97335,132.191096,448.051224,11.13575,62.148806,54.157693
7445,19.254377,1.739127,3.220184,4.469629,265.849454,128.815484,471.405899,11.520371,53.603682,44.620167
7444,19.471718,2.470929,6.118226,4.170338,271.446714,102.518133,458.096608,13.061326,49.18076,46.716289
7443,18.231644,2.041897,31.4609,8.418782,217.847764,84.204491,414.532893,14.477662,50.829511,48.779866
7442,22.526779,1.735704,59.014979,11.659762,165.89622,51.424256,292.172445,14.322114,48.633174,41.205963
7366,24.308413,0.551946,25.171513,8.854293,176.043723,98.348211,348.716666,11.184088,64.649477,83.663956
7365,19.03923,1.345016,1.519846,5.118016,255.689741,137.639613,456.879804,11.115472,56.805605,50.737577
7364,18.898281,2.477952,0.0,2.835615,293.525623,121.921792,480.909973,11.957116,43.864435,44.878134
7363,18.699326,2.642772,6.605863,5.378762,264.034217,97.956309,457.315893,13.75476,47.630354,47.19144
7362,18.699241,2.125604,28.01826,9.411395,213.466303,70.136482,366.55182,14.440913,48.921547,46.166565
7361,22.467039,1.777759,67.004028,11.515104,156.892887,50.177779,287.083151,13.701508,46.078898,36.76129
7284,21.001954,0.939141,11.62316,6.531298,224.185837,114.811032,398.813018,11.157339,61.676588,64.616594
7283,18.990616,2.191712,0.019709,2.624001,296.962022,131.624747,458.799938,11.090757,43.470171,43.066104
7282,18.113695,2.93658,0.0,3.35539,288.407712,115.575468,486.86547,12.876072,43.455782,47.114127
7281,17.992568,2.753674,6.486123,6.120922,258.580411,86.838763,426.849017,14.255062,46.091494,48.046137
7280,19.336134,2.004662,38.486866,10.738221,194.787368,56.430178,314.617035,13.900577,47.096488,40.971103
7203,24.700416,0.440462,33.103338,9.182712,163.10592,87.039919,313.708707,11.183046,64.445875,89.803204
7202,20.374047,1.548044,3.195071,4.21391,272.078767,118.336321,399.250188,11.076091,53.083963,51.003968
7201,17.685916,2.796157,0.0,2.158023,303.058783,128.640941,485.292419,11.74612,40.967449,43.29323
7200,18.267871,3.391472,0.595455,3.651614,286.608355,103.206382,466.43671,13.923189,41.343848,45.982513
7199,18.429305,2.568256,14.651238,7.99824,238.831033,69.461022,366.293888,14.225184,45.937703,45.969071
7198,21.155585,1.904184,49.058919,11.433934,187.111516,45.893744,270.197154,13.516012,45.127467,36.739071
7122,23.814257,0.853125,11.445355,6.565828,231.335409,92.738514,328.411829,11.106069,62.183933,65.927209
7121,18.073345,2.19801,0.029954,2.821093,296.096525,131.872849,444.997202,11.070741,46.400109,44.068739
7120,17.590344,3.922947,0.0,2.031867,309.099496,119.421513,485.608966,12.609476,35.081559,47.422969
7119,18.099233,3.147179,2.409591,5.296386,270.749525,88.605237,427.819667,14.286057,43.439527,46.270211
7118,20.75086,2.337825,22.106586,9.472738,225.960512,46.552513,276.138209,14.081848,45.429673,42.057002
7117,22.283949,1.678421,61.260126,11.650748,174.810059,38.0115,239.909666,13.032382,42.650185,31.687998
7040,20.654621,1.452238,3.687922,4.535806,269.568105,106.869274,366.377155,10.972521,55.681167,52.675963
7039,16.595752,3.236437,0.0,1.728533,313.661387,131.765865,481.563929,11.596837,36.661544,45.841535
7038,17.861156,3.693677,0.0,2.705315,299.756759,104.947213,461.133493,13.445359,37.04032,46.980104
7037,18.704924,2.911641,7.563936,6.668135,257.778448,69.565942,361.452152,14.130778,43.079798,45.838349
7036,20.848254,2.109896,35.998468,10.911397,208.307452,39.839131,245.001851,13.662736,44.335267,37.787841
7035,21.641089,1.495178,48.987181,11.11903,177.054991,36.067746,231.916765,11.951622,37.071641,29.392002
6959,25.576128,0.58414,15.164672,7.785208,211.043445,81.188444,289.175339,10.912032,64.644917,75.843194
6958,16.852623,2.256252,0.027385,2.484101,303.827117,131.842897,439.148122,11.046034,44.664212,45.43204
6957,16.421293,3.611972,0.0,1.598772,315.626161,120.319826,476.707784,12.201683,33.924432,46.521159
6956,17.945,3.431162,1.492059,3.707413,288.669671,90.453691,425.659731,13.956724,38.890705,44.573921
6955,19.227843,2.481771,15.579064,8.720584,237.966348,53.812468,299.117999,13.920678,44.137103,42.898535
6954,20.76514,1.820381,43.803955,11.150206,200.027286,36.723274,228.150311,12.787925,39.665638,35.019049
6878,20.055122,1.345581,3.737521,4.569653,269.027169,104.381944,359.787276,10.767373,59.012738,53.577378
