HID,BIO08_Mean,TXX_IDW1N10,BIO02_Mean,TN90P_IDW1N10,ID_IDW1N10,BIO14_Mean,BIO18_Mean,CWD_IDW1N10,RX1DAY_IDW1N10,WSDI_IDW1N10
84713,-0.2809971,4.751191,6.810131199999999,11.306106,312.952878,11.281885,85.247419,7.226018,14.939004,6.773861
84633,-0.4107773,5.074491,6.9619002,11.30273,312.697859,12.211335,87.542082,7.616076,15.588196,6.775278
84470,0.1196701,6.608979,7.0960199,11.353831,303.745786,12.567492,82.365228,7.306503,15.822085,6.953512
84390,-0.2137601,7.929287,7.214458,11.338256,301.40928,14.869988,83.981346,7.368587,16.331013,6.900055
84309,-1.0168779,8.868334,7.327451600000001,11.34304,300.989421,17.151422,89.637179,7.94949,16.387098,7.032262
84228,0.1436902,9.329212,7.6627058,11.296245,299.559007,17.608681,86.172089,9.015379,16.089109,7.316013
84147,-0.3430172,8.89897,7.4323283,11.556538,294.905144,17.86894,92.771719,7.766831,16.855963,6.93376
84066,-0.32048,8.790026,7.887240799999999,11.494749,296.040699,22.416169,105.321091,9.253045,16.448343,7.0678
83985,1.2272196,8.33767,7.858708,11.418601,292.833814,19.75909,98.112642,10.567573,16.082518,7.100689
83904,1.1101024000000002,8.534717,7.9830433,11.709514,294.247813,20.169349,99.555717,9.692623,16.916008,6.797681
83823,0.6991539999999999,8.973751,7.9092299,11.409117,292.625387,21.956656,113.962863,11.517089,16.789176,7.196189
83741,2.5981756000000003,8.998734,7.987308,11.79809,286.474097,17.582436,93.585404,9.341444,17.276252,6.851511
83661,1.6489956,10.086152,7.9231346,11.623557,283.027034,20.470013,116.8843,10.343435,17.07615,6.887907
83580,2.9616662,10.582106,7.7765653,11.49064,273.012835,17.517871,123.480257,10.936799,16.646412,7.053396
83498,2.6765958000000003,11.291793,7.936832,11.716541,275.745094,18.884943,118.918562,9.929843,17.342581,6.773129
83418,3.1192744,11.750162,7.7897696,11.636585,267.265783,18.008934,129.305646,10.531481,17.131158,6.792133
83336,3.2216579000000003,11.146825,7.952006299999999,11.971254,267.187995,18.509538,127.525021,9.298286,17.571803,6.801674
83255,3.0460051,12.263882,7.8534308,11.776507,262.318469,19.380037,137.700626,10.365171,17.410913,6.661087
83093,3.5296559000000003,13.57978,7.896432299999999,11.933333,255.333091,19.365247,140.568857,10.110946,18.069794,6.79847
83012,4.1520398,14.028702,7.774080700000001,11.769748,246.383026,17.824544,139.465759,10.878,17.570703,7.076728
82931,4.1287174,13.848208,7.9245524,11.973449,250.401013,19.162346,142.347177,10.05729,18.272693,7.157704
82850,4.1898670000000005,15.924046,7.840155,11.736016,239.765493,19.048669,146.139736,10.877262,17.607251,7.442047
82768,5.1087979,15.412676,7.956229899999999,11.979052,238.530615,18.189616,140.217094,9.971097,18.413856,7.643077
82688,4.9504112,16.510207,7.8740073,11.850717,229.495232,18.783233,145.664868,10.276571,17.603311,7.953614
82607,5.9742965,15.467751,7.765763,11.889115,221.781554,16.427751,136.746375,10.25318,16.972354,8.314519
82606,5.7516878,16.250581,7.9939631,12.026442,231.790381,18.237786,141.359688,9.336529,18.286791,7.730997
82525,6.2635784,16.709849,7.8813859,11.94298,222.230406,17.309086,139.527801,9.897955,17.535045,8.159021
82524,6.249807,15.102057,8.1054779,12.161432,224.071512,18.274495,131.024723,8.922827,18.215759,7.776945
82444,6.543949700000001,15.361101,7.9851878,12.088619,218.536302,18.119597,141.507531,9.34558,17.836932,8.035721
