HID,BIO08_Mean,TXX_IDW1N10,BIO02_Mean,TN90P_IDW1N10,ID_IDW1N10,BIO14_Mean,BIO18_Mean,CWD_IDW1N10,RX1DAY_IDW1N10,WSDI_IDW1N10
28594,15.932705000000002,35.825702,9.8263369,52.035663,0.0,0.0,7.982881,3.734239,13.61465,95.798229
28837,15.8764757,38.741897,9.5800599,51.833825,0.0,0.133102,5.849235,3.791607,12.921549,98.944351
29080,14.78516,40.042892,9.3391522,52.815816,0.0,0.723947,8.789148,3.592525,11.868511,119.708168
29161,15.2306869,36.665162,7.9116011,53.033733,0.0,0.329889,8.434984,2.993578,10.725288,114.738497
29323,13.9881511,38.858715,9.9141576,53.149121,0.0,0.798163,10.051297,3.055296,10.223366,124.940066
30052,18.899789,44.265954,10.3357352,54.641502,0.0,0.361009,6.155596,2.553381,7.719057,128.516776
30133,20.5505407,44.145117,10.6708057,51.976683,0.0,0.000292,6.538767,2.516942,7.259711,116.140036
30213,20.679385,42.879557,7.7404372,52.966344,0.0,0.0,10.621951,2.584075,6.242962,92.707789
30214,21.4172654,46.14416,10.2780175,51.009913,0.0,0.0,7.268251,2.613509,7.107004,111.037929
30293,21.1873204,41.653398,8.0085886,53.127522,0.0,0.0,8.464366,2.679083,6.306318,101.094889
30294,21.0929708,44.721349,9.7563325,51.490519,0.0,0.0,7.732331,2.640308,6.71999,104.51059
30295,21.923496,46.985909,11.7544024,51.57073,0.0,0.0,5.669978,2.635756,7.258217,115.898682
30374,22.1768772,38.156248,9.9619108,55.132537,0.0,0.0,4.879084,2.610793,5.937365,105.767948
30375,21.751817,44.604241,9.540043,51.479019,0.0,0.0,7.02877,2.657397,6.694768,103.711813
30376,22.5843094,48.222738,11.4210727,51.275899,0.0,0.0,4.893475,2.710872,7.273056,116.323103
30456,22.4807731,44.964649,10.2836409,51.045774,0.0,0.0,4.950495,2.678602,6.733418,105.282787
30457,22.3453909,47.914636,11.175446,51.301555,0.0,0.0,4.850871,2.701278,7.308724,116.24732
30536,22.451756,40.892485,11.0528056,53.050016,0.0,0.0,1.941147,2.480443,6.148432,107.251615
30537,22.8021304,46.506222,11.1903627,50.257809,0.0,0.0,2.973804,2.711691,6.911853,108.223698
30538,23.2583286,49.79809,12.4980548,52.018526,0.0,0.0,5.381423,2.785469,7.59795,127.335862
30617,22.7722806,39.559711,10.8565503,53.739925,0.0,0.0,2.13387,2.336745,6.197052,106.417933
30618,23.0075415,47.281351,11.5495497,49.796677,0.0,0.0,2.110354,2.704181,7.095941,109.519818
30619,23.4954386,50.2319,12.359702,52.706208,0.0,0.0,4.736896,2.812885,7.884357,129.406502
30698,23.0529269,39.949218,10.3766231,53.710111,0.0,0.0,3.834529,2.371634,6.350252,109.125931
30699,23.0263754,45.854353,11.6582014,51.485387,0.0,0.0,2.226338,2.649551,7.489203,111.781503
30700,22.9201256,48.677307,12.4274498,51.289191,0.0,0.0,5.333528,2.713302,7.865445,119.505956
30778,23.0884372,37.537193,10.0519364,55.067919,0.0,0.0,6.512376,2.267836,6.174872,116.377938
30779,23.4258966,43.152413,11.3357274,52.197551,0.0,0.0,3.535866,2.482027,7.089712,108.756372
30780,23.2356092,48.428654,12.4412164,51.206329,0.0,0.0,4.88301,2.689163,8.20917,119.374347
30781,23.4745417,50.269024,13.416740999999998,53.916217,0.0,0.0,7.372101,2.861731,8.501127,136.126116
