HID,Folds,BIO03_Mean,TN10P_IDW1N10,GSL_IDW1N10,TNX_IDW1N10,ID_IDW1N10,BIO14_Mean,BIO18_Mean,CWD_IDW1N10,RX1DAY_IDW1N10,WSDI_IDW1N10,PA
48763,8,44.422331,9.639033,365.0,28.150626,0.0,0.0,0.029756,4.058984,10.884981,8.180066,0
48844,8,49.491265,9.388344,365.0,28.387345,0.0,0.0,0.0,3.325922,9.403479,8.861762,0
48925,8,50.350482,9.259908,365.0,28.529658,0.0,0.0,0.0,2.983617,8.667244,9.264228,0
49005,8,49.197429,9.133289,365.0,28.190668,0.0,0.0,0.0,2.713691,8.061059,9.588664,0
49006,8,48.195199,9.338585,365.0,28.495462,0.0,0.0,0.0,3.167598,9.115943,9.012829,0
49087,8,48.519218,9.221139,365.0,28.275065,0.0,0.0,0.0,2.826395,8.333921,9.399618,0
49168,8,47.84091,9.062388,365.0,28.450822,0.0,0.0,0.0,2.458859,7.787118,10.190559,0
49249,8,46.689565,9.275807,364.976315,27.890487,0.0,0.0,0.0,2.823681,8.439803,9.349931,0
49330,8,47.289093,9.147673,364.977871,28.032735,0.0,0.0,0.0,2.546964,7.858371,9.768891,0
49492,8,46.954587,9.276575,364.973919,27.973356,0.0,0.0,0.040738,2.715663,8.501578,9.496191,0
59090,8,46.325027,9.334032,364.976915,27.960449,0.0,0.0,0.06295,2.764715,8.725679,9.305137,0
59091,8,46.322071,9.34795,364.97748,27.509378,0.0,0.0,0.028805,2.745442,8.568961,9.392218,0
59092,8,46.470289,9.342656,364.976961,27.448913,0.0,0.0,0.0,2.955305,8.772521,8.852688,0
59093,8,44.862543,9.524286,365.0,28.119072,0.0,0.0,0.0,3.683032,10.203237,8.50391,0
59171,8,45.495824,9.374749,364.960031,27.59264,0.0,0.0,0.0,2.792209,8.951802,9.215485,0
59172,8,45.619283,9.356185,364.970044,27.323907,0.0,0.0,0.0,2.843302,8.717202,9.067319,0
59173,8,43.628086,9.496744,365.0,27.534852,0.0,0.0,0.0,3.514491,9.843318,8.477381,0
59251,8,43.014212,9.491441,364.957286,29.586884,0.0,0.0,0.0,3.012773,10.758351,8.80419,0
59252,8,44.32079,9.498364,364.795212,27.726514,0.0,0.0,0.0,2.951401,9.923407,8.757362,0
59253,8,44.88806,9.402184,364.952551,27.303666,0.0,0.0,0.0,2.869394,8.854804,9.126252,0
59254,8,44.066097,9.250318,364.985919,26.220693,0.0,0.0,0.0,2.843764,8.560433,8.120033,0
