HID,Folds,BIO08_Mean,TXX_IDW1N10,BIO02_Mean,TN90P_IDW1N10,ID_IDW1N10,BIO14_Mean,BIO18_Mean,CWD_IDW1N10,RX1DAY_IDW1N10,WSDI_IDW1N10,PA
48763,5,14.1490103,36.444241,10.2755769,12.49667,0.0,0.0,0.029756,4.058984,10.884981,8.180066,0
48844,5,13.1503817,40.211433,13.9526213,12.548851,0.0,0.0,0.0,3.325922,9.403479,8.861762,0
48925,5,13.7561524,42.033112,14.422628800000002,12.576547,0.0,0.0,0.0,2.983617,8.667244,9.264228,0
49005,5,13.7465887,42.575943,14.2806531,12.566451,0.0,0.0,0.0,2.713691,8.061059,9.588664,0
49006,5,15.194735900000001,41.232727,13.291028399999998,12.557309,0.0,0.0,0.0,3.167598,9.115943,9.012829,0
49087,5,15.1172025,42.7914,13.4163993,12.55345,0.0,0.0,0.0,2.826395,8.333921,9.399618,0
49168,5,14.554807400000001,43.705662,13.832552699999999,12.57502,0.0,0.0,0.0,2.458859,7.787118,10.190559,0
49249,5,13.9758307,42.725407,12.9835903,12.470872,0.0,0.0,0.0,2.823681,8.439803,9.349931,0
49330,5,12.1660016,43.970074,13.634393399999999,12.437153,0.0,0.0,0.0,2.546964,7.858371,9.768891,0
49492,5,12.2123762,44.479285,13.3555534,12.293804,0.0,0.0,0.040738,2.715663,8.501578,9.496191,0
59090,5,13.249453500000001,44.994578,13.0292292,12.214002,0.0,0.0,0.06295,2.764715,8.725679,9.305137,0
59091,5,14.2207301,43.893359,12.9053821,12.292612,0.0,0.0,0.028805,2.745442,8.568961,9.392218,0
59092,5,15.4059318,42.20269,12.7811044,12.494977,0.0,0.0,0.0,2.955305,8.772521,8.852688,0
59093,5,14.216072,38.333748,11.0728651,12.490437,0.0,0.0,0.0,3.683032,10.203237,8.50391,0
59171,5,14.803897799999998,44.395013,12.4622439,12.196142,0.0,0.0,0.0,2.792209,8.951802,9.215485,0
59172,5,15.378257600000001,43.062798,12.506143,12.376673,0.0,0.0,0.0,2.843302,8.717202,9.067319,0
59173,5,16.0730657,39.320087,11.124689700000001,12.480785,0.0,0.0,0.0,3.514491,9.843318,8.477381,0
59251,5,14.490067999999999,46.19453,11.2288335,11.816014,0.0,0.0,0.0,3.012773,10.758351,8.80419,0
59252,5,12.839376999999999,44.806644,11.8745784,12.008949,0.0,0.0,0.0,2.951401,9.923407,8.757362,0
59253,5,13.4670789,43.193575,12.0411986,12.293322,0.0,0.0,0.0,2.869394,8.854804,9.126252,0
59254,5,15.310673900000001,42.064526,11.6320913,12.63181,0.0,0.0,0.0,2.843764,8.560433,8.120033,0
59262,5,2.9340162,35.048976,11.3936832,11.8885,0.670847,9.992162,45.328661,9.133772,33.986203,11.504789,0
59332,5,14.5021942,46.346524,11.1210861,11.705236,0.0,0.000411,0.02221,2.994676,11.261167,8.441124,0
59333,5,11.2683004,45.776208,11.6423244,11.824729,0.0,0.0,0.002908,3.091452,10.778562,8.768177,0
59334,5,10.9779924,44.084802,11.6988465,12.060347,0.0,0.0,0.0,2.922156,9.726883,8.752064,0
59335,5,12.8307516,42.049389,11.3549668,12.340978,0.0,0.0,0.0,3.081966,9.206057,8.77794,0
59336,5,15.372285999999999,38.420643,9.7622816,12.40382,0.0,0.0,0.269634,3.782892,10.403961,8.282386,0
59344,5,1.2585954,37.257493,11.9582003,11.724726,1.570293,12.516574,55.770865,9.811193,35.380628,11.675382,0
