"HID","bayesmean-orig","bayesmed-orig"
75,0.00383149071582722,3.72949682014323e-05
76,0.000168810351662368,1.82679504371245e-06
77,1.90608216989526e-05,1.94651563818965e-07
78,9.47160808838051e-06,1.0642839765535e-07
79,2.0628424164343e-05,2.24847973666641e-07
80,0.000278032460996356,3.71983752326799e-06
81,0.0134891098242546,0.000270240392862349
82,0.0674239508648704,0.00332152618564933
156,0.00217535675092937,2.17469184102758e-05
157,0.000283144250244431,3.34117894984255e-06
158,1.52919037021348e-05,1.56860252568722e-07
159,7.55046163282136e-06,8.27445593079792e-08
160,4.97457683337972e-05,5.35199296912763e-07
161,0.00301583599656533,4.20900842846875e-05
162,0.0173517631268061,0.000369728969176875
238,0.00473417248929332,5.15282941866856e-05
239,5.47219386428681e-05,5.99217282722494e-07
240,4.69541957299738e-06,4.90898415194245e-08
241,5.92235489773365e-06,6.09471978181517e-08
242,8.72220750364512e-05,9.55474034577502e-07
243,0.00945993115091015,0.000171568793063185
255,6.46571983985144e-10,4.77404757381429e-12
320,0.00347942349204233,3.50788189707697e-05
321,4.03184260416474e-05,4.01506986663998e-07
322,2.863091327701e-06,2.91592571202445e-08
323,1.16220642695403e-05,1.15731269726004e-07
324,0.000713975548988862,9.09450145375424e-06
325,0.00845773757488589,0.000139456833922501
335,1.3230738253379e-09,1.04713918514039e-11
336,3.43952202655554e-10,2.58942424908663e-12
401,0.000421525902392377,4.36564686531418e-06
402,8.18563819229624e-06,7.99040819186088e-08
403,4.1431693710496e-06,4.09907022762238e-08
404,2.42716349751056e-05,2.23053897178356e-07
405,0.00113739895892865,1.48708665107529e-05
406,0.0488957492977809,0.00179275589001943
410,2.064452153729e-06,2.0821141908441e-08
412,1.46102267914645e-07,1.43788138373259e-09
416,3.98722401690004e-09,3.1398393397081e-11
417,1.10374012607182e-09,9.00202008617708e-12
418,5.08865829097888e-10,4.068778215152e-12
421,2.64588907825589e-11,2.38505584140038e-13
483,0.000427738483832239,3.76552050267107e-06
484,4.24138440914511e-06,4.09750983562144e-08
485,8.46240239029483e-06,8.05421593269447e-08
486,0.000412322734808814,3.84131288254382e-06
487,0.0200119401321386,0.00045972632566389
493,6.43174641321548e-07,7.15951137440673e-09
494,3.17498296151494e-07,3.48732464422706e-09
498,2.84077350579088e-09,2.41548551994055e-11
499,9.91819604262007e-10,8.42290954649226e-12
502,5.50188071280123e-11,5.11415835284812e-13
503,1.23919128181596e-11,1.11783642627686e-13
564,0.00798356028746107,9.2690237076694e-05
565,9.94001313728899e-05,7.50466142944527e-07
566,2.74277819591409e-05,2.24874510014657e-07
567,4.07823997253293e-05,3.17835109922419e-07
568,0.00271294734730344,3.53302482446325e-05
573,2.09385098316348e-06,2.17726566414361e-08
574,9.56550967928119e-07,1.07642827930432e-08
575,4.257989802154e-07,4.6245908210525e-09
