"HID","bayesmean-orig","bayesmed-orig"
75,7.63282528948767e-05,3.91889115030317e-05
76,4.14268921040298e-06,2.16990992321361e-06
77,6.33489931083567e-07,3.29178128238888e-07
78,3.6019691920503e-07,1.86335718846796e-07
79,7.1727669719506e-07,3.81285317225353e-07
80,7.07724033933292e-06,3.71999846477408e-06
81,0.000458718250034511,0.000226433294498035
82,0.00577219393957032,0.00258706247715361
156,4.18714579639397e-05,2.15639666724133e-05
157,6.45752683380514e-06,3.29931435861907e-06
158,5.20019745320966e-07,2.69871175377676e-07
159,2.89063601118055e-07,1.51330335251588e-07
160,1.54116861368953e-06,8.21355733254636e-07
161,6.63031542993147e-05,3.63475263754047e-05
162,0.000681239213914658,0.000315380768441352
238,9.54609565574169e-05,4.98152689980941e-05
239,1.51515795269217e-06,7.83154261776391e-07
240,1.8149848438535e-07,9.28299600396443e-08
241,2.27221928721092e-07,1.17905235381408e-07
242,2.44998452759563e-06,1.33452532146018e-06
243,0.000268287857864591,0.000142209939265022
255,7.80734684510511e-11,1.74076271596676e-11
320,6.68919991686366e-05,3.39425337607612e-05
321,1.11504241351625e-06,5.70784254212332e-07
322,1.17094139622202e-07,5.63531577345512e-08
323,4.03288824059431e-07,2.10867372939024e-07
324,1.57247738931211e-05,8.36459896238264e-06
325,0.000228009907364269,0.000117638371406577
335,1.44394415776797e-10,3.37268735694014e-11
336,4.69631478841169e-11,1.02662716130869e-11
401,8.58355469259299e-06,4.55543697048473e-06
402,2.8048870326128e-07,1.42155692465781e-07
403,1.58431271239938e-07,7.51980755524191e-08
404,7.52265237953415e-07,4.11499109153342e-07
405,2.39967633409767e-05,1.27522797685974e-05
406,0.0034247888794877,0.00134100886432214
410,6.64973589551958e-08,3.04259265847654e-08
412,7.13474253392434e-09,2.90933236257423e-09
416,3.69906801215705e-10,9.55176762132245e-11
417,1.3538561615586e-10,2.96474879379417e-11
418,6.85027867166188e-11,1.5070410248326e-11
421,5.29116659403132e-12,9.64638187119297e-13
483,8.59949099553687e-06,4.4392048199267e-06
484,1.53732900428577e-07,7.29014834453779e-08
485,2.86398803923942e-07,1.39581036206261e-07
486,8.93816338885978e-06,4.86316983751238e-06
487,0.000846863821140504,0.000368814910770404
493,2.74034580481173e-08,1.19027805862529e-08
494,1.51521375536202e-08,6.15145474682866e-09
498,2.99756658104591e-10,7.10373320145457e-11
499,1.27780699139839e-10,2.76898934239992e-11
502,1.04496071534996e-11,1.93025426507424e-12
503,2.7132417943158e-12,4.58338186543193e-13
564,0.000183634893571104,8.5348151257503e-05
565,2.33435509716002e-06,1.23430416850177e-06
566,7.87522966461256e-07,3.8697565798601e-07
567,1.1058416619028e-06,5.74111927819963e-07
568,5.44071202137442e-05,2.89168545633847e-05
573,7.47752478584434e-08,3.57640199836519e-08
574,4.15448994960492e-08,1.83145868015119e-08
575,2.06122994272418e-08,8.5373679088207e-09
578,8.00991781196716e-10,2.13697827944395e-10
579,2.49434813326312e-10,5.69145911126317e-11
580,1.48533585173227e-10,3.18838479976229e-11
582,1.86495573549585e-11,3.37106828119241e-12
583,5.76337307950005e-12,9.76341370272848e-13
645,0.000298505982367622,0.000140939673617869
646,2.18729318794989e-06,1.04302119746355e-06
647,1.96202439586416e-06,9.55844340834652e-07
648,1.54609358183788e-05,8.53680751537322e-06
649,0.00154270124289298,0.000622959044383968
654,1.39677065259859e-07,6.87396934461656e-08
655,9.4118915271595e-08,4.49179421569105e-08
656,5.99060266388235e-08,2.63345958683075e-08
657,3.2286184847754e-08,1.38259212952767e-08
660,6.32130069806874e-10,1.59040822711801e-10
661,2.20880825209615e-10,4.89802277071619e-11
663,5.58379144661596e-11,1.05084317144155e-11
664,1.04873227739516e-11,1.80456245070516e-12
665,2.50520722966754e-12,3.88132834073204e-13
666,7.30406094494315e-13,1.09952189334796e-13
727,0.000212151838808393,8.73396912103149e-05
728,4.80862106065113e-05,2.16141364122814e-05
729,3.07316228255132e-05,1.47239587533541e-05
730,0.000419946418138407,0.000187023491270256
736,2.96378803006541e-07,1.49735720923843e-07
737,1.31549683242828e-07,6.09689951039317e-08
738,6.20177801473906e-08,2.68212168689829e-08
741,1.88611821874515e-09,5.36956650856972e-10
742,4.55211239221655e-10,1.12453951134453e-10
745,1.93367993047114e-11,3.33117854420206e-12
746,5.25109931090068e-12,8.39140535955901e-13
747,1.17937866162584e-12,1.71030790227339e-13
748,6.05717693562471e-13,9.08300730198401e-14
809,0.000733749611233458,0.000297453247658314
810,0.000187038248959042,7.32561174880303e-05
811,0.000689843350858852,0.000265654540261821
816,3.07337904624889e-07,1.52001233858788e-07
817,2.57668529254975e-07,1.26786238329007e-07
818,1.32347473913958e-07,5.77819124015743e-08
819,6.5182661711235e-08,2.77095212751995e-08
822,1.09410308660077e-09,2.8395776569671e-10
823,3.93142179920491e-10,9.22097647444682e-11
825,3.98387034925303e-11,7.0562540635285e-12
826,1.00863032411681e-11,1.67045037061977e-12
827,1.86167737620210e-12,2.71004672270917e-13
828,6.52299741907009e-13,9.28563658307508e-14
829,4.17273929557464e-13,6.2463625275632e-14
889,0.0169909924706338,0.0054202343042833
890,0.00262942468047101,0.00103091286007362
891,0.00245600848475547,0.00097762022721459
892,0.00830127095126276,0.00244982946977164
898,3.35763531891063e-07,1.65586905590983e-07
899,2.15867902659248e-07,9.89493516434536e-08
900,8.61525489516146e-08,3.62853689219147e-08
901,3.37375058176568e-08,1.43273898552002e-08
904,6.26097089208432e-10,1.57248194175166e-10
905,2.31205556346556e-10,4.94338588441598e-11
906,7.66753207992749e-11,1.41624295743889e-11
907,1.87135978551011e-11,3.11759444492542e-12
908,2.92369387604156e-12,4.3368311541528e-13
909,9.46916450966317e-13,1.29658910193616e-13
910,7.11437940485566e-13,1.03020675535589e-13
911,3.08518356959105e-13,4.62948980402932e-14
972,0.00688541515078543,0.0024429311659525
973,0.0152279949658762,0.0043482934694815
979,5.52227183164692e-07,2.71578237203386e-07
980,4.3767001144803e-07,2.07387055813214e-07
981,1.73011924851571e-07,7.28007429622051e-08
982,5.5221903891938e-08,2.31692011137521e-08
983,1.61757067527859e-08,6.05601048309702e-09
985,1.59385052176325e-09,4.39710620806316e-10
986,4.39907038929293e-10,1.04699060763402e-10
987,1.23957499164201e-10,2.37312692284824e-11
988,3.54638700517432e-11,6.16788926003371e-12
989,8.34627123522441e-12,1.33945706613769e-12
990,1.55999846777678e-12,2.20166861042816e-13
991,7.10517494058898e-13,9.80411119181158e-14
992,6.61570747987377e-13,9.9804332643098e-14
1060,4.21469882270898e-07,2.03828339434054e-07
1061,2.88493170219847e-07,1.29445043384389e-07
1062,1.23453245235717e-07,5.1490112916852e-08
1063,4.1386790919788e-08,1.7117246952403e-08
1064,1.35091140965924e-08,4.92773835242488e-09
1065,4.31291879776996e-09,1.37661994797428e-09
1066,1.03673150610817e-09,2.74631583953443e-10
1067,2.48772974740402e-10,5.37342530132192e-11
1068,5.8662196315917e-11,1.05282461554578e-11
1069,1.5205451828331e-11,2.47183931347281e-12
1070,3.21784508690883e-12,4.75794519041444e-13
1071,1.01996329315445e-12,1.39952398329341e-13
1072,9.09807420862655e-13,1.31690380601734e-13
1073,5.80953507218468e-13,9.0339124509565e-14
1141,5.88857594237434e-07,2.83550512502633e-07
1142,4.1571153235003e-07,1.91835256217497e-07
1143,2.11046184510691e-07,8.74686966972179e-08
1144,7.56467179640462e-08,3.1455090455292e-08
1145,2.07999298759627e-08,7.95833375913784e-09
1146,9.99851344295903e-09,3.53846787028807e-09
1147,2.94383355016487e-09,9.07926111165462e-10
1148,5.46699903711816e-10,1.35535320949091e-10
1149,1.13317728943835e-10,2.20045883043344e-11
1150,2.52130068510379e-11,4.25983695440585e-12
1151,6.05042247986908e-12,9.45430020707349e-13
1152,1.76454812124059e-12,2.47921320241992e-13
1153,1.09043405891669e-12,1.5290301912782e-13
1154,1.19169744250637e-12,1.85990158205206e-13
1155,3.54310534721593e-13,5.46859923375344e-14
1188,-2.06809739727758e-16,-2.2134203809464e-16
1222,9.37729911843497e-07,4.75729289282646e-07
1223,5.15213406052381e-07,2.48189454236605e-07
1224,3.18970986185482e-07,1.37253234020091e-07
1225,1.66229783022815e-07,6.82687226111502e-08
1226,6.13199889365695e-08,2.51445206383171e-08
1227,1.76526427051663e-08,6.62746303898345e-09
1228,6.99563086205278e-09,2.41008591139382e-09
1229,1.65702635587019e-09,4.8182836458869e-10
1230,2.85289780964902e-10,6.36409507345625e-11
1231,4.59901125950996e-11,8.16896385994142e-12
1232,9.97602067480217e-12,1.62624847565791e-12
1233,2.85541609526225e-12,4.17874659325164e-13
1234,1.37830315473003e-12,1.90231798358302e-13
1235,1.31844733625467e-12,1.94838018373979e-13
1236,9.13855627361691e-13,1.46624426639709e-13
1237,1.8448377947003e-13,2.56453466910856e-14
1270,-2.06233342592891e-16,-2.21306725689716e-16
1303,6.05640906629459e-07,2.9292970245148e-07
1304,3.81691166947326e-07,1.70455589305435e-07
1305,2.6352274497819e-07,1.09562030887766e-07
1306,1.12627857410671e-07,4.59023316133061e-08
1307,3.97948369787254e-08,1.54492861552914e-08
1308,1.57412235501435e-08,5.81278757987108e-09
1309,5.53297283747552e-09,1.8694750272505e-09
1310,8.74693283703058e-10,2.32191835489998e-10
1311,1.01446429164224e-10,1.98920786002087e-11
1312,1.76730337852267e-11,2.91711742142101e-12
1313,3.92008656456501e-12,5.89781917872804e-13
1314,1.74870803141473e-12,2.44947360565822e-13
1315,1.75317955587385e-12,2.46964859761262e-13
1316,2.05666226973688e-12,3.27750789518769e-13
1317,5.29096467758256e-13,8.37575930032602e-14
1348,-2.01571474529133e-16,-2.21033983412191e-16
1350,-2.00076786155048e-16,-2.20952382698106e-16
1384,1.49301736016326e-06,7.65064836509443e-07
1385,4.03032418780212e-07,1.83601922369187e-07
1386,3.31604426199581e-07,1.37091458400068e-07
1387,2.11002789566389e-07,8.65670474093619e-08
1388,8.30552398819261e-08,3.34751331284842e-08
1389,3.01984746836588e-08,1.14359213571821e-08
1390,1.10864095575128e-08,4.16718234824921e-09
1391,3.8652657481474e-09,1.26942493214534e-09
1392,3.91963914314618e-10,9.25607599813784e-11
1393,3.96366674696015e-11,6.99773837690287e-12
1394,5.02547002369526e-12,7.74687829416863e-13
1395,1.95715919033922e-12,2.77539461846738e-13
1396,1.52836974930053e-12,2.12809042198662e-13
1397,2.57901141691963e-12,3.97680198671852e-13
1398,2.37471768486871e-12,4.01378576516902e-13
1428,-1.93556931309407e-16,-2.2082380426528e-16
1429,-1.95247866542206e-16,-2.20805645738955e-16
1432,-1.98160678640307e-16,-2.20864489165819e-16
1466,7.75066538396008e-07,3.67126881960215e-07
1467,4.3637148161295e-07,1.90216808982556e-07
1468,3.54038157539307e-07,1.46163454341751e-07
1469,1.87117939523027e-07,7.54659796930357e-08
1470,8.99502204128713e-08,3.55580905643143e-08
1471,3.00199002674307e-08,1.1270013977979e-08
1472,9.54076423566333e-09,3.51829209196429e-09
1473,1.70251949662995e-09,5.08248128092146e-10
1474,1.2534999784862e-10,2.51678510027136e-11
1475,1.17485546592333e-11,1.94702070710753e-12
1476,2.56512378895791e-12,3.7472480147407e-13
1477,1.46007395737699e-12,2.01405285453863e-13
1478,1.92210658313449e-12,2.77577514606913e-13
1479,4.30117691694081e-12,7.12516172435613e-13
1480,1.16748730771395e-12,1.93658629222032e-13
1509,-2.05343273738931e-16,-2.21298825428121e-16
1510,-1.93493258930672e-16,-2.20755743441878e-16
1511,-1.9128053060876e-16,-2.20519700967863e-16
1512,-1.88816414976819e-16,-2.20246794984199e-16
