"HID","bayesmean-orig","bayesmed-orig"
75,3.6280785452996e-05,2.76761632452495e-05
76,6.17432786362971e-06,4.24171842955939e-06
77,1.15536045908824e-06,7.31493334069154e-07
78,5.76430476285179e-07,3.45628622116417e-07
79,9.94070907946171e-07,6.16728931149254e-07
80,1.1117600706205e-05,7.76037156301131e-06
81,0.00101302830895632,0.000693485992708165
82,0.00250990172425313,0.00205671185450801
156,3.22390125012563e-05,2.47342940182344e-05
157,6.89331045804245e-06,5.00448979393586e-06
158,8.69729074658704e-07,5.44550886968926e-07
159,3.70269454875732e-07,2.25302464330194e-07
160,1.97964340721516e-06,1.28759050280145e-06
161,8.38892987168679e-05,6.25143896617271e-05
162,0.000836589045792977,0.000607739144261042
238,0.000119462952513212,9.41012171856592e-05
239,2.250774527549e-06,1.56612939903625e-06
240,2.60541452242228e-07,1.59359071654908e-07
241,2.34396970116478e-07,1.40195745272405e-07
242,2.975765471082e-06,1.94370601797617e-06
243,0.000418739833169672,0.000298295661146765
255,2.0631255691941e-11,8.43955778741242e-12
320,4.1149219525334e-05,3.15771802745109e-05
321,1.40176258581115e-06,9.95076825075205e-07
322,1.30187804376302e-07,7.77182808420751e-08
323,3.89923619189828e-07,2.43772188003727e-07
324,1.82302510036891e-05,1.29612657261374e-05
325,0.000277379939337652,0.000206319282707402
335,3.85036899020122e-11,1.64377264482309e-11
336,1.57849056810382e-11,6.5947098496267e-12
401,9.25509386367122e-06,6.75072176388659e-06
402,3.66717687583513e-07,2.40954965381576e-07
403,1.83364046066398e-07,1.12277960548196e-07
404,8.5355022742637e-07,5.52417589470879e-07
405,4.08942798433639e-05,2.9188249519193e-05
406,0.0015957339792973,0.00127267724624568
410,2.88577505109129e-08,1.92532563259524e-08
412,2.23876111010603e-09,1.47962220050398e-09
416,6.99988835714972e-11,3.14865725815507e-11
417,7.06204913962712e-11,3.22945753815101e-11
418,1.67755966246014e-11,7.11925211347539e-12
421,1.37623137261869e-12,5.78923797091102e-13
483,9.40701746454502e-06,6.88041353975836e-06
484,2.50974358455887e-07,1.53769459989242e-07
485,3.88934587449122e-07,2.50706301213892e-07
486,1.60141341653323e-05,1.11029171875154e-05
487,0.000880570224941968,0.000694055767157508
493,1.32514934562303e-08,8.32808716024605e-09
494,6.66160425362886e-09,3.98269022981587e-09
498,1.16026302478811e-10,5.37998534292288e-11
499,7.02542355628748e-11,3.22650844199587e-11
502,4.38109130796629e-12,1.78067196608134e-12
503,6.22475076603178e-13,2.50592228853423e-13
564,0.000102091862973009,8.5239416407626e-05
565,3.52564014977718e-06,2.39902931201022e-06
566,1.21362248928721e-06,8.06044692798387e-07
567,1.9187317130724e-06,1.25181267132751e-06
568,8.76310801333771e-05,6.37788822307131e-05
573,3.34597129910833e-08,2.16297274912472e-08
574,2.71695234668849e-08,1.66642480008593e-08
575,6.88215949031877e-09,3.97216781299899e-09
578,1.91159858204282e-10,9.13215690229053e-11
579,1.9156936870328e-10,8.78319637590824e-11
580,7.59526797658779e-11,3.45215656684052e-11
582,8.67687072126043e-12,3.39887505898492e-12
583,4.05296508171132e-12,1.53703021015750e-12
645,0.000114756451380826,9.41822775676326e-05
646,3.23599725175372e-06,2.2386531570107e-06
647,3.54353579508979e-06,2.30131564897778e-06
648,2.91522937313236e-05,2.18516737737706e-05
649,0.00165675162877939,0.00131459733362404
654,6.40743085808632e-08,4.33003766856077e-08
655,8.8532338669728e-08,5.59361039575795e-08
656,4.53217731777279e-08,2.77978601850635e-08
657,9.95703201813143e-09,5.74866851215001e-09
660,3.18304853660031e-10,1.56218747595705e-10
661,1.79693058559838e-10,8.18087171384278e-11
663,3.04213563039548e-11,1.23366926124764e-11
664,1.03034514081513e-11,3.72409467604099e-12
665,1.54849354498594e-12,5.55747087948359e-13
666,1.1984056146455e-13,4.44572189141044e-14
727,0.000103249035764279,8.42053895804706e-05
728,3.07175630870116e-05,2.28305967296186e-05
729,3.43087478814806e-05,2.45299458441086e-05
730,0.000474631873427951,0.000389425138310759
736,2.53269225947016e-07,1.6113776656266e-07
737,1.70733223674095e-07,1.02985732313909e-07
738,3.26997084182436e-08,1.93793550262631e-08
741,5.53533047842624e-10,2.77507223402162e-10
742,4.30045842452575e-10,1.9378203426101e-10
745,1.70719480416556e-11,6.29252736491134e-12
746,6.22412149585264e-12,2.17900691896876e-12
747,6.63394440292453e-13,2.29021199509163e-13
748,1.05390979650556e-13,3.8759583774673e-14
809,0.000295295323557074,0.000244126580508564
810,0.000196731805660274,0.000145174746198969
811,0.000522676962998382,0.00043999280170023
816,1.43606079032438e-07,1.01599956236782e-07
817,2.84734107028982e-07,1.81178047038317e-07
818,1.39196441796468e-07,8.33647162209446e-08
819,2.95249662830806e-08,1.70797899045935e-08
822,6.81532260387075e-10,3.24661371521383e-10
823,3.63950564098249e-10,1.61088850037769e-10
825,4.18862984613147e-11,1.61805742473093e-11
826,1.23081837973296e-11,4.37260930456043e-12
827,1.73619206969171e-12,5.80853307291498e-13
828,2.31322125901841e-13,8.19882223321437e-14
829,5.20264670200394e-14,1.826393357432e-14
889,0.00168390345852228,0.00127111333237873
890,0.000566662964087076,0.000464831730453281
891,0.000723747788721386,0.000605883016352772
892,0.00314208331973376,0.00258644270748224
898,2.98538037136653e-07,1.95108585567525e-07
899,3.02604917184954e-07,1.7941310711557e-07
900,6.65127398165514e-08,3.8079547134311e-08
901,1.56351978652222e-08,8.56776137389102e-09
904,5.60860570087058e-10,2.48255369738579e-10
905,2.28889776156793e-10,9.76014175994309e-11
906,7.13014284828902e-11,2.8973023307434e-11
907,2.24639144834256e-11,8.22967442848561e-12
908,3.69195264308496e-12,1.22863081288866e-12
909,8.4185868983741e-13,2.75158137897124e-13
910,3.42857287447855e-13,1.19195248186779e-13
911,3.90391041754924e-14,1.38075501633489e-14
972,0.00106021737800322,0.000823851730513423
973,0.00319058663640827,0.00249194719785875
979,2.30680639707133e-07,1.68662890375783e-07
980,6.33314619452543e-07,4.01491986040799e-07
981,2.2324099011955e-07,1.27386803495278e-07
982,4.57298087040136e-08,2.5228477420137e-08
983,8.20566685316848e-09,4.25507873605541e-09
985,1.18168564135419e-09,5.50131652409057e-10
986,4.14087637254341e-10,1.771855999163e-10
987,1.25247829945878e-10,5.06015393520093e-11
988,3.94492309168392e-11,1.46469736426997e-11
989,9.34321046560193e-12,3.34140930289345e-12
990,1.73496463937392e-12,5.64650344340346e-13
991,5.31330838753545e-13,1.78808022149944e-13
992,3.65535280762128e-13,1.31958153698314e-13
1060,3.8992499267775e-07,2.54824255813138e-07
1061,4.05994921739621e-07,2.38238756495531e-07
1062,1.21575738971775e-07,6.75469226887229e-08
1063,3.14209155041087e-08,1.71247763136453e-08
1064,9.675906716057e-09,4.96001297623108e-09
1065,3.8059683741362e-09,1.83604831987857e-09
1066,9.4034396665521e-10,4.23241877384765e-10
1067,2.53144326760698e-10,1.0493561839624e-10
1068,5.34441297609264e-11,2.05758165766972e-11
1069,1.69368526423163e-11,6.20095591217163e-12
1070,3.08885917844574e-12,1.02839463793688e-12
1071,1.04523595602068e-12,3.37218658148287e-13
1072,7.48553639805131e-13,2.59371691992061e-13
1073,2.08774789237618e-13,8.08648290408745e-14
1141,3.16378273129079e-07,2.19206179523969e-07
1142,5.34923718128395e-07,3.25334342446988e-07
1143,2.28427042921485e-07,1.29152611079615e-07
1144,6.22993175832099e-08,3.41970172588338e-08
1145,1.65111031135338e-08,8.74206471769694e-09
1146,7.54358457997002e-09,3.83583757369176e-09
1147,2.80573708962899e-09,1.321258398948e-09
1148,5.12781429247968e-10,2.21135984626136e-10
1149,1.01435554877289e-10,4.06181451717743e-11
1150,2.08091277193398e-11,7.50162047116344e-12
1151,5.48562596037894e-12,1.94251776378668e-12
1152,1.59986484751059e-12,5.14061232355611e-13
1153,1.15300908654343e-12,3.80559914125329e-13
1154,1.12132371316071e-12,4.10579264970564e-13
1155,7.39060050440901e-14,2.69691104402917e-14
1188,-2.21974228094957e-16,-2.22035496398247e-16
1222,4.4127867208901e-07,3.42170282609808e-07
1223,4.11180084812211e-07,2.69508976712228e-07
1224,3.77941708825748e-07,2.2109910082953e-07
1225,1.34370003314928e-07,7.50399042845046e-08
1226,4.41338892900693e-08,2.4024293163824e-08
1227,1.61825927342147e-08,8.59844643396294e-09
1228,6.94538187137008e-09,3.40781898769829e-09
1229,1.55640427048967e-09,7.0356956578713e-10
1230,2.47530043847219e-10,1.02287287098938e-10
1231,3.30707708892982e-11,1.2404758172299e-11
1232,7.39162198009472e-12,2.6936937454465e-12
1233,2.08734516135641e-12,7.03576165854758e-13
1234,1.1352884965879e-12,3.60302967885034e-13
1235,1.24774199906308e-12,4.36448708844475e-13
1236,3.83282841578693e-13,1.4719743071378e-13
1237,1.6429509932531e-14,5.54022185146628e-15
1270,-2.21969756915556e-16,-2.22034913987324e-16
1303,4.0537155353928e-07,2.67798883153357e-07
1304,3.99934750813122e-07,2.42401066825472e-07
1305,2.54733966342781e-07,1.46191193152062e-07
1306,7.4632740084673e-08,4.08046736404835e-08
1307,3.01502792273755e-08,1.6207467287119e-08
1308,1.26660695186218e-08,6.66020118076852e-09
1309,4.99561745782967e-09,2.40800317285834e-09
1310,7.51806382213286e-10,3.26257065169367e-10
1311,6.97145469075508e-11,2.74589252034056e-11
1312,1.0264282630872e-11,3.66283548668085e-12
1313,2.5181987084595e-12,8.81917528271962e-13
1314,1.12552752043703e-12,3.66932486498205e-13
1315,1.53141065572267e-12,5.01996247041484e-13
1316,1.72024246148127e-12,6.56270888221405e-13
1317,8.04506418442392e-14,3.14553223168884e-14
1348,-2.21979097414162e-16,-2.22035878281959e-16
1350,-2.21969357402968e-16,-2.22034805157319e-16
1384,7.13004888544446e-07,5.39930065703174e-07
1385,3.80504561833373e-07,2.40021138189305e-07
1386,3.14373386633024e-07,1.84954123090279e-07
1387,1.59592918389004e-07,8.77815887722965e-08
1388,5.84505669587353e-08,3.07742870402133e-08
1389,2.46379005046702e-08,1.31607901629684e-08
