"HID","bayesmean-orig","bayesmed-orig"
75,0.00571854985665686,5.6471550643131e-05
76,0.00043535681382349,2.5331159448053e-06
77,6.40982877061207e-05,3.04976992260698e-07
78,3.53498754869768e-05,1.59288204142342e-07
79,7.42803085257382e-05,3.50789144947395e-07
80,0.000797886023280604,4.82083101625605e-06
81,0.0143633405946897,0.000415058699649935
82,0.0765436284625862,0.00533651796489952
156,0.00376586972497466,2.80202796097485e-05
157,0.000689723548251757,4.103695176083e-06
158,5.13459822211349e-05,2.41767570593764e-07
159,2.84034371125192e-05,1.23414806395987e-07
160,0.000165059091194786,8.26535623895496e-07
161,0.00535727853947771,5.46541578689123e-05
162,0.0177407951281683,0.000591371764436439
238,0.00647525548839306,6.81922339743779e-05
239,0.000160104392399719,8.68623999733341e-07
240,1.7385332066309e-05,7.4625235199313e-08
241,2.17442804084552e-05,9.26823018010241e-08
242,0.000276574659317048,1.37506621711139e-06
243,0.0111968043414539,0.000250023403796308
255,3.4529946509607e-09,7.66985029054085e-12
320,0.00527473072725968,4.59946374425306e-05
321,0.00011961068157772,5.91478849051054e-07
322,1.05777302344825e-05,4.5194443493334e-08
323,4.05747670427304e-05,1.66994007455444e-07
324,0.00172769705465659,1.10996410672825e-05
325,0.0102619948632329,0.000193988830032613
335,6.97638245661882e-09,1.52009443357034e-11
336,1.85446309599923e-09,4.37034058318562e-12
401,0.000958537542581062,5.64693379902623e-06
402,2.5949511682575e-05,1.21786341725828e-07
403,1.42491673688324e-05,6.16755599266907e-08
404,7.99852497732341e-05,3.42370400959925e-07
405,0.00246989380669293,1.68444186711587e-05
406,0.0527423083542695,0.0028137769352997
410,5.91490083647797e-06,2.55455391421559e-08
412,5.74059557484213e-07,1.91268066271457e-09
416,2.03341387220605e-08,4.37143798442067e-11
417,6.03741656324072e-09,1.23651121814671e-11
418,2.72590779365459e-09,6.18360444893778e-12
421,1.36818875488219e-10,3.33019152847915e-13
483,0.000901537679421093,5.87866953284045e-06
484,1.3658588225018e-05,5.48838928561016e-08
485,2.72523478513078e-05,1.13763906539822e-07
486,0.00100682107583435,5.38761854983905e-06
487,0.020296964598001,0.000726265280291624
493,2.36812744032587e-06,8.88592022938462e-09
494,1.27749183289352e-06,4.31795674969997e-09
498,1.51407734594123e-08,3.19456240037372e-11
499,5.46259877456773e-09,1.10792932964247e-11
502,2.92402226034773e-10,7.00245393637523e-13
503,6.30411504645104e-11,1.44228093262451e-13
564,0.00911151535242038,0.000126516584918458
565,0.000231665013340575,1.16384735054726e-06
566,7.33991426212086e-05,3.42993522302863e-07
567,0.000116089420609345,4.53537358986176e-07
568,0.00460952721447883,3.80470833463466e-05
573,6.90114464718473e-06,2.6709192683108e-08
574,3.65368975472679e-06,1.41689091285393e-08
575,1.76297701586687e-06,5.56926284189439e-09
578,4.53882924870125e-08,9.95627251053883e-11
579,1.15780158360712e-08,2.36393511308362e-11
580,6.12232076388132e-09,1.26139129889538e-11
582,5.54810031538507e-10,1.16632230350246e-12
583,1.43107513161437e-10,3.18945982159518e-13
645,0.0115055066166825,0.000217024014800884
646,0.000215813071332061,9.21327022664709e-07
647,0.000208974355638552,8.28358464584822e-07
648,0.00171413019091101,9.67409984682402e-06
649,0.0292925281932626,0.00133205099834839
654,1.34690267827626e-05,5.80216313235987e-08
655,8.52072030179353e-06,3.65211255786727e-08
656,5.24613773807826e-06,2.06409662213871e-08
657,2.78693530153161e-06,8.74112510063151e-09
660,3.30091687502766e-08,7.1849696417995e-11
661,9.71417801256993e-09,1.98181156391409e-11
663,1.84114615326732e-09,3.89240673701146e-12
664,2.76562101164887e-10,6.04908383355999e-13
665,5.57616459427364e-11,1.16444686889964e-13
666,1.46551170804776e-11,3.28472302737068e-14
727,0.00971974927432517,0.000149407040940514
728,0.00426319862978743,2.90517394095735e-05
729,0.00313028736233856,1.83368448609567e-05
730,0.013602880490998,0.000327021845351384
736,2.89648415018526e-05,1.44943774334221e-07
737,1.16880281241391e-05,5.33875935497099e-08
738,5.40290389227716e-06,1.95129931562292e-08
741,1.11664683691358e-07,2.64403969407511e-10
742,2.20807829251166e-08,4.82042957056931e-11
745,5.53816799355822e-10,1.09013435938035e-12
746,1.25815114621524e-10,2.69268472535662e-13
747,2.42041327947301e-11,5.2737962682844e-14
748,1.21092997797179e-11,2.71333029357389e-14
809,0.0177142745421536,0.00045580691862273
810,0.00940181099800913,0.000118126901574113
811,0.0172673291233802,0.000474540489329869
816,3.0956209792624e-05,1.50342492746192e-07
817,2.39704972577874e-05,1.19953484765377e-07
818,1.14985059426123e-05,5.2336628544786e-08
819,5.65604674483914e-06,1.97692421160836e-08
822,5.97964294598887e-08,1.38052843283431e-10
823,1.81415424117727e-08,3.79132515723254e-11
825,1.23765454396107e-09,2.47463166760074e-12
826,2.62412741078981e-10,5.49179179806245e-13
827,4.02456863433807e-11,8.32036806130019e-14
828,1.29822172385621e-11,2.87010623285701e-14
829,8.06493460590571e-12,1.80636866842721e-14
889,0.135767748337289,0.0172198704605544
890,0.0386935183433121,0.00200963224583199
891,0.0370889668078459,0.00182386070085044
892,0.0896950828350279,0.00794285024900966
898,3.24597565805309e-05,1.64219691588466e-07
899,1.89560528570488e-05,8.96666654456986e-08
900,7.28930114058915e-06,2.77180434498113e-08
901,2.7329796794553e-06,8.44997715277753e-09
904,3.17692017053319e-08,7.04158691180708e-11
905,9.82493905679313e-09,1.95604721088002e-11
906,2.65399147766411e-09,5.1249240328699e-12
907,5.37044230661433e-10,9.87853175371988e-13
908,6.71044329439744e-11,1.32545767864585e-13
909,1.91771721788296e-11,3.97356368544853e-14
910,1.44936191839645e-11,3.18531371499273e-14
911,5.77964494071267e-12,1.31780389271522e-14
972,0.0756989420773583,0.00542706542120499
973,0.127848055002537,0.0147798747251995
979,5.69227072977815e-05,2.91871074994431e-07
980,3.99580795424105e-05,2.14035323639224e-07
981,1.48570353506335e-05,6.79856634921453e-08
982,4.47894646842468e-06,1.56183649882535e-08
983,1.18173088889866e-06,3.47777017005789e-09
985,8.93536550621974e-08,2.22993009859243e-10
986,2.08315009142225e-08,4.31197687088415e-11
987,4.66906715111303e-09,8.7488773415915e-12
988,1.1200413642512e-09,2.16538020107686e-12
989,2.16853014369769e-10,4.33660759373072e-13
990,3.3976077917189e-11,6.81138754375601e-14
991,1.43089845440341e-11,2.99643230128193e-14
992,1.37329073371717e-11,3.09242399440401e-14
1060,4.02409632448691e-05,1.98772034114814e-07
1061,2.51989310124509e-05,1.20900746754982e-07
1062,1.05681349440664e-05,4.28501966644447e-08
1063,3.29163568678183e-06,1.06876246043722e-08
1064,9.44666927857295e-07,2.76315502694883e-09
1065,2.66588420476195e-07,7.30149842089487e-10
1066,5.5559059698363e-08,1.32263182626564e-10
