"HID","PA","valpred"
48763,0,0.0368498612127535
48844,0,0.017061943404619
48925,0,0.0141033330130572
49005,0,0.0144656925339384
49006,0,0.0191450637094054
49087,0,0.0166444787097838
49168,0,0.0181945340567057
49249,0,0.0210650007811544
49330,0,0.0184881810529196
49492,0,0.0213708556839515
59090,0,0.0234434764200868
59091,0,0.0233439557345827
59092,0,0.0201031104811859
59093,0,0.0318695103445277
59171,0,0.026108910472867
59172,0,0.0234854209234903
59173,0,0.0327960576051293
59251,0,0.0456145121999919
59252,0,0.0323663933574668
59253,0,0.0272426921761135
59254,0,0.0181867162150408
59262,0,0.663771749528376
59332,0,0.0472778940485543
59333,0,0.0427685610973443
59334,0,0.0312114043616702
59335,0,0.0307719705180267
59336,0,0.0455954758389672
59344,0,0.545195892603976
59413,0,0.0464250105458122
59414,0,0.037798936428833
59415,0,0.0343883875209115
59416,0,0.0421213905506203
59424,0,0.588802658741204
59425,0,0.407622391963885
59494,0,0.0573563677844761
59495,0,0.0470715590140291
59496,0,0.0370203052005462
59497,0,0.0428157289224307
59506,0,0.429752822178948
59507,0,0.2036597366509
59576,0,0.0557161896301114
59577,0,0.0445656041685368
59578,0,0.0417084260336465
59579,0,0.0575370110525571
59587,0,0.38683098496384
59588,0,0.29358067814531
59589,0,0.179426407262385
59656,0,0.0586361439037358
59657,0,0.0509147701015268
59658,0,0.0432713206143
59659,0,0.0443930354486485
59668,0,0.309673779887977
59669,0,0.136751966906341
59670,0,0.117769777380472
59736,0,0.073602832341175
59737,0,0.0656703416084507
59738,0,0.0571701755588334
59739,0,0.0418865040966216
59740,0,0.0452279490088141
59741,0,0.0607703826539281
59749,0,0.387304657118961
59750,0,0.164806197832366
59751,0,0.0932232666978963
59752,0,0.0956534329157984
59816,0,0.0535935805854289
59817,0,0.0841331318397882
59818,0,0.0821225866733455
59819,0,0.0659707027450893
59820,0,0.0488322358901874
59821,0,0.0414457207633819
59822,0,0.0458794776470463
59830,0,0.484708373383387
59831,0,0.246045450845502
59832,0,0.10087764785431
59833,0,0.0723748229791865
59834,0,0.0951761629174031
59895,0,0.0393169889850797
59896,0,0.0642360226868982
59897,0,0.075183725647956
59898,0,0.08158048181634
59899,0,0.0740048272513011
59900,0,0.0578719859604011
59901,0,0.041328193685412
59902,0,0.0404139462235437
59903,0,0.0531946025520592
59910,0,0.619312474881527
59911,0,0.315760760410874
59912,0,0.105346081396675
59913,0,0.07260704025435
59914,0,0.0868208722090354
59915,0,0.101335737110925
59976,0,0.0314175994321197
59977,0,0.0669377703988988
59978,0,0.0882464289281992
59979,0,0.0933094436764138
59980,0,0.0877306497348868
59981,0,0.0780897891441891
59982,0,0.0477947089224734
59983,0,0.0471939408893667
59984,0,0.04393142099048
59985,0,0.0667090209120849
59991,0,0.592356708890836
59992,0,0.335617841387769
59993,0,0.157986423525316
59994,0,0.0649629018439202
59995,0,0.0697396564207406
59996,0,0.0584426247557935
59997,0,0.130087727551881
60057,0,0.0364231306075171
60058,0,0.0547300734177252
60059,0,0.0966237316841256
60060,0,0.125418823163356
60061,0,0.109682014023245
60062,0,0.0852495442013208
60063,0,0.0563344193110223
60064,0,0.0417008828839777
60065,0,0.0489275563343939
60066,0,0.0577233274792232
60067,0,0.0925732940035162
60073,0,0.350863583140434
60074,0,0.179251218485471
60075,0,0.0551646331206476
60076,0,0.0472784880116213
60077,0,0.0740970930390197
60078,0,0.105522996945805
60137,0,0.0532121727239212
60138,0,0.061505706858013
60139,0,0.0794177899178618
60140,0,0.115984375836851
60141,0,0.112865516174103
60142,0,0.0898634024464188
60143,0,0.0660011008314783
60144,0,0.0459603149543531
60145,0,0.0387408870323972
60146,0,0.0576122770436475
60147,0,0.0793137696126658
60148,0,0.136169504167788
60153,0,0.436524887438818
60154,0,0.192018134101613
60155,0,0.0599426797489789
60156,0,0.0453489996847435
60157,0,0.0564000248518187
60158,0,0.0745191181628192
60159,0,0.137759076343406
60218,0,0.0510676321535276
60219,0,0.069072162744806
60220,0,0.087503204043726
60221,0,0.101540247786671
60222,0,0.129772690573289
60223,0,0.0990265596556736
60224,0,0.0842895268527128
60225,0,0.0636926294567881
60226,0,0.0452196014197499
60227,0,0.0462087979644995
60228,0,0.0562632729304386
60229,0,0.108521170448113
60230,0,0.186267595258556
60235,0,0.279220608850951
60236,0,0.0938079852777166
60237,0,0.0449713702325094
60238,0,0.0502916567139913
60239,0,0.0483530591929194
60240,0,0.102133378456888
60299,0,0.0540751626128897
60300,0,0.0650951999473416
60301,0,0.078729754123156
60302,0,0.116729552804192
60303,0,0.133351182989773
60304,0,0.1178632394989
60305,0,0.098323064846281
60306,0,0.0791903513667246
60307,0,0.0611993580610877
60308,0,0.0502964868738569
60309,0,0.0590171815846829
60310,0,0.074808620819695
60311,0,0.11532321449191
60312,0,0.234504160884266
60316,0,0.359825342829464
60317,0,0.14915603781921
60318,0,0.0428501891582933
60319,0,0.036173098931531
60320,0,0.0475720989859749
60321,0,0.0650793020702583
60322,0,0.0902725229418257
60379,0,0.0617015273435849
60380,0,0.0657346685494058
60381,0,0.0754504043486795
60382,0,0.111122166890377
60383,0,0.120540625917312
60384,0,0.119141255708129
60385,0,0.102681864511995
60386,0,0.0882118562217432
60387,0,0.0730936273250103
60388,0,0.0655672860146538
60389,0,0.0588474498781574
60390,0,0.0603811545180387
60391,0,0.0798853438316129
60392,0,0.180895916856931
60393,0,0.295952050219581
60397,0,0.356308642860633
60398,0,0.06494883102757
60399,0,0.0375545180744136
60400,0,0.0390700831899228
60401,0,0.0421956792294232
60402,0,0.0741462133422512
60403,0,0.128655732034707
60460,0,0.0727584873493804
60461,0,0.0776886050879091
60462,0,0.0778365053594281
60463,0,0.0832160092219338
60464,0,0.128035368402161
60465,0,0.117086104534742
60466,0,0.109699984643552
60467,0,0.101672172617915
60468,0,0.0861316560768455
60469,0,0.0763988587427741
60470,0,0.0692255394921964
60471,0,0.0682909833294903
60472,0,0.0828703922401689
60473,0,0.0828256828555719
60474,0,0.220022592249848
60478,0,0.365309921362931
60479,0,0.15392473019645
60480,0,0.0485912954702033
60481,0,0.030840715562907
60482,0,0.0365651331744542
60483,0,0.0685998087199651
60484,0,0.106467475698907
