"HID","PA","valpred"
48763,0,0.0337855219777653
48844,0,0.0150626713499084
48925,0,0.0125125310619736
49005,0,0.0126347686479901
49006,0,0.0169717125617235
49087,0,0.0146645785809327
49168,0,0.0160038790199798
49249,0,0.0185710953180452
49330,0,0.0162520640025032
49492,0,0.0188613004350492
59090,0,0.0207784448394973
59091,0,0.0206248995456068
59092,0,0.0178797875386513
59093,0,0.0290860824193262
59171,0,0.0231778864333798
59172,0,0.0208283618129425
59173,0,0.0298908234915266
59251,0,0.0418962502896356
59252,0,0.0295341459837477
59253,0,0.0243960801718561
59254,0,0.0161883954010885
59262,0,0.665890126247176
59332,0,0.0439529427720326
59333,0,0.0392413588609051
59334,0,0.0283352766045491
59335,0,0.0279517741326055
59336,0,0.0423891943214909
59344,0,0.551703645319406
59413,0,0.0430688912093753
59414,0,0.0346975400695017
59415,0,0.0316758949718466
59416,0,0.0390881272721893
59424,0,0.592828539798949
59425,0,0.415053027722816
59494,0,0.0536655022867725
59495,0,0.0436331535915548
59496,0,0.0341822657739682
59497,0,0.0392627387974365
59506,0,0.436118631934859
59507,0,0.205844128177188
59576,0,0.0519904249941978
59577,0,0.0412227773907062
59578,0,0.0385866080856545
59579,0,0.0535954259292766
59587,0,0.390487204832606
59588,0,0.299462513143402
59589,0,0.180545526142985
59656,0,0.0547510999934031
59657,0,0.047158931202245
59658,0,0.0401771384738102
59659,0,0.0408296596740303
59668,0,0.313716677120032
59669,0,0.138344259632315
59670,0,0.117824340826454
59736,0,0.0690980583542229
59737,0,0.0616530990391016
59738,0,0.0535919189862827
59739,0,0.0386712919105078
59740,0,0.0419929634288535
59741,0,0.0567105320636707
59749,0,0.392647490160466
59750,0,0.167126919873338
59751,0,0.0932482514343944
59752,0,0.0953165273338393
59816,0,0.0509805578908879
59817,0,0.0796169748721031
59818,0,0.0775579051432821
59819,0,0.0614493977464715
59820,0,0.0452615091759509
59821,0,0.0382672097691494
59822,0,0.0425777658225373
59830,0,0.48699794243497
59831,0,0.249290737499982
59832,0,0.101684059953266
59833,0,0.072149889056804
59834,0,0.0936368948287696
59895,0,0.0373331363435838
59896,0,0.0614925635449829
59897,0,0.0712604985865268
59898,0,0.076959226898304
59899,0,0.0692638855993233
59900,0,0.0538837863250774
59901,0,0.0382634522284457
59902,0,0.0371961639573014
59903,0,0.0491488283505062
59910,0,0.620595611308065
59911,0,0.320629789246296
59912,0,0.106133647959646
59913,0,0.0719998471934337
59914,0,0.0870114383924435
59915,0,0.099107475324477
59976,0,0.0296768518663603
59977,0,0.064138838189782
59978,0,0.0841337436118443
59979,0,0.0885427197334984
59980,0,0.0829017315371878
59981,0,0.0731651045102205
59982,0,0.0439467162285022
59983,0,0.043978518262542
59984,0,0.0406421772477498
59985,0,0.0618620342337976
59991,0,0.590276095869544
59992,0,0.340236914997131
59993,0,0.159775175608469
59994,0,0.0647620028606053
59995,0,0.0695236307760808
59996,0,0.0583909547949536
