"HID","PA","valpred"
48763,0,0.0256597687251693
48844,0,0.0111369515956049
48925,0,0.0134943354386596
49005,0,0.0175453109455414
49006,0,0.0171661624435383
49087,0,0.0246092540327313
49168,0,0.0318038636474963
49249,0,0.034767794836358
49330,0,0.0427146781532382
49492,0,0.0582344417869986
59090,0,0.0711881852698409
59091,0,0.0532400698465248
59092,0,0.0255773110099543
59093,0,0.0276310030047563
59171,0,0.0728938473972728
59172,0,0.0418836212529727
59173,0,0.02779236767296
59251,0,0.239596339706229
59252,0,0.127207677743459
59253,0,0.0684364487918881
59254,0,0.0294179429573253
59262,0,0.614745057021406
59332,0,0.254877688025675
59333,0,0.227501155944281
59334,0,0.128457791000522
59335,0,0.0683222224733519
59336,0,0.0490205589741231
59344,0,0.738701380504674
59413,0,0.243149117878398
59414,0,0.167202262798856
59415,0,0.0877259993471927
59416,0,0.0796081827339837
59424,0,0.667897635190951
59425,0,0.672892731145936
59494,0,0.250553582290368
59495,0,0.224609963968631
59496,0,0.11292499348899
59497,0,0.107828553784493
59506,0,0.654561098490836
59507,0,0.565586250988426
59576,0,0.210222662085578
59577,0,0.170060550733414
59578,0,0.106729748801937
59579,0,0.109045798013522
59587,0,0.600597110234136
59588,0,0.617950644614479
59589,0,0.627249800939974
59656,0,0.196779466687731
59657,0,0.153302187743926
59658,0,0.113092042388272
59659,0,0.0960216784564859
59668,0,0.647316666147577
59669,0,0.581681616017948
59670,0,0.423506350192464
59736,0,0.132284762808278
59737,0,0.161740207652963
59738,0,0.169883184454967
59739,0,0.0843564054044312
59740,0,0.108404786394973
59741,0,0.0917970521927893
59749,0,0.737204537516839
59750,0,0.615669425983872
59751,0,0.368136900036682
59752,0,0.384834154137081
59816,0,0.111829464038019
59817,0,0.143818967109206
59818,0,0.173304349014024
59819,0,0.128469778371003
59820,0,0.108297442071308
59821,0,0.0685951813690783
59822,0,0.102247565585314
59830,0,0.781407877857493
59831,0,0.643011490445058
59832,0,0.526640377976596
59833,0,0.262558872904765
59834,0,0.33310216550994
59895,0,0.0598452439199202
59896,0,0.134137937742819
59897,0,0.140580986228498
59898,0,0.157870311181481
59899,0,0.108161144290356
59900,0,0.0851012839788197
59901,0,0.0653334265325253
59902,0,0.0613358057541104
59903,0,0.084218543853139
59910,0,0.807268543312316
59911,0,0.729297145499304
59912,0,0.488504231748685
59913,0,0.269587527728034
59914,0,0.233561305440616
59915,0,0.35903468257521
59976,0,0.032891076291877
