"HID","bayesmean-orig","bayesmed-orig"
75,0.000202477393640054,7.73192733559764e-06
76,2.80340230271075e-05,1.14685913012173e-06
77,4.44188376701491e-06,1.50829810841529e-07
78,2.15289502633467e-06,5.99370717395093e-08
79,3.9674995564829e-06,1.1868770255088e-07
80,5.55029896282148e-05,1.8957606411484e-06
81,0.0066340789928511,0.000175969468575669
82,0.0160342913019107,0.00067525657309088
156,0.000172171410825537,6.674008744369e-06
157,3.15593892573401e-05,1.4136123360638e-06
158,3.32976553471538e-06,1.11380753784241e-07
159,1.34597812374117e-06,3.74224639508083e-08
160,8.44713568425386e-06,2.77709381318596e-07
161,0.00050643637801922,1.71593845396947e-05
162,0.00533665022398967,0.000135216904828697
238,0.000701540678293439,2.87927001415641e-05
239,9.44672697327875e-06,3.92961165776401e-07
240,9.15754331587563e-07,2.68936550117513e-08
241,8.28090075734074e-07,2.38155316710975e-08
242,1.32496742397284e-05,4.38284917534275e-07
243,0.00278063439066712,7.6333952927411e-05
255,2.30160326917327e-11,9.26035048268083e-13
320,0.000223222475111833,8.89717401886142e-06
321,5.65113719074799e-06,2.3166092868594e-07
322,4.31695799172601e-07,1.2580894120276e-08
323,1.44849290293293e-06,4.42433059523596e-08
324,9.52422292844289e-05,3.69456729487733e-06
325,0.00173456610399931,4.92436051940066e-05
335,4.64605879049052e-11,1.81058354031609e-12
336,1.85162526130262e-11,6.79718781077346e-13
401,4.30011258483043e-05,1.98894965908585e-06
402,1.28729895126759e-06,4.41795215175072e-08
403,6.17453496937334e-07,1.97433425991352e-08
404,3.34357320247771e-06,1.11861588193187e-07
405,0.000221276435948072,8.70600958094171e-06
406,0.0100716028222198,0.000334543700311336
410,4.63900534043563e-08,2.29721514489212e-09
412,3.43220215667469e-09,1.25052291318685e-10
416,8.76392741324453e-11,3.22243690193011e-12
417,1.00712650414646e-10,3.14401142749327e-12
418,2.01208632293138e-11,7.35206234302044e-13
421,1.35521745254074e-12,5.23445215430948e-14
483,4.22358686271102e-05,2.09905818595328e-06
484,8.39664475156849e-07,2.92130152639288e-08
485,1.35795873513383e-06,4.52334302739328e-08
486,7.87146117880029e-05,3.16121968897026e-06
487,0.00569288666621437,0.000149872169143053
493,2.5714644404713e-08,8.71225116917652e-10
494,1.26895318706072e-08,4.02422299173897e-10
498,1.69514153567942e-10,5.38678149722977e-12
499,1.03820683949541e-10,3.07686054083752e-12
502,4.91598327166098e-12,1.87862935785169e-13
503,5.82401613421937e-13,2.06714058373827e-14
564,0.00054440373384659,2.48638533689147e-05
565,1.40823762645421e-05,7.04856421471146e-07
566,4.51037295177648e-06,1.83667377708782e-07
567,7.59330829800186e-06,2.75113118288683e-07
568,0.000488577103257303,1.99745174001785e-05
573,6.81886920470259e-08,2.51681200999518e-09
574,6.22400752370551e-08,1.95759688822754e-09
575,1.4288912700307e-08,4.17589699573846e-10
578,2.86527899321563e-10,8.59146276030057e-12
579,3.29135479934736e-10,8.37814711105339e-12
580,1.16110248627942e-10,3.24563524845905e-12
582,1.05424263283349e-11,3.05563567110203e-13
583,4.74462975834617e-12,1.56223381162483e-13
645,0.000607641433202645,2.74874055717828e-05
646,1.28270802062242e-05,5.77254203607802e-07
647,1.4465091448807e-05,5.5805140023129e-07
648,0.00014566665687826,6.11473176546069e-06
649,0.010038527718174,0.000338300769476536
654,1.37212404443198e-07,5.29926233928611e-09
655,2.34707238580002e-07,7.2412059283486e-09
656,1.18174737477193e-07,3.46880529402014e-09
657,2.27095947508351e-08,6.14147436601876e-10
660,5.44146295549495e-10,1.48071939980657e-11
661,3.11996616375618e-10,7.71005754002401e-12
663,4.30894525294925e-11,1.22090369289624e-12
664,1.34722284567795e-11,3.23639376645557e-13
665,1.70077637453387e-12,5.07924568624903e-14
666,1.01129907021048e-13,2.92804586689337e-15
727,0.000540872161496826,2.13736296246075e-05
728,0.000151822210350795,6.25098418302511e-06
729,0.000171468108327881,7.00777998509259e-06
730,0.00288789561326989,0.000102161724742313
736,7.54192761779418e-07,2.64425235421506e-08
737,5.19594139808649e-07,1.46956372197753e-08
738,8.70905630821382e-08,2.34679990670824e-09
741,9.67930515364311e-10,2.38154342681646e-11
742,8.26178733247662e-10,1.88935659707672e-11
745,2.36828575989209e-11,5.84552510247424e-13
746,7.90174288465127e-12,2.31067689860521e-13
747,6.93273402944855e-13,1.90779859264567e-14
748,8.920619673783e-14,2.53055554574807e-15
809,0.00169994546151005,6.66592689307287e-05
810,0.00118322262352944,3.85951754225002e-05
811,0.00313127924136503,0.00012000616186936
816,3.39171972737985e-07,1.38885147242106e-08
817,8.78466850903023e-07,2.75785073065933e-08
818,4.37405795249245e-07,1.21153499540419e-08
819,8.11138363012012e-08,2.05440818803319e-09
822,1.31304913664481e-09,3.23488070936118e-11
823,6.9906108538482e-10,1.57039063242141e-11
825,6.55960902806648e-11,1.58832927963092e-12
826,1.69540664753893e-11,3.75780013999509e-13
827,2.01015627360764e-12,5.3623300446419e-14
828,2.22345386646757e-13,5.984094983699e-15
829,4.09698569658196e-14,1.01721502854588e-15
889,0.00977689193782828,0.000507176434327235
890,0.00343278568930049,0.000128909535881868
891,0.00439752036172326,0.00016184890744792
892,0.0174507853165617,0.00090738191070915
898,8.75037861985914e-07,2.97844347172869e-08
899,1.02574098902555e-06,2.84885019972601e-08
900,2.03044596125023e-07,5.16221036934635e-09
901,4.05686025152673e-08,9.82311346136144e-10
904,1.14009299836263e-09,2.54997568372247e-11
905,4.29792912050676e-10,9.47406650939556e-12
906,1.1796652787445e-10,2.74704125063623e-12
907,3.34065099329524e-11,7.63995645981415e-13
908,4.63253440953121e-12,1.22909816472391e-13
909,9.45355397724677e-13,2.30532556627347e-14
910,3.52346811960334e-13,9.30766569587411e-15
911,3.00800712226583e-14,6.80015156533339e-16
972,0.00637843992381074,0.000250867065211379
973,0.0171526781052998,0.0008164761959958
979,5.83042390024509e-07,2.42603914140788e-08
980,2.1979024059786e-06,6.72908838461141e-08
981,7.64947275493161e-07,2.05912176270501e-08
982,1.39994439482099e-07,3.37393963485163e-09
983,2.02959542794098e-08,4.70664099426424e-10
985,2.49900846333789e-09,6.10698053676179e-11
986,8.33443548199403e-10,1.81351246789512e-11
987,2.2482731460759e-10,4.81183745932916e-12
988,6.28555014204192e-11,1.45909182266175e-12
989,1.30147498486722e-11,3.66128216269227e-13
990,2.09063552712841e-12,5.24593955440409e-14
991,5.86016863647402e-13,1.4153465168995e-14
992,3.86760062789885e-13,1.0418326356002e-14
1060,1.23262598139473e-06,3.97204861772684e-08
1061,1.43635004993327e-06,3.90465741129186e-08
1062,4.06858373521617e-07,1.0273700441553e-08
