"HID","bayesmean-orig","bayesmed-orig"
75,6.17260644993917e-08,-3.93703013809754e-09
76,2.86690456063995e-07,-2.47272190753772e-08
77,1.69312604700492e-07,-9.0401934882875e-09
78,1.8028750889115e-07,-6.7040234177433e-09
79,7.98342141224663e-07,-4.61234510882994e-08
80,1.59342603519552e-05,-2.35103707186764e-06
81,0.00199558546719384,-0.000839799425870257
82,0.00191224032187097,-0.000185672796589188
156,9.41281471037748e-08,-6.64313646021298e-09
157,9.28438780798895e-08,-6.94750871503781e-09
158,1.20317207255254e-07,-5.47169962871116e-09
159,2.03816230413095e-07,-6.5242328818904e-09
160,2.28581052792373e-06,-1.89193720507929e-07
161,0.000171040485295046,-3.63640128980393e-05
162,0.0013575005154832,-0.000335525543213079
238,7.5326027306297e-08,-6.84999433003117e-09
239,9.05618796671989e-08,-5.6177272312206e-09
240,7.45202049000817e-08,-1.71442350796103e-09
241,1.8841825381221e-07,-5.222361968694e-09
242,5.29843452134674e-06,-5.37248038389845e-07
243,0.001475954778538,-0.000492471348130219
255,3.11212086990733e-05,-2.76343404411922e-08
320,9.99754216988754e-08,-7.06355825600833e-09
321,6.23946688368282e-08,-3.11022778892065e-09
322,5.40009996158537e-08,-7.68547008998051e-10
323,5.15089646340871e-07,-2.28574003951357e-08
324,5.47151154442109e-05,-8.6961156229365e-06
325,0.000816803909662093,-0.000170478703717264
335,9.17006856976964e-05,-1.01594066424296e-07
336,7.19602779232106e-06,-8.80859302292250e-09
401,1.54973900559385e-07,-1.1626426963924e-08
402,6.81313323840687e-08,-2.23125735583238e-09
403,1.28161016011149e-07,-3.12623157893903e-09
404,1.83163097646296e-06,-1.27006563366753e-07
405,0.000183714022670399,-3.46298457952231e-05
406,0.00381168590689159,-0.000446824546746735
410,-0.590999142040502,-0.915316658921971
412,0.0674471634461664,-0.00676165965008625
416,0.000151819446748276,-1.6646458568938e-07
417,6.58410399199207e-06,-1.89884477115065e-08
418,2.74501008274818e-06,-4.00919346285289e-09
421,2.96464225347513e-08,-2.79213541478833e-11
483,1.77471432902163e-07,-1.20569454508968e-08
484,8.15384870307264e-08,-2.26856317009288e-09
485,6.50319354369401e-07,-3.00444421672724e-08
486,4.51590346918641e-05,-6.91976851734363e-06
487,0.00148691176769746,-0.000297143460564521
493,0.061483732619915,-0.00566787194302431
494,0.0272623824168142,-0.000172449469403155
498,2.50188050195641e-05,-6.59444894250833e-08
499,4.03543577455712e-06,-1.34824823069417e-08
502,1.77464935067609e-08,-2.96141828511329e-11
503,5.68707722928712e-09,-5.20332394056736e-12
564,1.83326831352767e-07,-1.21807237021615e-08
565,1.91132682260263e-07,-1.03526981479184e-08
566,4.69650400263739e-07,-2.46125521026255e-08
567,4.74925965806619e-06,-3.8380315615451e-07
568,0.000179841143431817,-3.21043066561693e-05
573,0.0573985561157114,-0.0736839527037012
574,0.0209713441676336,-0.000123102807954227
575,0.0053283094164483,-1.17255651707227e-05
578,5.78349589990688e-05,-1.41577741825132e-07
579,6.12354555591027e-06,-3.43177960450744e-08
580,1.21432773377934e-06,-4.6801835436555e-09
582,1.97507428667729e-08,-4.15640035463909e-11
583,1.76854616715761e-09,-3.70922608731853e-12
645,5.27688736126506e-07,-3.07598157029862e-08
646,3.69163193228168e-07,-1.94329994024146e-08
647,3.30607383175639e-06,-2.35497063695943e-07
648,0.00010309452131031,-1.47448997030107e-05
649,0.00121849511046819,-0.000224491948725113
654,-0.146158176088963,-0.33820256961475
655,0.0242731812528807,-0.000262848862516585
656,0.00405376635505154,-1.69500582039397e-05
657,0.000788738621119341,-2.47467523729388e-06
660,1.09789753728171e-05,-5.30131401561082e-08
661,2.33961522682255e-06,-1.3877346715433e-08
663,3.66674119093874e-08,-1.2089003598673e-10
664,1.60077464762176e-09,-4.46711930975625e-12
665,3.09148950089701e-10,-5.08959961032084e-13
666,4.7543153907103e-10,-3.23858407008302e-13
727,2.43789309857992e-06,-1.61946166220706e-07
728,2.41951901077812e-06,-1.66548262702502e-07
729,1.46485637065035e-05,-1.44208957205879e-06
730,0.000156248904942926,-2.27561837638781e-05
736,0.030097127931206,-0.000479834500973475
737,0.00322119355677495,-2.25983669575584e-05
738,0.000755831491376641,-3.87987949061048e-06
741,2.43622944741668e-05,-1.04610219901275e-07
742,4.48428936616458e-06,-3.44247187519974e-08
745,2.76483541902642e-09,-8.66877202238584e-12
746,3.3413672007975e-10,-7.48565741648144e-13
747,7.46287643618027e-11,-9.2100671735028e-14
748,1.67051480777523e-10,-1.03872456499927e-13
809,1.02120686249187e-05,-7.83721850091608e-07
810,0.000121494812297366,-1.632137518176e-05
811,6.71220857672327e-05,-8.03131817378222e-06
816,-0.256048833920416,-0.465691425687856
817,0.0204779058974031,-0.000234435118099685
818,0.00105757059496924,-8.26117944577567e-06
819,0.000339504755508302,-2.07410870271278e-06
822,5.91391491763772e-06,-3.9470521700858e-08
823,1.15184669204408e-06,-8.67249169012135e-09
825,3.89719571245283e-09,-1.56245618315216e-11
826,4.03007862355188e-10,-1.02718748142813e-12
827,5.33958190690768e-11,-6.6338197217598e-14
828,3.39892569661995e-11,2.74577482716099e-14
829,1.69201213908613e-10,2.18839787999303e-14
889,8.52578062028621e-06,-4.00197988414272e-07
890,1.19561335148309e-05,-8.17328812735023e-07
891,2.81735444486774e-05,-2.32675751384827e-06
892,0.000141378268695892,-1.28347642304823e-05
898,0.0466483452007726,-0.00273286012718754
899,0.00164534837796407,-1.52268925062979e-05
900,0.000518124957674799,-4.52043041421484e-06
901,0.000350781191424135,-2.06986773724108e-06
904,1.50972428601724e-06,-1.24189701815768e-08
905,2.70655437190318e-07,-1.83982735531172e-09
906,1.23582959420222e-08,-5.81653554029916e-11
907,8.23283485876872e-10,-2.56779130814796e-12
908,5.72610861976198e-11,-7.1417564616947e-14
909,1.2674796878164e-11,3.99550869741441e-14
910,8.78604750997581e-12,1.03161125620104e-14
911,2.00777353323474e-10,1.96901565285625e-14
972,1.39052884450071e-05,-9.11532583784898e-07
973,4.2052797022112e-05,-2.90759639967517e-06
979,-0.159223053612327,-0.351420326917065
980,0.0109661054477743,-0.000111128073448236
981,0.00121448465576734,-1.33775013652611e-05
982,0.000454057746571469,-4.26219328339986e-06
983,7.45420834965946e-05,-5.05343061397354e-07
985,2.73706757665248e-06,-2.2839687352575e-08
986,4.52398942238514e-07,-3.49521383399453e-09
987,2.23376220394481e-08,-1.2516290258436e-10
988,1.71432033185437e-09,-6.35227623815033e-12
989,1.21780028483058e-10,-2.24539096213073e-13
990,1.67800990454719e-11,6.06369494688408e-14
991,4.0483001476958e-12,1.09316348647894e-14
