"HID","bayesmean-orig","bayesmed-orig"
75,8.84619197697087e-05,3.4537872900978e-05
76,5.26604407200294e-06,1.78369444672948e-06
77,8.66677238351359e-07,2.76764917420219e-07
78,5.08534516819347e-07,1.56971043734518e-07
79,1.00135936261407e-06,3.16959227617581e-07
80,9.1697357067473e-06,3.16921951272965e-06
81,0.00050917729834462,0.000221238165151871
82,0.00557094695797842,0.00127735735281578
156,4.93925635342206e-05,2.05534842930428e-05
157,8.10520693925438e-06,2.90569443319033e-06
158,7.15637560876784e-07,2.27598916289051e-07
159,4.11397941909903e-07,1.19345954311396e-07
160,2.0971375994722e-06,6.94156909648802e-07
161,8.03119127765006e-05,3.25568555593108e-05
162,0.000756334251214278,0.000296289586190256
238,0.000109020498334802,4.48933702358546e-05
239,1.98626341372084e-06,6.41486571818453e-07
240,2.57900715360797e-07,6.86355136417839e-08
241,3.25281123702473e-07,8.61897835788741e-08
242,3.30234440328911e-06,1.06569149776958e-06
243,0.000312482450169113,0.000126094820758836
255,1.33253334294865e-10,1.62337533563258e-11
320,7.85758346776853e-05,3.26249327058159e-05
321,1.48625550477348e-06,4.33728017874356e-07
322,1.68616409049713e-07,4.4085344719465e-08
323,5.70383878548501e-07,1.58315050325882e-07
324,2.00389790202887e-05,6.69094164730064e-06
325,0.000266131161118245,0.000112028325475462
335,2.41620288211106e-10,3.10911712927886e-11
336,8.04361650231614e-11,1.00194083346298e-11
401,1.07375931176671e-05,3.81003685614266e-06
402,3.89405017299963e-07,1.06256289401437e-07
403,2.27193328244016e-07,6.02195004271974e-08
404,1.04564939532256e-06,3.00939354437757e-07
405,3.01626412070861e-05,1.03931610433527e-05
406,0.00354739818685955,0.00092202624724596
410,8.96850985489495e-08,2.6435493357338e-08
412,1.06542047167948e-08,2.4360378393025e-09
416,6.02814714525072e-10,8.19491279388813e-11
417,2.25702308265446e-10,3.06848078952106e-11
418,1.1533293315605e-10,1.53436711147096e-11
421,9.51319705416595e-12,9.4222768432241e-13
483,1.08272474812145e-05,3.7977219357695e-06
484,2.16706648978944e-07,5.53084838493448e-08
485,4.06957115074893e-07,1.05179883847442e-07
486,1.16553281978029e-05,3.69899363842419e-06
487,0.000947106617085454,0.000368725529535824
493,3.94035964802333e-08,9.68495422072382e-09
494,2.24239479463345e-08,5.16713666497527e-09
498,4.91073003999973e-10,6.89599177157318e-11
499,2.12876719916223e-10,2.99210153012506e-11
502,1.83622036911379e-11,1.8502087363394e-12
503,5.01058083870156e-12,4.43699233721747e-13
564,0.000213068653601799,8.6612796462048e-05
565,3.02262393111014e-06,8.79528053007837e-07
566,1.06999430357134e-06,2.93253501781063e-07
567,1.51073875058493e-06,3.93497759686385e-07
568,6.73612340281683e-05,2.4587188115434e-05
573,1.04180807960593e-07,2.76693154094912e-08
