"HID","PA","valpred"
48763,0,0.0155195297696732
48844,0,0.0055246567386064
48925,0,0.00423094025453021
49005,0,0.00387548395128303
49006,0,0.0060889153174093
49087,0,0.00475555024013552
49168,0,0.0047405828127949
49249,0,0.00620581549166483
49330,0,0.00502957875314374
49492,0,0.00634372096498409
59090,0,0.00730818149776401
59091,0,0.00718614407486632
59092,0,0.00614904173799086
59093,0,0.0120249574615123
59171,0,0.00834649294737289
59172,0,0.00727049093751695
59173,0,0.0120486941585748
59251,0,0.0197185648300728
59252,0,0.0119036427037187
59253,0,0.00891245224413128
59254,0,0.0051989768847865
59262,0,0.650471133309594
59332,0,0.0230080620802524
59333,0,0.0176082063773287
59334,0,0.0112789548134648
59335,0,0.0106324021486881
59336,0,0.0187789801022133
59344,0,0.525813446941251
59413,0,0.0216556075135145
59414,0,0.0148361358723547
59415,0,0.0131233555435726
59416,0,0.0167014156729896
59424,0,0.566104477432237
59425,0,0.382942021524993
59494,0,0.0317636177481481
59495,0,0.0207869780464961
59496,0,0.0145022925704051
59497,0,0.0172011273098361
59506,0,0.401163493089014
59507,0,0.179516468907679
59576,0,0.0295150891488492
59577,0,0.019646792883643
59578,0,0.0171508356440132
59579,0,0.0254099565369389
59587,0,0.34405945797459
59588,0,0.267282549196043
59589,0,0.162980063494103
59656,0,0.0325842407480271
59657,0,0.0246527364118878
59658,0,0.0192739500676556
59659,0,0.0187433862067046
59668,0,0.27144919373711
59669,0,0.11999237023129
59670,0,0.110705964238837
59736,0,0.0542406688059348
59737,0,0.0407326373611836
59738,0,0.0303589299190624
59739,0,0.0193265705533103
59740,0,0.0208787573467995
59741,0,0.0288357981605566
59749,0,0.350649283594582
59750,0,0.14315408091312
59751,0,0.0830094475719388
59752,0,0.0878143861901182
59816,0,0.0436265693291459
59817,0,0.0687957135610283
59818,0,0.0585873414642008
59819,0,0.038794834927298
59820,0,0.0243528072199547
59821,0,0.0192342908561661
59822,0,0.0215521046445481
59830,0,0.439726183484207
59831,0,0.218828651967822
59832,0,0.0860026618000167
59833,0,0.0692662374879157
59834,0,0.0872831930614075
59895,0,0.0320417336642114
59896,0,0.0518890966121435
59897,0,0.0603263240672439
59898,0,0.0587095250125058
59899,0,0.0459807708368128
59900,0,0.0312514971890664
59901,0,0.0196909176152063
59902,0,0.0186879255867473
59903,0,0.0264784413758779
59910,0,0.59065604694002
59911,0,0.276813621618238
59912,0,0.0884258922195171
59913,0,0.0667636133383801
59914,0,0.0850787153766348
59915,0,0.0892088285914336
59976,0,0.0257838753727301
59977,0,0.0543710109566554
59978,0,0.0688717324549364
59979,0,0.0698968305799047
59980,0,0.0596200229697244
59981,0,0.0443153845328992
59982,0,0.0247055537180076
59983,0,0.0228785920361338
59984,0,0.0212200778936124
59985,0,0.0351821768820093
59991,0,0.556421030060577
59992,0,0.289097513991806
59993,0,0.129869759311565
59994,0,0.0542334187688697
59995,0,0.0684562225980487
59996,0,0.0577894963428069
59997,0,0.102611270923441
60057,0,0.0284782103188415
60058,0,0.0436443265683641
60059,0,0.0778928095722206
60060,0,0.091903810182091
60061,0,0.0758210508913528
60062,0,0.0528166282073707
60063,0,0.0305014105918006
60064,0,0.0210126077692616
60065,0,0.0244445741167156
60066,0,0.0295805596056045
60067,0,0.0533803766300417
60073,0,0.297195131081879
60074,0,0.142602289409706
60075,0,0.0414955798181604
60076,0,0.043838652382218
60077,0,0.0799191760695914
60078,0,0.0974774205710363
60137,0,0.0458795220198092
60138,0,0.0465176588054474
60139,0,0.0625876736925775
60140,0,0.0865805222015679
60141,0,0.0774446039177215
60142,0,0.0560751845553987
60143,0,0.037131312071221
60144,0,0.0236604159067002
60145,0,0.0193779354306443
60146,0,0.0298205899168433
60147,0,0.0438160814279206
60148,0,0.0855616550754571
60153,0,0.389769871586858
60154,0,0.149162355093674
60155,0,0.0460655271656183
60156,0,0.0405012651988315
60157,0,0.0578318296589223
60158,0,0.0800894903661446
60159,0,0.121555678802024
60218,0,0.0487432303940331
60219,0,0.0571048438611319
60220,0,0.0642677163533728
60221,0,0.0740225095305672
60222,0,0.0918217458521587
60223,0,0.0607137346927965
60224,0,0.0504013481965728
60225,0,0.0353199465945841
60226,0,0.023121979369187
60227,0,0.0236446281810812
60228,0,0.0290837678128931
60229,0,0.0643545576211849
60230,0,0.126793085333449
60235,0,0.232166647123544
60236,0,0.0695359067264034
60237,0,0.0367277689164111
60238,0,0.0492867389253839
60239,0,0.052767461983128
60240,0,0.0999896413282926
60299,0,0.0385071333660923
60300,0,0.0510353471394666
60301,0,0.0592599905733736
60302,0,0.0796895330526925
60303,0,0.0895676655747375
60304,0,0.0774190941757652
60305,0,0.060876269232923
60306,0,0.0461873928095965
60307,0,0.0334343141999948
60308,0,0.0262515691892504
60309,0,0.0309237715767648
60310,0,0.0411526260674501
60311,0,0.0693749166334773
60312,0,0.172722477491137
60316,0,0.313847243414072
60317,0,0.112634144173675
60318,0,0.0321554342238916
60319,0,0.0329805857296474
60320,0,0.0502306653155492
60321,0,0.0717798078749241
60322,0,0.0822799825962219
60379,0,0.0354946732839238
60380,0,0.0426785992789594
60381,0,0.0575468378386362
60382,0,0.0773378309224471
60383,0,0.0795696207227739
60384,0,0.0743825178443348
60385,0,0.0633597729006696
60386,0,0.0530177914232509
60387,0,0.0415725522142415
60388,0,0.0364314317298611
60389,0,0.0317223203417178
60390,0,0.0319153497993236
60391,0,0.044519694425731
60392,0,0.120493102012238
60393,0,0.233350742103895
60397,0,0.313828903016012
60398,0,0.0487136925326885
60399,0,0.0316255518400503
60400,0,0.0383820042712696
60401,0,0.0463006914811036
60402,0,0.0808271181356707
60403,0,0.0919968905961732
60460,0,0.0385446404910079
60461,0,0.0441821509596792
60462,0,0.0459868133236002
60463,0,0.0519430792436108
60464,0,0.0860382092490261
60465,0,0.0695328086361812
60466,0,0.0666333851157182
60467,0,0.0622441872055448
60468,0,0.0508377293797486
60469,0,0.0439974487479794
60470,0,0.0388399425201293
60471,0,0.0379659772075645
60472,0,0.0465602136297834
60473,0,0.0470156511016591
60474,0,0.156845488985398
60478,0,0.322076627002531
60479,0,0.125560048545269
60480,0,0.0405253273227555
60481,0,0.0266993909239105
60482,0,0.0398243537437233
60483,0,0.0749466594645109
60484,0,0.0889707117808839
60541,0,0.0379384179037326
60542,0,0.0412814006557475
60543,0,0.0480340746778987
60544,0,0.0471279926578961
60545,0,0.0464998361345947
60546,0,0.0854668248804306
60547,0,0.072546344179165
60548,0,0.0673332818165956
60549,0,0.0599848518240006
60550,0,0.052923978553074
60551,0,0.0473449645705168
60552,0,0.0453294412340205
60553,0,0.0431639570214547
60554,0,0.0683336666962625
60555,0,0.0523339991035354
60556,0,0.251482844230113
60557,0,0.309142084606942
60560,0,0.311352391540101
60561,0,0.0583310092261014
60562,0,0.0210120239721672
60563,0,0.0310159152022585
60564,0,0.0373332073305464
60565,0,0.0797548287936643
60566,0,0.123967955611509
60621,0,0.0404012377964753
60622,0,0.0395342200902902
60623,0,0.0473150816448866
60624,0,0.0487582390712441
60625,0,0.0468185823645605
60626,0,0.0360347714768257
60627,0,0.0742272931060046
60628,0,0.0664709973374559
60629,0,0.0610256891839747
60630,0,0.0676380810283496
60631,0,0.0649959798508899
60632,0,0.0534221510944299
60633,0,0.0594942171482468
60634,0,0.0451981647489086
60635,0,0.0362773005661521
60636,0,0.114893267410231
60637,0,0.212093007591582
60638,0,0.340111349302532
60640,0,0.265735184479168
60641,0,0.112417282195808
60642,0,0.0293127297254337
60643,0,0.0159931674620234
60644,0,0.0255243176578394
60645,0,0.0702123223618886
60646,0,0.111690871886533
60702,0,0.0379303533853543
60703,0,0.0443338662608094
60704,0,0.0418310671719384
60705,0,0.0482106619208277
60706,0,0.0489545332701524
60707,0,0.0443948117684965
60708,0,0.0734717694512004
60709,0,0.0672391900927871
60710,0,0.0689050097066011
60711,0,0.0703503147303702
60712,0,0.0784846642619073
60713,0,0.0692729200384324
60714,0,0.0633790929847906
60715,0,0.0486581829726235
60716,0,0.0339074616342002
60717,0,0.0382371748795073
60718,0,0.110777105632034
60719,0,0.235548670349923
60720,0,0.43024281419428
60722,0,0.210327849906433
60723,0,0.0568027959631829
60724,0,0.0132749570122484
60725,0,0.0157217769989088
60726,0,0.0380418220587211
60727,0,0.0942672830069961
60783,0,0.048167139715188
60784,0,0.0436342998297878
60785,0,0.0461562002964085
60786,0,0.0433376877943309
60787,0,0.0480814683748317
60788,0,0.0474930634412482
60789,0,0.0346066380203554
60790,0,0.0704411805217861
60791,0,0.0625060685361448
60792,0,0.0682542187221476
60793,0,0.0839907685202928
60794,0,0.0834034827851568
60795,0,0.0820073892116959
60796,0,0.0614156574351832
60797,0,0.0378437553055454
60798,0,0.0287745895987577
60799,0,0.0588494607489497
60800,0,0.109477128590061
60801,0,0.299349357243084
60802,0,0.434278316167002
60803,0,0.312582237276563
60804,0,0.11733748745222
60805,0,0.0245968086319882
