"HID","PA","valpred"
48763,0,0.297124978434366
48844,0,0.166714593594468
48925,0,0.230067165984626
49005,0,0.287944995506446
49006,0,0.260731356169941
49087,0,0.375520864682857
49168,0,0.480788536897184
49249,0,0.412833201413663
49330,0,0.478107587869981
49492,0,0.436819589887019
59090,0,0.411254326888995
59091,0,0.367247234666159
59092,0,0.333447557269419
59093,0,0.333418782881917
59171,0,0.373160005783076
59172,0,0.364962614281546
59173,0,0.318755432320158
59251,0,0.456573039911779
59252,0,0.41321394859891
59253,0,0.470059632897688
59254,0,0.580140643686526
59262,0,0.883679520533699
59332,0,0.39463367613986
59333,0,0.496564607324827
59334,0,0.503784946551074
59335,0,0.536419382787643
59336,0,0.415125466792653
59344,0,0.922849779001134
59413,0,0.484220236152325
59414,0,0.515247627773709
59415,0,0.39011211372708
59416,0,0.55724092431891
59424,0,0.885030866690254
59425,0,0.861237095302193
59494,0,0.265686225745305
59495,0,0.489023042384788
59496,0,0.32306566876492
59497,0,0.485774811477757
59506,0,0.821111721109189
59507,0,0.774258250751439
59576,0,0.240595073991741
59577,0,0.354874151859871
59578,0,0.346757821683242
59579,0,0.483903678563939
59587,0,0.71126002446407
59588,0,0.841387074545634
59589,0,0.86982705264711
59656,0,0.180538477737894
59657,0,0.206940409566719
59658,0,0.238232798283069
59659,0,0.390182969644561
59668,0,0.864351525028345
59669,0,0.819754448585774
59670,0,0.648150904962552
59736,0,0.0488512753724259
59737,0,0.101414593057302
59738,0,0.206580825358662
59739,0,0.124122230931919
59740,0,0.250766761171785
59741,0,0.315400065177857
59749,0,0.917328334024795
59750,0,0.871939211666513
59751,0,0.519222781301499
59752,0,0.666106308920171
59816,0,0.0417636958281078
59817,0,0.0583456389236855
59818,0,0.0935537585333265
59819,0,0.107171448430844
59820,0,0.138649272684127
59821,0,0.0988139502979696
59822,0,0.251028259570546
59830,0,0.953163517384676
59831,0,0.881820243696852
59832,0,0.793194096953865
59833,0,0.36166718867917
59834,0,0.669331420179649
59895,0,0.0370268335177699
59896,0,0.0714468711231706
59897,0,0.0591599801294954
59898,0,0.078055617480746
59899,0,0.0620931996921951
59900,0,0.0731305979644298
59901,0,0.0952528011218368
59902,0,0.0951673067185322
59903,0,0.189934403199489
59910,0,0.959450711929849
59911,0,0.931225347715349
59912,0,0.734293636543862
59913,0,0.332480124912401
59914,0,0.293986845578643
59915,0,0.799008867113306
59976,0,0.022927730681732
59977,0,0.0867506749407409
59978,0,0.118113868532278
59979,0,0.0860820485012529
59980,0,0.0842729327220428
59981,0,0.0337553336733591
59982,0,0.0278386543345162
59983,0,0.227429188638025
59984,0,0.0899361732257107
59985,0,0.235360746945323
59991,0,0.88386266645399
59992,0,0.935941383275409
59993,0,0.801095666971574
59994,0,0.213192537532842
59995,0,0.198161507754258
59996,0,0.7285648718515
59997,0,0.609412990834905
60057,0,0.0153181693632414
60058,0,0.0597488143529854
60059,0,0.146680695749659
60060,0,0.173712842473889
60061,0,0.121472828333351
60062,0,0.0217812948386429
60063,0,0.0132626649167647
60064,0,0.02621349526159
60065,0,0.307274599363612
60066,0,0.0992305172977903
60067,0,0.247766016917262
60073,0,0.866311497375951
60074,0,0.657834352977205
60075,0,0.208747351688149
60076,0,0.134015282672474
60077,0,0.394270973329256
60078,0,0.816422149351668
60137,0,0.0331058670254668
60138,0,0.0508093802902673
60139,0,0.0673441671919325
60140,0,0.157786979980612
60141,0,0.0959085663819494
60142,0,0.0309082866516227
60143,0,0.0125014559580433
60144,0,0.011370591906052
60145,0,0.0370636086817224
60146,0,0.338049671358579
60147,0,0.115893304866147
60148,0,0.283328866992861
60153,0,0.744367543680126
60154,0,0.709909737027669
60155,0,0.300404462366551
60156,0,0.193138063848521
60157,0,0.129878460739085
60158,0,0.745094457073301
60159,0,0.729966061416815
60218,0,0.0342157779702597
60219,0,0.0678555260512423
60220,0,0.109234565532274
60221,0,0.0953392270348609
60222,0,0.125363947316131
60223,0,0.0456055713562313
60224,0,0.0236138869027026
60225,0,0.0231638586860259
60226,0,0.0176613154350313
60227,0,0.144500790883655
60228,0,0.388774826707016
60229,0,0.312976922959283
60230,0,0.476001499578944
60235,0,0.924145472318469
60236,0,0.1708972685595
60237,0,0.451177821503849
60238,0,0.170399731405176
60239,0,0.421566234887819
60240,0,0.856215705238556
60299,0,0.014410175012506
60300,0,0.0292556203139607
60301,0,0.0858293806461696
60302,0,0.135833703024985
60303,0,0.12235770985466
60304,0,0.0702452377850417
60305,0,0.032085477502473
60306,0,0.0189929289069823
60307,0,0.0220098365431037
60308,0,0.0526744457355937
60309,0,0.239965669970476
60310,0,0.245470517623947
60311,0,0.292092374025872
60312,0,0.627027487175636
60316,0,0.831728810339428
60317,0,0.373960137543067
60318,0,0.125191655269362
60319,0,0.452620979495194
60320,0,0.155672224620129
60321,0,0.777879697681335
60322,0,0.575895804054824
60379,0,0.0346165536117357
60380,0,0.0211180853689225
60381,0,0.0321639012054927
60382,0,0.091593038008798
60383,0,0.108784801278701
60384,0,0.0645576209146598
60385,0,0.0381499378219004
60386,0,0.0174354107883228
60387,0,0.0157428048935896
60388,0,0.0347507153502
60389,0,0.090562565049787
60390,0,0.136812004028535
60391,0,0.290922434033049
60392,0,0.632886100703522
60393,0,0.777749421141565
60397,0,0.956830752061278
60398,0,0.131925762188789
60399,0,0.239966945920009
60400,0,0.308649897272676
60401,0,0.443984063166542
60402,0,0.821105321261538
60403,0,0.306360282846743
60460,0,0.0285329302152636
60461,0,0.0267419043244373
60462,0,0.0182504486652761
60463,0,0.0386541357982355
60464,0,0.0977505660229626
60465,0,0.0499120269433421
60466,0,0.0408564348221335
60467,0,0.0287683651066587
60468,0,0.00987709858214955
60469,0,0.017260243719427
60470,0,0.0517944972610278
60471,0,0.0931378921421992
60472,0,0.252006876554724
60473,0,0.140852205398718
60474,0,0.760906456155271
60478,0,0.862161421132195
60479,0,0.505407239440795
60480,0,0.166667693292071
60481,0,0.436184399287256
60482,0,0.111303292436295
60483,0,0.633371847553255
60484,0,0.512711408091005
60541,0,0.0204901050632522
60542,0,0.0174257995414232
60543,0,0.0121819057411627
60544,0,0.0143097916013737
60545,0,0.0439679887404023
60546,0,0.0751848253190426
60547,0,0.0464740497818123
60548,0,0.0307594157331624
60549,0,0.0140311076324263
60550,0,0.0136117956821389
60551,0,0.0305132422097339
60552,0,0.0722720675976494
60553,0,0.118500823464821
60554,0,0.419572648053289
60555,0,0.0680592867036025
60556,0,0.880467694691619
60557,0,0.847592524750878
60560,0,0.935611773885446
60561,0,0.432157234768592
60562,0,0.101878395352888
60563,0,0.250870621343016
60564,0,0.0372766386434809
60565,0,0.219517048396334
60566,0,0.448358931667699
60621,0,0.0280740217453671
60622,0,0.0191060247081384
60623,0,0.0123875989604648
60624,0,0.00931070054066018
60625,0,0.0186780041881805
60626,0,0.0234206878099893
60627,0,0.0410120036164174
60628,0,0.0320620093790159
60629,0,0.0234988844428541
60630,0,0.0131453366587639
60631,0,0.0193766788816124
60632,0,0.066807948111938
60633,0,0.172139775304086
60634,0,0.182154556288362
60635,0,0.0771772818374992
60636,0,0.611794912621058
60637,0,0.781029664732669
60638,0,0.879324732474349
60640,0,0.782810013642776
60641,0,0.753808966772139
60642,0,0.171822461413698
60643,0,0.0534026729632648
60644,0,0.0473118471141243
60645,0,0.116402458254269
60646,0,0.179975128692589
60702,0,0.0250330486488658
60703,0,0.0277437172317559
60704,0,0.0155825352955319
60705,0,0.00948672997831353
60706,0,0.0113719670346339
60707,0,0.0293086160839878
60708,0,0.0329005816899457
60709,0,0.0309438567731872
60710,0,0.0277043372488612
60711,0,0.0166374514097012
60712,0,0.019762291664795
60713,0,0.0556884309172054
60714,0,0.136243997400053
60715,0,0.138987344400247
60716,0,0.0872030006909672
60717,0,0.107761454536883
60718,0,0.523951983335437
60719,0,0.595278911268928
60720,0,0.942236969386634
60722,0,0.830777532403048
60723,0,0.322045267014791
60724,0,0.0476914738457017
60725,0,0.102102821185022
60726,0,0.031463762567126
60727,0,0.170426164093197
60783,0,0.0217978413845819
60784,0,0.02387328579877
60785,0,0.0226080477521485
60786,0,0.0109828741784131
60787,0,0.0102497476980279
60788,0,0.0114552455647305
60789,0,0.0140395650666768
60790,0,0.0293742139029874
60791,0,0.0248825861732236
60792,0,0.0279320338149812
60793,0,0.0206650035030051
60794,0,0.0479800602658269
60795,0,0.133697311938128
60796,0,0.156830341329006
60797,0,0.087421132433679
60798,0,0.0487190858186265
60799,0,0.293630575848645
60800,0,0.514264609036814
