"HID","PA","valpred"
48763,0,0.100314396344438
48844,0,0.116898757818378
48925,0,0.117327536890156
49005,0,0.110102732394676
49006,0,0.115880468068901
49087,0,0.11182662661788
49168,0,0.104535939160325
49249,0,0.107872541250455
49330,0,0.104969486216528
49492,0,0.107943507891765
59090,0,0.107922072721554
59091,0,0.105339520860559
59092,0,0.103512404129067
59093,0,0.107362626421358
59171,0,0.105474853094804
59172,0,0.103348324563431
59173,0,0.10051066809886
59251,0,0.116768404086379
59252,0,0.103237888185304
59253,0,0.103512004442675
59254,0,0.0783130650554297
59262,0,0.486952153869257
59332,0,0.114975400134119
59333,0,0.110573688470759
59334,0,0.100340342175784
59335,0,0.0998812371348806
59336,0,0.0949198682900145
59344,0,0.530224454477957
59413,0,0.109801153644516
59414,0,0.0985616122262345
59415,0,0.0961525051954988
59416,0,0.0975037266820086
59424,0,0.463525243745691
59425,0,0.53148298915785
59494,0,0.112561619901115
59495,0,0.106843853205545
59496,0,0.0953109556499255
59497,0,0.0969211523263884
59506,0,0.472203614032729
59507,0,0.430289283683852
59576,0,0.103265123092267
59577,0,0.0973253417496679
59578,0,0.0977040389129702
59579,0,0.0991689407116554
59587,0,0.368661987415915
59588,0,0.491665798086049
59589,0,0.404100362110571
59656,0,0.109074130560824
59657,0,0.0978942320852682
59658,0,0.0910529615545122
59659,0,0.0958555182301719
59668,0,0.405398762039412
59669,0,0.302414482752548
59670,0,0.395330002395504
59736,0,0.0886294258519622
59737,0,0.112103709733178
59738,0,0.103412092964157
59739,0,0.0784189618858834
59740,0,0.0931596340004049
59741,0,0.109504809205696
59749,0,0.389259891876007
59750,0,0.321169259590711
59751,0,0.290938103243286
59752,0,0.440733462994997
59816,0,0.121473780366986
59817,0,0.108147882016812
59818,0,0.110524144339751
59819,0,0.103106990549557
59820,0,0.0904782711767293
59821,0,0.0871012902598825
59822,0,0.103441153433717
59830,0,0.35686688045648
59831,0,0.38705195703721
59832,0,0.25582066423122
59833,0,0.272859323640672
59834,0,0.518889040328046
59895,0,0.150889448292329
59896,0,0.154629132183794
59897,0,0.117615567251068
59898,0,0.104635165226725
59899,0,0.105392233735203
59900,0,0.093026117154236
59901,0,0.0769987182442812
59902,0,0.0947218793145552
59903,0,0.125184954503322
59910,0,0.385597165445138
59911,0,0.355495793777033
59912,0,0.248443171178017
59913,0,0.258550712824417
59914,0,0.380459446762065
59915,0,0.507841151190652
59976,0,0.144023626293228
59977,0,0.171776218963401
59978,0,0.151383798306783
59979,0,0.113852671421264
59980,0,0.114786091761505
59981,0,0.109946950147316
59982,0,0.0754248045745461
59983,0,0.0842078231456092
59984,0,0.109420143041287
59985,0,0.139287544620041
59991,0,0.389734850127938
59992,0,0.326197417192773
59993,0,0.337499410307136
59994,0,0.214656613097893
59995,0,0.241248040201964
59996,0,0.369494074365807
59997,0,0.350551209089178
60057,0,0.16939203512747
60058,0,0.166135939527223
60059,0,0.175014366406894
60060,0,0.160276670471435
60061,0,0.117177551097361
60062,0,0.108098216567014
60063,0,0.0844722292122527
60064,0,0.0782122515097241
60065,0,0.0829568086452816
60066,0,0.128066513966534
60067,0,0.154916734130391
60073,0,0.339771933560455
60074,0,0.319599464889161
60075,0,0.200419995760528
60076,0,0.200053240352037
60077,0,0.31136279612542
60078,0,0.478671862044757
60137,0,0.574579680098598
60138,0,0.194655749987565
60139,0,0.175612626958151
60140,0,0.166329918935004
60141,0,0.138710674630622
60142,0,0.114919170648945
60143,0,0.0885836778489638
60144,0,0.0830035038839974
60145,0,0.0762838465621449
60146,0,0.105448168137762
60147,0,0.138658563105106
60148,0,0.163845496497007
60153,0,0.372862204745307
60154,0,0.345064510815029
60155,0,0.199951714458209
60156,0,0.190532559143247
60157,0,0.23824305627517
60158,0,0.413768977874502
60159,0,0.425905392142191
60218,0,0.574507823417582
60219,0,0.563913899238701
60220,0,0.208839070103643
60221,0,0.17715204984368
60222,0,0.15845578221123
60223,0,0.136595941506675
60224,0,0.112959384665224
60225,0,0.0923922888752745
60226,0,0.0848939302639014
60227,0,0.0721468649656203
60228,0,0.122519060653802
60229,0,0.145117666984071
60230,0,0.170437202622897
60235,0,0.365297895631709
60236,0,0.320330890311165
60237,0,0.174763728258991
60238,0,0.198576965115976
60239,0,0.243120968683497
60240,0,0.495493703596181
60299,0,0.604512899186228
60300,0,0.576591053790322
60301,0,0.56475668969581
60302,0,0.213153206523685
60303,0,0.185634562087461
60304,0,0.14228525045297
60305,0,0.120990292281076
60306,0,0.104767904571686
60307,0,0.0940186352127784
60308,0,0.0759383230063324
60309,0,0.109684345190948
60310,0,0.135173542069694
60311,0,0.15784767519372
60312,0,0.182372146036059
60316,0,0.378287917655325
60317,0,0.345536353362672
60318,0,0.161507319740535
60319,0,0.155590115018755
60320,0,0.207715770099538
60321,0,0.356493820200908
60322,0,0.425572221954737
60379,0,0.62339342881847
60380,0,0.598001302324727
60381,0,0.565611817000521
60382,0,0.220190630638842
60383,0,0.190057845160943
60384,0,0.164011287494534
60385,0,0.129452608218889
60386,0,0.109913022393839
60387,0,0.0999616260365703
60388,0,0.0901638569218439
60389,0,0.0892227391124873
60390,0,0.122791180380486
60391,0,0.149887115696149
60392,0,0.158969806815788
60393,0,0.197679224070825
60397,0,0.408398758380966
60398,0,0.213493220999199
60399,0,0.151989863642602
60400,0,0.166139989228098
60401,0,0.249546258763494
60402,0,0.535343998055059
60403,0,0.2171018849002
60460,0,0.624148220314042
60461,0,0.603368618899825
60462,0,0.590030458684047
60463,0,0.574244444794725
60464,0,0.208942070439049
60465,0,0.181229856238774
60466,0,0.14781059454108
60467,0,0.121398973205585
60468,0,0.104112511510094
60469,0,0.0940984142737989
60470,0,0.0868651540265278
60471,0,0.110239363021567
60472,0,0.126670392615954
60473,0,0.149985252429757
60474,0,0.169958245551572
60478,0,0.401431611498548
60479,0,0.357162177391577
60480,0,0.148594992208556
60481,0,0.143724451358626
60482,0,0.193049494357284
60483,0,0.471548846702097
60484,0,0.359853874436741
60541,0,0.609698668975049
60542,0,0.607231423560874
60543,0,0.590367631172513
60544,0,0.578510284303918
60545,0,0.585142227721825
60546,0,0.200953733403434
60547,0,0.161934777324058
60548,0,0.133049823680749
60549,0,0.109281508862903
60550,0,0.0952846561504152
60551,0,0.084846242576251
60552,0,0.10110979198424
60553,0,0.112135249507103
60554,0,0.135546383090007
60555,0,0.156110968466924
60556,0,0.193764320688924
60557,0,0.232680791478676
60560,0,0.466298301712047
60561,0,0.153241246257687
60562,0,0.138699269441822
60563,0,0.173375701323578
60564,0,0.254429674058848
60565,0,0.435142132097839
60566,0,0.156658266496747
60621,0,0.591385017783798
60622,0,0.599857646785999
60623,0,0.594707865523449
60624,0,0.576695304692813
60625,0,0.585812279734812
60626,0,0.608362076585669
60627,0,0.173634405114471
60628,0,0.138998256611514
60629,0,0.114060876449995
60630,0,0.102981723409957
60631,0,0.0962205423756344
60632,0,0.0918431361730037
60633,0,0.113416574305576
60634,0,0.11579448961924
60635,0,0.131484191867031
60636,0,0.162664546391462
60637,0,0.198618153165971
60638,0,0.256046025559066
60640,0,0.435092352869198
60641,0,0.223456228832847
60642,0,0.134433907258936
60643,0,0.139947142311977
60644,0,0.200226689716259
60645,0,0.458129806018123
60646,0,0.267563039080492
60702,0,0.592339627144913
60703,0,0.582079594687149
60704,0,0.586572269791543
60705,0,0.585864964000295
60706,0,0.578492604557165
60707,0,0.577234540433997
60708,0,0.192435741216786
60709,0,0.153293920922566
60710,0,0.124869354402571
60711,0,0.105739008228192
60712,0,0.0985199240185343
60713,0,0.0881654034249183
60714,0,0.0983184435570375
60715,0,0.10899215303337
60716,0,0.115889812196511
60717,0,0.127945447526915
60718,0,0.169443906902763
60719,0,0.220132539679036
60720,0,0.293189883940369
60722,0,0.462191897919262
60723,0,0.136742593202934
60724,0,0.129006099727907
60725,0,0.17114339932147
60726,0,0.348464174242418
60727,0,0.358332841550511
60783,0,0.593033982912699
60784,0,0.59052539987669
60785,0,0.580398724466286
60786,0,0.590036913006143
60787,0,0.588304677045787
60788,0,0.588883345524159
60789,0,0.614095456540222
60790,0,0.168963985578075
60791,0,0.132786278870258
60792,0,0.107281754074214
60793,0,0.0974429045857739
60794,0,0.0901052448707441
60795,0,0.0925573522205887
60796,0,0.104075675223724
60797,0,0.112262066318877
60798,0,0.109659864075144
60799,0,0.139224322354767
60800,0,0.166613583913734
60801,0,0.225595527838655
60802,0,0.321111282333351
60803,0,0.435679547166809
60804,0,0.198437860311371
60805,0,0.136314317607592
60806,0,0.141507557758828
60807,0,0.237854504653646
60808,0,0.317588448037143
60809,0,0.126359146876371
60863,0,0.609803688950887
60864,0,0.595883836958949
60865,0,0.579767808663176
60866,0,0.582522097937377
60867,0,0.594691526851872
60868,0,0.602220063859202
60869,0,0.608045322477272
60870,0,0.628764672602182
60871,0,0.147493706382638
60872,0,0.117077505737606
60873,0,0.0992617615294782
60874,0,0.0926145160435034
60875,0,0.0825874051246972
60876,0,0.103395383542691
60877,0,0.102361238489453
60878,0,0.109734753156863
60879,0,0.123356300426956
60880,0,0.142168177698351
60881,0,0.170635854097409
60882,0,0.218134692965761
60883,0,0.338730786775966
60884,0,0.360832100128155
60885,0,0.130393685727306
60886,0,0.123615277474062
60887,0,0.190084334748407
60888,0,0.325630674930833
60889,0,0.181835578234451
60944,0,0.597512285366592
60945,0,0.614410839439075
60946,0,0.589322289020791
60947,0,0.5922830643498
60948,0,0.591650286102506
60949,0,0.606807518514008
60950,0,0.607263455564475
60951,0,0.617073639794512
60952,0,0.153440999698636
60953,0,0.126524640677783
60954,0,0.101399377551869
60955,0,0.0926467544261328
60956,0,0.0871727730038668
60957,0,0.091054336836709
60958,0,0.0976157351874541
60959,0,0.0952252345277482
60960,0,0.107105418408265
60961,0,0.135025393635181
60962,0,0.155304870893023
60963,0,0.176293471007749
60964,0,0.228623203871065
60965,0,0.356860670600989
60966,0,0.132652365834447
60967,0,0.116945019769034
60968,0,0.158903199176701
60969,0,0.278004275703388
60970,0,0.255883145359155
60971,0,0.0669856922779285
61025,0,0.654817720846362
61026,0,0.624368016731662
61027,0,0.603863451986482
61028,0,0.596190140793739
61029,0,0.600141253913546
61030,0,0.603980211652569
61031,0,0.607405243592721
61032,0,0.61086880551751
61033,0,0.625605851714626
61034,0,0.128957607455709
61035,0,0.107027947604127
61036,0,0.0945946500228106
61037,0,0.0899846995312299
61038,0,0.0837773952160465
61039,0,0.0972678887619954
61040,0,0.087595695918318
61041,0,0.0956039082569006
61042,0,0.113378724763994
61043,0,0.140537574184463
61044,0,0.158379807031794
61045,0,0.16686385622273
61046,0,0.24860184605399
61047,0,0.206983660183922
61048,0,0.126190058848002
61049,0,0.124759307003047
61050,0,0.207738954813568
61051,0,0.220764094953996
61052,0,0.0930351920640562
61105,0,0.669243445122416
61106,0,0.629773604734834
61107,0,0.607935025388172
61108,0,0.58898887152403
61109,0,0.60364124908448
61110,0,0.616333370012546
61111,0,0.607940965118663
61112,0,0.610094651285859
61113,0,0.618608538643344
61114,0,0.637984773241274
61115,0,0.106971814888622
61116,0,0.0945936925338349
61117,0,0.0929034055397192
61118,0,0.0883094766745626
61119,0,0.0830393561579361
61120,0,0.0939690894346037
61121,0,0.0938504109628357
