"HID","probs","pred_labels"
75,2.87138947848971e-08,0
76,2.07781452128498e-07,0
77,1.32936376813152e-07,0
78,1.49952956830309e-07,0
79,7.79807209629848e-07,0
80,2.2035969992413e-05,0
81,0.00499448954546039,0
82,0.00135083260738759,0
156,4.96683683607896e-08,0
157,5.97995133666367e-08,0
158,9.24753302731713e-08,0
159,1.70836517737328e-07,0
160,2.48538344629213e-06,0
161,0.00027275861032506,0
162,0.0021550774799531,0
238,4.17297234859726e-08,0
239,6.45915326027958e-08,0
240,5.52334926642134e-08,0
241,1.5281789008384e-07,0
242,6.18496728095191e-06,0
243,0.00314303321500472,0
255,2.07203399184079e-06,0
320,5.09156375338059e-08,0
321,4.22324772476569e-08,0
322,3.84871031765609e-08,0
323,4.5589721393971e-07,0
324,7.50543767880915e-05,0
325,0.00117394676263048,0
335,7.22902247885643e-06,0
336,6.1052443511176e-07,0
401,9.74039605688031e-08,0
402,4.70445848962054e-08,0
403,9.55012589255236e-08,0
404,1.82687831715377e-06,0
405,0.00026864762979326,0
406,0.00339189819269058,0
410,0.999989579166034,1
412,0.463223843370148,1
416,1.13650601434132e-05,0
417,9.87742971380861e-07,0
418,2.59612377538564e-07,0
421,2.17251170495708e-09,0
483,1.03664412180439e-07,0
484,5.56276301396443e-08,0
485,5.40389981120719e-07,0
486,5.68452071111869e-05,0
487,0.00190904807576791,0
493,0.348325395757669,1
494,0.0123747513612356,0
498,3.48141085516399e-06,0
499,6.85035935528447e-07,0
502,1.91752005606406e-09,0
503,4.30106451997127e-10,0
564,8.27185632740524e-08,0
565,1.14281000305958e-07,0
566,3.39873876096653e-07,0
567,4.56780695179561e-06,0
568,0.000225804186867943,0
573,0.8967893510151,1
574,0.00692597145468553,0
575,0.000625215769055702,0
578,7.39040224206104e-06,0
579,1.50076712274811e-06,0
580,2.28054941354849e-07,0
582,2.51049322607888e-09,0
583,2.43529274532924e-10,0
645,2.22993123447408e-07,0
646,2.30615367824518e-07,0
647,2.78183414944203e-06,0
648,0.000118696750205944,0
649,0.00134463065002856,0
654,0.983787115489483,1
655,0.0127125841709999,0
656,0.000676495045646185,0
657,0.000104619485446513,0
660,2.28163324815737e-06,0
