"HID","probs","pred_labels"
75,1.95787133293054e-05,0
76,2.6666196467236e-06,0
77,4.28418525838357e-07,0
78,2.0006515240718e-07,0
79,3.59634241633388e-07,0
80,5.14819063608467e-06,0
81,0.000818245012632393,0
82,0.00243908722095503,0
156,1.6934038805107e-05,0
157,3.02897473524765e-06,0
158,3.13438243775647e-07,0
159,1.22323916118802e-07,0
160,7.62807403251137e-07,0
161,4.85554959746137e-05,0
162,0.000658743563301832,0
238,7.05473771943139e-05,0
239,8.94438906003583e-07,0
240,8.37738406680483e-08,0
241,7.26791198299743e-08,0
242,1.18465531892374e-06,0
243,0.000296545304542038,0
255,2.63325886421534e-12,0
320,2.20702925373311e-05,0
321,5.32473654629123e-07,0
322,3.84368815841716e-08,0
323,1.25404364164195e-07,0
324,8.65499446838485e-06,0
325,0.000185326670007979,0
335,5.24968358337812e-12,0
336,1.9839486458267e-12,0
401,4.29466972145571e-06,0
402,1.19871217385794e-07,0
403,5.4977720924921e-08,0
404,2.95687959173346e-07,0
405,2.12418561300051e-05,0
406,0.00135669457787247,0
410,7.00797900016740e-09,0
412,4.36892272141662e-10,0
416,1.01441379284091e-11,0
417,1.04607798367591e-11,0
418,2.14528098207716e-12,0
421,1.35819900514042e-13,0
483,4.33168592518462e-06,0
484,7.93962344059368e-08,0
485,1.23952702965667e-07,0
486,7.45650975787253e-06,0
487,0.000675130354827284,0
493,3.18436961451411e-09,0
494,1.51278003862781e-09,0
498,1.80476628628981e-11,0
499,1.04877689225741e-11,0
502,4.86398364810717e-13,0
503,2.22044604925031e-16,0
564,6.02561560461738e-05,0
565,1.45787972539204e-06,0
566,4.37652153912873e-07,0
567,7.26047148387102e-07,0
568,4.9506750468168e-05,0
573,8.72532498696417e-09,0
574,7.22190223056871e-09,0
575,1.61599983069245e-09,0
578,3.13875467169299e-11,0
579,3.18031381479135e-11,0
580,1.1523575783773e-11,0
582,1.04946294649707e-12,0
583,4.44786455539746e-13,0
645,6.76616666498297e-05,0
646,1.305929813552e-06,0
647,1.42363889314724e-06,0
648,1.46893445626851e-05,0
649,0.0013881531635986,0
654,1.7823676033365e-08,0
655,2.66874539970621e-08,0
656,1.29556263144957e-08,0
657,2.48061534640579e-09,0
660,5.55587091259674e-11,0
661,2.97335331317275e-11,0
663,4.23409869602369e-12,0
