HID,preds
75,0.12
76,0.14
77,0.15
78,0.11
79,0.1
80,0.09
81,0.02
82,0.11
156,0.13
157,0.15
158,0.15
159,0.14
160,0.1
161,0.08
162,0.08
238,0.13
239,0.15
240,0.14
241,0.15
242,0.11
243,0.05
255,0.02
320,0.13
321,0.14
322,0.15
323,0.15
324,0.11
325,0.1
335,0.02
336,0.01
401,0.13
402,0.14
403,0.14
404,0.16
405,0.13
406,0.09
410,0.11
412,0.1
416,0.04
417,0.01
418,0.01
421,0.01
483,0.14
484,0.13
485,0.14
486,0.16
487,0.13
493,0.09
494,0.09
498,0.02
499,0.01
502,0.01
503,0.02
564,0.13
565,0.14
566,0.14
567,0.12
568,0.15
573,0.09
574,0.07
575,0.05
578,0.03
579,0.01
580,0.01
582,0.01
583,0.01
645,0.12
646,0.13
647,0.14
648,0.15
649,0.17
654,0.09
655,0.07
656,0.01
657,0.01
660,0.02
661,0.01
663,0.01
664,0.01
665,0.01
666,0.03
727,0.15
728,0.19
729,0.21
730,0.15
736,0.07
737,0.01
738,0.01
741,0.02
742,0.01
745,0.01
746,0.01
747,0.02
748,0.01
809,0.34
810,0.35
811,0.32
816,0.09
817,0.01
818,0.01
819,0.01
822,0.01
823,0.01
825,0.01
826,0.01
827,0.01
828,0.01
829,0.0
889,0.18
890,0.25
891,0.31
892,0.29
898,0.08
899,0.01
900,0.01
901,0.02
904,0.01
905,0.01
906,0.01
907,0.01
908,0.01
909,0.01
910,0.0
911,0.0
972,0.28
973,0.36
979,0.09
980,0.01
981,0.01
982,0.01
983,0.01
985,0.01
986,0.01
987,0.01
988,0.01
989,0.01
990,0.01
991,0.01
992,0.0
1060,0.07
1061,0.01
1062,0.01
1063,0.01
1064,0.01
1065,0.01
1066,0.01
1067,0.01
1068,0.01
1069,0.01
1070,0.01
1071,0.01
1072,0.01
1073,0.0
1141,0.1
1142,0.05
1143,0.01
1144,0.01
1145,0.02
1146,0.01
1147,0.01
1148,0.01
1149,0.01
1150,0.01
1151,0.01
1152,0.01
1153,0.01
1154,0.0
1155,0.0
1188,0.01
1222,0.11
1223,0.09
1224,0.04
1225,0.01
1226,0.02
1227,0.02
1228,0.01
1229,0.01
1230,0.01
1231,0.01
1232,0.02
1233,0.02
1234,0.01
1235,0.01
1236,0.0
1237,0.0
1270,0.01
1303,0.1
1304,0.09
1305,0.01
1306,0.01
1307,0.02
1308,0.02
1309,0.01
1310,0.01
1311,0.01
1312,0.03
1313,0.06
1314,0.01
1315,0.01
1316,0.0
1317,0.0
1348,0.0
1350,0.0
1384,0.11
1385,0.09
1386,0.07
1387,0.01
1388,0.02
1389,0.02
1390,0.02
1391,0.01
1392,0.01
1393,0.03
1394,0.08
1395,0.07
1396,0.01
1397,0.01
1398,0.0
1428,0.01
1429,0.0
1432,0.01
1466,0.11
1467,0.1
1468,0.06
1469,0.01
1470,0.02
1471,0.02
1472,0.01
1473,0.01
1474,0.02
1475,0.07
1476,0.08
1477,0.06
1478,0.01
1479,0.0
1480,0.0
1509,0.01
1510,0.01
1511,0.0
1512,0.0
1513,0.01
1514,0.0
1541,0.23
1547,0.09
1548,0.09
1549,0.06
1550,0.02
1551,0.02
1552,0.02
1553,0.02
1554,0.01
1555,0.07
1556,0.08
1557,0.07
1558,0.02
1559,0.0
1560,0.0
1590,0.01
1591,0.01
1592,0.01
1593,0.01
1594,0.01
1623,0.17
1624,0.14
1628,0.11
1629,0.08
1630,0.08
1631,0.06
1632,0.02
1633,0.02
1634,0.02
1635,0.02
1636,0.01
1637,0.07
1638,0.07
1639,0.03
1640,0.01
1641,0.0
1642,0.0
1671,0.01
1672,0.01
1673,0.01
1674,0.01
1675,0.01
1676,0.01
1709,0.11
1710,0.08
1711,0.09
1712,0.09
1713,0.08
1714,0.02
1715,0.02
1716,0.02
1717,0.01
1718,0.04
1719,0.07
1720,0.07
1721,0.02
1722,0.0
1723,0.0
1753,0.01
1754,0.01
1755,0.01
1756,0.01
1757,0.01
1758,0.01
1786,0.15
1787,0.15
1790,0.11
1791,0.08
1792,0.1
1793,0.08
1794,0.06
1795,0.02
1796,0.02
1797,0.02
1798,0.02
1799,0.04
1800,0.06
1801,0.02
1802,0.01
1803,0.0
1804,0.0
1833,0.0
1834,0.01
1835,0.02
1836,0.02
1837,0.01
1838,0.01
1839,0.0
1868,0.14
1869,0.13
1872,0.09
1873,0.1
1874,0.11
1875,0.08
1876,0.04
1877,0.02
1878,0.02
1879,0.02
1880,0.02
1881,0.06
1882,0.04
1883,0.03
1884,0.01
1885,0.0
1914,0.01
1915,0.01
1916,0.02
1917,0.03
1918,0.02
1919,0.01
1920,0.02
1950,0.15
1953,0.1
1954,0.09
1955,0.11
1956,0.09
1957,0.06
1958,0.03
1959,0.01
1960,0.01
1961,0.01
1962,0.02
1963,0.03
1964,0.03
1965,0.03
1966,0.01
1967,0.0
1996,0.01
1997,0.02
1998,0.02
1999,0.03
2000,0.02
2001,0.02
2002,0.02
2031,0.15
2032,0.11
2034,0.1
2035,0.11
2036,0.12
2037,0.1
2038,0.06
2039,0.02
2040,0.01
2041,0.01
2042,0.01
2043,0.03
2044,0.03
2045,0.07
2046,0.05
2047,0.02
2076,0.01
2077,0.01
2078,0.02
2079,0.03
2080,0.03
2081,0.02
2082,0.02
2083,0.02
2084,0.0
2085,0.0
2113,0.12
2114,0.12
2115,0.1
2116,0.1
2117,0.11
2118,0.1
2119,0.09
2120,0.07
2121,0.02
2122,0.01
2123,0.01
2124,0.01
2125,0.03
2126,0.02
2127,0.03
2128,0.06
2129,0.02
2158,0.01
2159,0.05
2160,0.02
2161,0.03
2162,0.03
2163,0.02
2164,0.02
2165,0.02
2166,0.01
2195,0.11
2196,0.11
2197,0.1
2198,0.11
2199,0.1
2200,0.13
2201,0.09
2202,0.04
2203,0.02
2204,0.01
2205,0.01
2206,0.01
2207,0.02
2208,0.02
2209,0.06
2210,0.06
2235,0.0
2236,0.02
2239,0.01
2240,0.01
2241,0.02
2242,0.03
2243,0.03
2244,0.03
2245,0.02
2246,0.02
2247,0.01
2276,0.09
2277,0.1
2278,0.1
2279,0.11
2280,0.13
2281,0.13
2282,0.08
2283,0.04
2284,0.02
2285,0.01
2286,0.01
2287,0.01
2288,0.01
2289,0.02
2290,0.07
2291,0.06
2315,0.0
2316,0.02
2317,0.02
2319,0.01
2320,0.01
2321,0.02
2322,0.02
2323,0.03
2324,0.03
2325,0.03
2326,0.02
2327,0.02
2328,0.01
2329,0.01
2330,0.01
2358,0.1
2359,0.1
2361,0.13
2362,0.14
2363,0.12
2364,0.09
2365,0.04
2366,0.02
2367,0.01
2368,0.01
2369,0.01
2370,0.01
2371,0.05
2372,0.08
2396,0.07
2397,0.01
2398,0.02
2400,0.01
2401,0.01
2402,0.02
2403,0.02
2404,0.02
2405,0.03
2406,0.03
2407,0.03
2408,0.02
2409,0.02
2410,0.01
2411,0.02
2440,0.1
2441,0.1
2442,0.11
2443,0.16
2444,0.14
2445,0.08
2446,0.09
2447,0.05
2448,0.01
2449,0.01
2450,0.01
2451,0.01
2452,0.0
2453,0.04
2454,0.05
2477,0.02
2478,0.01
2479,0.03
2480,0.02
2481,0.01
2482,0.01
2483,0.02
2484,0.02
2485,0.02
2486,0.03
2487,0.03
2488,0.03
2489,0.03
2490,0.03
2491,0.02
2492,0.02
2493,0.02
2494,0.01
2521,0.1
2522,0.1
2523,0.12
2524,0.14
2525,0.12
2526,0.09
2527,0.1
2528,0.02
2529,0.01
2530,0.01
2531,0.01
2532,0.01
2533,0.0
2534,0.02
2535,0.01
2556,0.0
2557,0.0
2558,0.03
2559,0.01
2560,0.02
2562,0.01
2563,0.01
2564,0.02
2565,0.02
2566,0.02
2567,0.03
2568,0.03
2569,0.03
2570,0.03
2571,0.03
2572,0.02
2573,0.02
2574,0.02
2603,0.1
2604,0.11
2605,0.13
2606,0.14
2607,0.08
2608,0.11
2609,0.1
2610,0.01
2611,0.01
2612,0.01
2613,0.01
2614,0.0
2615,0.0
2616,0.01
2638,0.0
2639,0.02
2640,0.02
2641,0.01
2643,0.01
2644,0.01
2645,0.02
2646,0.02
2647,0.02
2648,0.03
2649,0.03
2650,0.03
2651,0.03
2652,0.04
2653,0.02
2654,0.02
2655,0.02
2656,0.02
2683,0.09
2687,0.16
2688,0.09
2689,0.1
2690,0.11
2691,0.08
2692,0.01
2693,0.01
2694,0.01
2695,0.0
2696,0.0
2697,0.0
2698,0.0
2719,0.0
2720,0.01
2721,0.03
2722,0.01
2723,0.02
2724,0.02
2725,0.01
2726,0.02
2727,0.02
2728,0.02
2729,0.02
2730,0.03
2731,0.03
2732,0.03
2733,0.03
2734,0.03
2735,0.02
2736,0.02
2737,0.02
2738,0.02
2764,0.09
2769,0.08
2770,0.12
2771,0.11
2772,0.03
2773,0.01
2774,0.01
2775,0.01
2776,0.0
2777,0.0
2778,0.0
2799,0.0
2800,0.0
2801,0.02
2802,0.01
2803,0.02
2805,0.01
2806,0.02
2807,0.02
2808,0.02
2809,0.02
2810,0.03
2811,0.03
2812,0.03
2813,0.03
2814,0.03
2815,0.03
2816,0.02
2817,0.02
2818,0.02
2845,0.13
2846,0.08
2849,0.13
2850,0.07
2851,0.1
2852,0.13
2853,0.08
2854,0.01
2855,0.01
2856,0.01
2857,0.0
2858,0.0
2859,0.0
2860,0.0
2880,0.01
2882,0.0
2883,0.01
2884,0.01
2885,0.02
2886,0.01
2887,0.01
2888,0.02
2889,0.02
2890,0.02
2891,0.02
2892,0.03
2893,0.03
2894,0.03
2895,0.03
2896,0.03
2897,0.03
2898,0.02
2899,0.02
2900,0.02
2927,0.17
2928,0.09
2930,0.09
2931,0.11
2932,0.07
2933,0.12
2934,0.11
2935,0.07
2936,0.02
2937,0.01
2938,0.01
2939,0.0
2940,0.0
2941,0.0
2961,0.0
2962,0.0
2964,0.01
2965,0.02
2966,0.01
2967,0.01
2968,0.01
2969,0.02
2970,0.02
2971,0.02
2972,0.02
2973,0.02
2974,0.03
2975,0.03
2976,0.03
2977,0.03
2978,0.03
2979,0.03
2980,0.03
2981,0.02
2982,0.02
3010,0.09
3011,0.14
3012,0.14
3013,0.11
3014,0.12
3015,0.12
3016,0.04
3017,0.01
3018,0.01
3019,0.01
3020,0.01
3021,0.0
3022,0.01
3042,0.01
3043,0.0
3045,0.02
3046,0.02
3048,0.01
3049,0.01
3050,0.02
3051,0.02
3052,0.02
3053,0.02
3054,0.03
3055,0.03
3056,0.03
3057,0.03
3058,0.03
3059,0.03
3060,0.03
3061,0.02
3062,0.02
3063,0.02
3092,0.09
3093,0.14
3094,0.14
3095,0.12
3096,0.12
3097,0.07
3098,0.03
3099,0.01
3100,0.01
3101,0.01
3102,0.01
3103,0.01
3115,0.01
3116,0.01
3119,0.01
3121,0.0
3123,0.0
3124,0.01
3125,0.0
3126,0.01
3127,0.03
3128,0.01
3130,0.01
3131,0.02
3132,0.02
3133,0.02
3134,0.02
3135,0.02
3136,0.04
3137,0.03
3138,0.03
3139,0.03
3140,0.03
3141,0.03
3142,0.03
3143,0.02
3144,0.02
3145,0.02
3146,0.02
3174,0.14
3175,0.27
3176,0.18
3177,0.12
3178,0.08
3179,0.06
3180,0.01
3181,0.01
3182,0.01
3183,0.01
3184,0.01
3185,0.01
3197,0.01
3198,0.0
3200,0.01
3205,0.02
3206,0.0
3207,0.0
3208,0.02
3209,0.02
3212,0.01
3213,0.02
3214,0.02
3215,0.02
3216,0.02
3217,0.02
3218,0.03
3219,0.03
3220,0.03
3221,0.03
3222,0.03
3223,0.03
3224,0.02
3225,0.02
3226,0.02
3227,0.02
3228,0.02
3255,0.25
3256,0.29
3257,0.13
3258,0.08
3259,0.07
3260,0.02
3261,0.0
3262,0.01
3263,0.01
3264,0.01
3265,0.01
3266,0.01
3280,0.01
3283,0.0
3286,0.01
3287,0.0
3288,0.01
3289,0.03
3292,0.01
3293,0.02
3294,0.02
3295,0.02
3296,0.02
3297,0.02
3298,0.03
3299,0.03
3300,0.03
3301,0.03
3302,0.03
3303,0.03
3304,0.03
3305,0.02
3306,0.02
3307,0.02
3308,0.02
3315,0.08
3316,0.09
3338,0.32
3339,0.12
3340,0.06
3341,0.04
3342,0.0
3343,0.01
3344,0.01
3345,0.01
3346,0.01
3347,0.01
3367,0.01
3368,0.0
3369,0.0
3370,0.03
3373,0.0
3374,0.01
3375,0.02
3376,0.02
3377,0.02
3378,0.02
3379,0.02
3380,0.03
3381,0.03
3382,0.03
3383,0.03
3384,0.03
3385,0.03
3386,0.02
3387,0.02
3388,0.02
3396,0.12
3397,0.09
3420,0.16
3421,0.08
3422,0.07
3423,0.01
3424,0.0
3425,0.02
3426,0.01
3427,0.01
3428,0.01
3429,0.01
3430,0.01
3438,0.0
3441,0.0
3446,0.01
3447,0.0
3449,0.01
3451,0.02
3452,0.02
3454,0.0
3455,0.01
3456,0.02
3457,0.02
3458,0.02
3459,0.02
3460,0.02
3461,0.02
3462,0.03
3463,0.03
3464,0.03
3465,0.03
3466,0.03
3467,0.05
3468,0.02
3469,0.02
3470,0.02
3472,0.02
3478,0.1
3479,0.11
3500,0.31
3501,0.13
3502,0.08
3503,0.02
3504,0.01
3505,0.02
3506,0.03
3507,0.01
3508,0.01
3509,0.01
3510,0.02
3518,0.0
3521,0.0
3522,0.01
3529,0.01
3530,0.0
3531,0.0
3532,0.04
3535,0.01
3536,0.01
3537,0.02
3538,0.02
3539,0.02
3540,0.02
3541,0.02
3542,0.02
3543,0.04
3544,0.03
3545,0.03
3546,0.03
3547,0.06
3548,0.06
3549,0.02
3550,0.02
3551,0.02
3552,0.05
3558,0.12
3559,0.09
3582,0.34
3583,0.12
3584,0.08
3585,0.01
3586,0.0
3587,0.03
3588,0.02
3589,0.01
3590,0.01
3591,0.02
3592,0.01
3599,0.0
3600,0.0
3603,0.01
3605,0.01
3609,0.0
3611,0.0
3612,0.0
3613,0.04
3614,0.02
3616,0.01
3617,0.01
3618,0.02
3619,0.04
3620,0.03
3621,0.02
3622,0.02
3623,0.02
3624,0.02
3625,0.03
3626,0.03
3627,0.03
3629,0.06
3630,0.02
3631,0.02
3632,0.02
3633,0.02
3634,0.08
3639,0.13
3640,0.12
3641,0.12
3663,0.33
3664,0.29
3665,0.09
3666,0.03
3667,0.0
3668,0.02
3669,0.06
3670,0.01
3671,0.01
3672,0.01
3673,0.02
3674,0.02
3675,0.0
3679,0.0
3680,0.0
3681,0.0
3682,0.0
3684,0.01
3685,0.01
3693,0.0
3694,0.0
3695,0.06
3697,0.01
3698,0.01
3699,0.01
3700,0.02
3701,0.02
3702,0.03
3703,0.02
3704,0.02
3705,0.02
3706,0.03
3707,0.03
3708,0.03
3711,0.06
3712,0.02
3713,0.02
3714,0.02
3715,0.08
3721,0.14
3722,0.09
3744,0.31
3745,0.31
3746,0.09
3747,0.0
3748,0.01
3749,0.02
3750,0.02
3751,0.01
3752,0.01
3753,0.01
3754,0.02
3755,0.01
3756,0.0
3760,0.0
3761,0.0
3762,0.0
3763,0.0
3765,0.01
3766,0.01
3767,0.01
3774,0.0
3775,0.03
3776,0.01
3778,0.01
3779,0.01
3780,0.01
3781,0.04
3782,0.03
3783,0.03
3784,0.02
3785,0.02
3786,0.02
3787,0.03
3788,0.04
3791,0.07
3792,0.06
3793,0.05
3794,0.02
3795,0.03
3796,0.08
3801,0.11
3802,0.1
3803,0.16
3825,0.38
3826,0.31
3827,0.14
3828,0.04
3829,0.01
3830,0.02
3831,0.02
3832,0.01
3833,0.01
3834,0.01
3835,0.02
3836,0.02
3837,0.0
3841,0.0
3842,0.0
3843,0.0
3844,0.0
3847,0.01
3848,0.01
3855,0.0
3856,0.0
3857,0.03
3860,0.01
3861,0.01
3862,0.03
3863,0.07
3864,0.03
3865,0.03
3866,0.02
3867,0.02
3868,0.02
3869,0.03
3873,0.1
3874,0.09
3875,0.02
3876,0.01
3877,0.07
3882,0.12
3883,0.11
3884,0.16
3907,0.38
3908,0.31
3909,0.09
3910,0.02
3911,0.01
3912,0.03
3913,0.01
3914,0.01
3915,0.01
3916,0.01
3917,0.02
3918,0.02
3919,0.0
3920,0.0
3923,0.0
3924,0.0
3925,0.0
3926,0.0
3928,0.01
3929,0.01
3930,0.02
3934,0.0
3937,0.0
3938,0.02
3942,0.01
3943,0.03
3944,0.05
3945,0.09
3946,0.03
3947,0.03
3948,0.02
3949,0.02
3950,0.02
3955,0.09
3956,0.06
