HID,preds
75,0.21
76,0.19
77,0.2
78,0.14
79,0.15
80,0.16
81,0.09
82,0.08
156,0.21
157,0.19
158,0.2
159,0.16
160,0.17
161,0.18
162,0.14
238,0.21
239,0.18
240,0.18
241,0.18
242,0.17
243,0.12
255,0.01
320,0.2
321,0.18
322,0.18
323,0.18
324,0.18
325,0.2
335,0.01
336,0.01
401,0.19
402,0.17
403,0.18
404,0.18
405,0.19
406,0.21
410,0.11
412,0.03
416,0.01
417,0.01
418,0.01
421,0.0
483,0.18
484,0.17
485,0.17
486,0.18
487,0.21
493,0.03
494,0.03
498,0.01
499,0.02
502,0.0
503,0.0
564,0.21
565,0.18
566,0.17
567,0.17
568,0.2
573,0.02
574,0.03
575,0.02
578,0.02
579,0.01
580,0.0
582,0.0
583,0.0
645,0.21
646,0.17
647,0.18
648,0.19
649,0.23
654,0.02
655,0.03
656,0.02
657,0.01
660,0.04
661,0.01
663,0.01
664,0.0
665,0.0
666,0.0
727,0.21
728,0.23
729,0.21
730,0.23
736,0.02
737,0.02
738,0.04
741,0.03
742,0.01
745,0.0
746,0.0
747,0.0
748,0.0
809,0.27
810,0.36
811,0.28
816,0.03
817,0.0
818,0.03
819,0.04
822,0.03
823,0.02
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
889,0.27
890,0.26
891,0.28
892,0.27
898,0.01
899,0.03
900,0.04
901,0.04
904,0.01
905,0.01
906,0.03
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
972,0.27
973,0.28
979,0.02
980,0.02
981,0.04
982,0.06
983,0.07
985,0.03
986,0.02
987,0.04
988,0.01
989,0.0
990,0.0
991,0.0
992,0.0
1060,0.02
1061,0.03
1062,0.06
1063,0.06
1064,0.06
1065,0.04
1066,0.03
1067,0.01
1068,0.02
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1141,0.1
1142,0.06
1143,0.07
1144,0.06
1145,0.06
1146,0.06
1147,0.03
1148,0.01
1149,0.0
1150,0.01
1151,0.0
1152,0.0
1153,0.01
1154,0.0
1155,0.0
1188,0.0
1222,0.15
1223,0.08
1224,0.06
1225,0.07
1226,0.06
1227,0.06
1228,0.05
1229,0.01
1230,0.0
1231,0.01
1232,0.0
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1237,0.0
1270,0.0
1303,0.22
1304,0.07
1305,0.06
1306,0.08
1307,0.06
1308,0.06
1309,0.03
1310,0.0
1311,0.01
1312,0.02
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1348,0.0
1350,0.0
1384,0.23
1385,0.19
1386,0.09
1387,0.08
1388,0.09
1389,0.07
1390,0.04
1391,0.0
1392,0.01
1393,0.01
1394,0.01
1395,0.0
1396,0.0
1397,0.0
1398,0.0
1428,0.03
1429,0.0
1432,0.0
1466,0.22
1467,0.17
1468,0.08
1469,0.09
1470,0.08
1471,0.06
1472,0.03
1473,0.02
1474,0.0
1475,0.01
1476,0.01
1477,0.0
1478,0.0
1479,0.0
1480,0.0
1509,0.0
1510,0.01
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1541,0.14
1547,0.22
1548,0.1
1549,0.09
1550,0.09
1551,0.08
1552,0.06
1553,0.01
1554,0.0
1555,0.0
1556,0.01
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1590,0.0
1591,0.02
1592,0.0
1593,0.0
1594,0.0
1623,0.12
1624,0.13
1628,0.23
1629,0.19
1630,0.17
1631,0.09
1632,0.08
1633,0.08
1634,0.05
1635,0.01
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1709,0.24
1710,0.22
1711,0.18
1712,0.18
1713,0.12
1714,0.09
1715,0.07
1716,0.05
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.01
1722,0.0
1723,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1786,0.11
1787,0.11
1790,0.24
1791,0.21
1792,0.22
1793,0.2
1794,0.1
1795,0.08
1796,0.07
1797,0.02
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.01
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1868,0.1
1869,0.14
1872,0.22
1873,0.22
1874,0.24
1875,0.21
1876,0.12
1877,0.08
1878,0.04
1879,0.01
1880,0.0
1881,0.0
1882,0.0
1883,0.01
1884,0.0
1885,0.01
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1950,0.08
1953,0.22
1954,0.21
1955,0.24
1956,0.25
1957,0.19
1958,0.09
1959,0.11
1960,0.05
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.01
1967,0.01
1996,0.0
1997,0.01
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2031,0.1
2032,0.17
2034,0.19
2035,0.23
2036,0.27
2037,0.25
2038,0.22
2039,0.09
2040,0.08
2041,0.04
2042,0.01
2043,0.0
2044,0.0
2045,0.01
2046,0.0
2047,0.01
2076,0.0
2077,0.0
2078,0.01
2079,0.01
2080,0.0
2081,0.0
2082,0.01
2083,0.0
2084,0.0
2085,0.0
2113,0.14
2114,0.21
2115,0.2
2116,0.23
2117,0.27
2118,0.26
2119,0.24
2120,0.19
2121,0.11
2122,0.1
2123,0.02
2124,0.0
2125,0.0
2126,0.0
2127,0.0
2128,0.0
2129,0.01
2158,0.0
2159,0.01
2160,0.01
2161,0.01
2162,0.01
2163,0.01
2164,0.01
2165,0.0
2166,0.0
2195,0.17
2196,0.23
2197,0.23
2198,0.23
2199,0.26
2200,0.27
2201,0.25
2202,0.21
2203,0.11
2204,0.08
2205,0.01
2206,0.0
2207,0.0
2208,0.0
2209,0.0
2210,0.03
2235,0.0
2236,0.0
2239,0.0
2240,0.0
2241,0.01
2242,0.01
2243,0.02
2244,0.01
2245,0.01
2246,0.01
2247,0.0
2276,0.22
2277,0.23
2278,0.23
2279,0.27
2280,0.26
2281,0.24
2282,0.22
2283,0.2
2284,0.1
2285,0.06
2286,0.0
2287,0.0
2288,0.0
2289,0.0
2290,0.01
2291,0.03
2315,0.0
2316,0.0
2317,0.0
2319,0.0
2320,0.01
2321,0.01
2322,0.02
2323,0.03
2324,0.02
2325,0.03
2326,0.01
2327,0.01
2328,0.0
2329,0.0
2330,0.01
2358,0.23
2359,0.23
2361,0.25
2362,0.28
2363,0.26
2364,0.22
2365,0.21
2366,0.08
2367,0.0
2368,0.0
2369,0.0
2370,0.0
2371,0.0
2372,0.04
2396,0.0
2397,0.0
2398,0.0
2400,0.0
2401,0.02
2402,0.0
2403,0.02
2404,0.01
2405,0.03
2406,0.02
2407,0.01
2408,0.01
2409,0.02
2410,0.0
2411,0.01
2440,0.24
2441,0.24
2442,0.3
2443,0.31
2444,0.26
2445,0.23
2446,0.19
2447,0.2
2448,0.1
2449,0.01
2450,0.0
2451,0.0
2452,0.0
2453,0.0
2454,0.01
2477,0.0
2478,0.0
2479,0.0
2480,0.03
2481,0.03
2482,0.01
2483,0.0
2484,0.01
2485,0.02
2486,0.03
2487,0.01
2488,0.01
2489,0.01
2490,0.03
2491,0.03
2492,0.03
2493,0.01
