"HID","preds"
75,0.1935
76,0.2231
77,0.2158
78,0.1937
79,0.2015
80,0.2024
81,0.1417
82,0.0551
156,0.1948
157,0.2185
158,0.2204
159,0.2062
160,0.2022
161,0.1959
162,0.1437
238,0.2153
239,0.2194
240,0.2255
241,0.2336
242,0.2051
243,0.1656
255,0.0871
320,0.1968
321,0.2235
322,0.2263
323,0.2325
324,0.2119
325,0.2066
335,0.0841
336,0.0863
401,0.2281
402,0.2372
403,0.2335
404,0.2334
405,0.2464
406,0.1543
410,0.1642
412,0.093
416,0.0853
417,0.0822
418,0.0798
421,0.0347
483,0.238
484,0.2457
485,0.2425
486,0.2511
487,0.1959
493,0.095
494,0.0906
498,0.0842
499,0.0813
502,0.0448
503,0.0349
564,0.2128
565,0.2559
566,0.256
567,0.2545
568,0.2529
573,0.0956
574,0.0862
575,0.0835
578,0.0862
579,0.0792
580,0.0727
582,0.0481
583,0.0473
645,0.2145
646,0.2637
647,0.2693
648,0.2662
649,0.231
654,0.0986
655,0.0857
656,0.0835
657,0.0756
660,0.0859
661,0.0751
663,0.0466
664,0.0549
665,0.0459
666,0.0315
727,0.2337
728,0.2733
729,0.2904
730,0.2662
736,0.0854
737,0.0875
738,0.0771
741,0.0859
742,0.0766
745,0.0503
746,0.0536
747,0.0374
748,0.0301
809,0.3297
810,0.477
811,0.3447
816,0.0959
817,0.0845
818,0.0802
819,0.0488
822,0.0847
823,0.0746
825,0.0475
826,0.0569
827,0.0468
828,0.0317
829,0.0258
889,0.2853
890,0.3317
891,0.3529
892,0.2998
898,0.0866
899,0.0821
900,0.0521
901,0.0604
904,0.0755
905,0.0573
906,0.0494
907,0.0517
908,0.0543
909,0.0441
910,0.0298
911,0.0248
972,0.3361
973,0.3293
979,0.0966
980,0.0861
981,0.0812
982,0.0533
983,0.0591
985,0.0809
986,0.0602
987,0.0556
988,0.0519
989,0.0476
990,0.0448
991,0.0349
992,0.0283
1060,0.0911
1061,0.0845
1062,0.0543
1063,0.0566
1064,0.0855
1065,0.0852
1066,0.0744
1067,0.05
1068,0.0481
1069,0.0483
1070,0.0385
1071,0.0402
1072,0.0316
1073,0.0265
1141,0.1295
1142,0.0921
1143,0.0529
1144,0.0519
1145,0.0822
1146,0.0876
1147,0.0808
1148,0.0679
1149,0.0478
1150,0.0419
1151,0.0379
1152,0.0274
1153,0.0327
1154,0.029
1155,0.0263
1188,0.0252
1222,0.1857
1223,0.1057
1224,0.086
1225,0.0512
1226,0.0516
1227,0.0854
1228,0.081
1229,0.0755
1230,0.0586
1231,0.0383
1232,0.0359
1233,0.0217
1234,0.0245
1235,0.0226
1236,0.0223
1237,0.0245
1270,0.0277
1303,0.205
1304,0.095
1305,0.0561
1306,0.0499
