"HID","PA","valpred"
48763,0,0.2514
48844,0,0.2654
48925,0,0.269
49005,0,0.2625
49006,0,0.2678
49087,0,0.2634
49168,0,0.2543
49249,0,0.2635
49330,0,0.261
49492,0,0.2569
59090,0,0.2574
59091,0,0.2575
59092,0,0.2669
59093,0,0.266
59171,0,0.2663
59172,0,0.2665
59173,0,0.2593
59251,0,0.2675
59252,0,0.2703
59253,0,0.267
59254,0,0.2555
59262,0,0.1617
59332,0,0.2822
59333,0,0.2593
59334,0,0.2697
59335,0,0.2615
59336,0,0.2494
59344,0,0.1627
59413,0,0.2836
59414,0,0.2547
59415,0,0.2625
59416,0,0.2644
59424,0,0.1255
59425,0,0.1728
59494,0,0.2831
59495,0,0.2529
59496,0,0.2488
59497,0,0.2566
59506,0,0.1526
59507,0,0.1517
59576,0,0.235
59577,0,0.2151
59578,0,0.2512
59579,0,0.2635
59587,0,0.1247
59588,0,0.1427
59589,0,0.1142
59656,0,0.2313
59657,0,0.2122
59658,0,0.2101
59659,0,0.2536
59668,0,0.1034
59669,0,0.0441
59670,0,0.0742
59736,0,0.3762
59737,0,0.2544
59738,0,0.2344
59739,0,0.1998
59740,0,0.215
59741,0,0.2444
59749,0,0.102
59750,0,0.0715
59751,0,0.0256
59752,0,0.0305
59816,0,0.0798
59817,0,0.3518
59818,0,0.3225
59819,0,0.2359
59820,0,0.207
59821,0,0.2171
59822,0,0.2258
59830,0,0.0688
59831,0,0.1025
59832,0,0.0293
59833,0,0.0275
59834,0,0.0564
59895,0,0.1037
59896,0,0.0723
59897,0,0.3235
59898,0,0.2994
59899,0,0.2347
59900,0,0.2071
59901,0,0.1998
59902,0,0.225
59903,0,0.228
59910,0,0.084
59911,0,0.1005
59912,0,0.0295
59913,0,0.0233
59914,0,0.0369
59915,0,0.0712
59976,0,0.2359
59977,0,0.0857
59978,0,0.2383
59979,0,0.2545
59980,0,0.2505
59981,0,0.2069
59982,0,0.1871
59983,0,0.2022
59984,0,0.2238
59985,0,0.2382
59991,0,0.0938
59992,0,0.0715
59993,0,0.0986
59994,0,0.035
59995,0,0.0264
59996,0,0.0411
59997,0,0.2373
60057,0,0.1124
60058,0,0.0787
60059,0,0.2582
60060,0,0.1821
60061,0,0.1957
60062,0,0.2154
60063,0,0.1844
60064,0,0.1735
60065,0,0.1894
60066,0,0.2136
60067,0,0.2319
60073,0,0.0578
60074,0,0.0981
60075,0,0.0268
60076,0,0.0273
60077,0,0.0444
60078,0,0.0981
60137,0,0.2467
60138,0,0.0465
60139,0,0.1317
60140,0,0.1999
60141,0,0.189
60142,0,0.175
60143,0,0.1709
60144,0,0.1649
60145,0,0.1631
60146,0,0.1895
60147,0,0.2301
60148,0,0.228
60153,0,0.1351
60154,0,0.09
60155,0,0.0345
60156,0,0.0291
60157,0,0.0432
60158,0,0.0458
60159,0,0.2351
60218,0,0.2692
60219,0,0.2605
60220,0,0.0844
60221,0,0.157
60222,0,0.1988
60223,0,0.1541
60224,0,0.1612
60225,0,0.1551
60226,0,0.1686
60227,0,0.1756
60228,0,0.1884
60229,0,0.2031
60230,0,0.2689
60235,0,0.0584
60236,0,0.0908
60237,0,0.0557
60238,0,0.043
60239,0,0.0514
60240,0,0.0792
60299,0,0.3084
60300,0,0.278
60301,0,0.2657
60302,0,0.1366
60303,0,0.1454
60304,0,0.1586
60305,0,0.1779
60306,0,0.1606
60307,0,0.1435
60308,0,0.1769
60309,0,0.1827
60310,0,0.2105
60311,0,0.192
60312,0,0.2589
60316,0,0.0903
60317,0,0.12
60318,0,0.0676
60319,0,0.034
60320,0,0.0493
60321,0,0.0425
60322,0,0.0837
60379,0,0.2838
60380,0,0.3095
60381,0,0.2711
60382,0,0.1059
60383,0,0.1441
60384,0,0.1347
60385,0,0.1694
60386,0,0.173
60387,0,0.1494
60388,0,0.1554
60389,0,0.1859
60390,0,0.1802
60391,0,0.2069
60392,0,0.1996
60393,0,0.2644
60397,0,0.0762
60398,0,0.0809
60399,0,0.0363
60400,0,0.051
60401,0,0.0541
60402,0,0.075
60403,0,0.1507
60460,0,0.3669
60461,0,0.2727
60462,0,0.2719
60463,0,0.2242
60464,0,0.0904
60465,0,0.1373
60466,0,0.1598
60467,0,0.18
60468,0,0.1709
60469,0,0.1659
60470,0,0.1783
60471,0,0.1875
60472,0,0.1456
60473,0,0.156
60474,0,0.1968
60478,0,0.0909
60479,0,0.0474
60480,0,0.0356
60481,0,0.0414
60482,0,0.0979
60483,0,0.0619
60484,0,0.0914
60541,0,0.2709
60542,0,0.253
60543,0,0.2696
60544,0,0.2153
60545,0,0.1482
60546,0,0.0926
60547,0,0.1407
60548,0,0.1726
60549,0,0.1485
60550,0,0.1603
60551,0,0.1795
60552,0,0.2045
60553,0,0.1288
60554,0,0.1012
60555,0,0.1313
60556,0,0.2143
60557,0,0.2306
60560,0,0.0863
60561,0,0.0378
60562,0,0.0556
60563,0,0.0848
60564,0,0.0603
60565,0,0.0393
60566,0,0.1554
60621,0,0.2453
60622,0,0.2519
60623,0,0.2554
60624,0,0.2363
60625,0,0.1887
60626,0,0.0078
60627,0,0.1268
60628,0,0.1701
60629,0,0.1131
60630,0,0.1484
60631,0,0.201
60632,0,0.2137
60633,0,0.2072
60634,0,0.026
60635,0,0.0336
60636,0,0.1031
60637,0,0.1905
60638,0,0.1726
60640,0,0.0918
60641,0,0.027
60642,0,0.0612
60643,0,0.0316
60644,0,0.1258
60645,0,0.049
60646,0,0.1186
60702,0,0.2707
60703,0,0.2275
60704,0,0.2413
60705,0,0.236
60706,0,0.207
60707,0,0.0866
60708,0,0.0544
60709,0,0.1282
60710,0,0.1327
60711,0,0.1423
60712,0,0.2045
60713,0,0.2543
60714,0,0.2421
60715,0,0.0277
60716,0,0.0102
60717,0,0.0131
60718,0,0.0482
60719,0,0.1911
60720,0,0.0785
60722,0,0.043
60723,0,0.0361
60724,0,0.0348
60725,0,0.0532
60726,0,0.0492
60727,0,0.0308
60783,0,0.3612
60784,0,0.2305
60785,0,0.2285
60786,0,0.2279
60787,0,0.218
60788,0,0.1774
60789,0,0.0077
60790,0,0.0807
60791,0,0.1235
60792,0,0.0844
60793,0,0.2019
60794,0,0.2498
60795,0,0.2966
60796,0,0.1338
60797,0,0.0104
60798,0,0.0102
60799,0,0.0061
60800,0,0.0055
60801,0,0.062
60802,0,0.0751
60803,0,0.057
60804,0,0.0278
60805,0,0.0385
60806,0,0.0434
60807,0,0.056
60808,0,0.0425
60809,0,0.1496
60863,0,0.3941
60864,0,0.2641
60865,0,0.2182
60866,0,0.2276
60867,0,0.2198
60868,0,0.18
60869,0,0.0723
60870,0,0.0032
60871,0,0.1385
60872,0,0.0656
60873,0,0.1136
60874,0,0.2438
60875,0,0.3019
60876,0,0.2818
60877,0,0.0262
60878,0,0.0105
60879,0,0.0083
60880,0,0.0058
60881,0,0.0173
60882,0,0.0566
60883,0,0.0555
60884,0,0.0262
60885,0,0.0142
60886,0,0.0168
60887,0,0.0705
60888,0,0.0481
60889,0,0.1235
60944,0,0.3866
60945,0,0.2897
60946,0,0.2131
60947,0,0.2079
60948,0,0.2226
60949,0,0.1853
60950,0,0.1677
60951,0,0.0429
60952,0,0.0977
60953,0,0.0786
60954,0,0.0742
60955,0,0.1596
60956,0,0.2715
60957,0,0.319
60958,0,0.1819
60959,0,0.012
60960,0,0.0102
60961,0,0.0079
60962,0,0.0142
60963,0,0.0384
60964,0,0.0514
60965,0,0.0605
60966,0,0.0236
60967,0,0.0166
