"HID","PA","valpred"
48763,0,0.2434
48844,0,0.1925
48925,0,0.173
49005,0,0.1694
49006,0,0.1947
49087,0,0.1786
49168,0,0.1719
49249,0,0.1896
49330,0,0.1689
49492,0,0.1697
59090,0,0.1796
59091,0,0.1823
59092,0,0.1998
59093,0,0.2381
59171,0,0.1966
59172,0,0.1991
59173,0,0.2311
59251,0,0.2047
59252,0,0.1942
59253,0,0.1945
59254,0,0.2004
59262,0,0.2039
59332,0,0.1976
59333,0,0.1884
59334,0,0.1845
59335,0,0.2015
59336,0,0.2431
59344,0,0.2077
59413,0,0.1726
59414,0,0.1787
59415,0,0.1931
59416,0,0.2053
59424,0,0.1967
59425,0,0.1953
59494,0,0.1956
59495,0,0.1824
59496,0,0.186
59497,0,0.1978
59506,0,0.1933
59507,0,0.1805
59576,0,0.1867
59577,0,0.1675
59578,0,0.1914
59579,0,0.2068
59587,0,0.2002
59588,0,0.1874
59589,0,0.1716
59656,0,0.1867
59657,0,0.175
59658,0,0.1745
59659,0,0.1986
59668,0,0.1844
59669,0,0.1099
59670,0,0.083
59736,0,0.1726
59737,0,0.1821
59738,0,0.1568
59739,0,0.1696
59740,0,0.1685
59741,0,0.235
59749,0,0.183
59750,0,0.151
59751,0,0.0361
59752,0,0.0332
59816,0,0.0689
59817,0,0.1899
59818,0,0.1992
59819,0,0.1375
59820,0,0.1488
59821,0,0.1605
59822,0,0.172
59830,0,0.1707
59831,0,0.1826
59832,0,0.0868
59833,0,0.0243
59834,0,0.0601
59895,0,0.1139
59896,0,0.0888
59897,0,0.1856
59898,0,0.1995
59899,0,0.1455
59900,0,0.1379
59901,0,0.1356
59902,0,0.1708
59903,0,0.2141
59910,0,0.1663
59911,0,0.1922
59912,0,0.0916
59913,0,0.0234
59914,0,0.0316
59915,0,0.0951
59976,0,0.1249
59977,0,0.1142
59978,0,0.2174
59979,0,0.1968
59980,0,0.1602
59981,0,0.1489
59982,0,0.1193
59983,0,0.1462
59984,0,0.1744
59985,0,0.2177
59991,0,0.1654
59992,0,0.1977
59993,0,0.1938
59994,0,0.0427
59995,0,0.0228
59996,0,0.0426
59997,0,0.2424
60057,0,0.0848
60058,0,0.0974
60059,0,0.209
60060,0,0.2555
60061,0,0.1621
60062,0,0.1406
60063,0,0.1301
60064,0,0.0966
60065,0,0.1509
60066,0,0.1911
60067,0,0.2396
60073,0,0.1879
60074,0,0.1969
60075,0,0.042
60076,0,0.0238
60077,0,0.033
60078,0,0.109
60137,0,0.0965
60138,0,0.0676
60139,0,0.1071
60140,0,0.2621
60141,0,0.169
60142,0,0.1662
60143,0,0.1263
60144,0,0.0891
60145,0,0.0945
60146,0,0.1608
60147,0,0.2146
60148,0,0.2326
60153,0,0.2164
60154,0,0.2187
60155,0,0.0699
60156,0,0.042
60157,0,0.0283
60158,0,0.0644
60159,0,0.238
60218,0,0.1087
60219,0,0.1306
60220,0,0.1102
60221,0,0.2268
60222,0,0.2147
60223,0,0.1787
60224,0,0.1229
60225,0,0.1085
60226,0,0.0857
60227,0,0.1126
60228,0,0.1536
60229,0,0.175
60230,0,0.2216
60235,0,0.2188
60236,0,0.1109
60237,0,0.1079
60238,0,0.025
60239,0,0.0467
60240,0,0.0883
60299,0,0.118
60300,0,0.1286
60301,0,0.085
60302,0,0.2846
60303,0,0.2553
60304,0,0.2001
60305,0,0.1757
60306,0,0.1183
60307,0,0.0974
60308,0,0.1113
60309,0,0.1333
60310,0,0.1552
60311,0,0.1888
60312,0,0.1899
60316,0,0.2055
60317,0,0.2221
60318,0,0.0584
60319,0,0.0671
60320,0,0.0314
60321,0,0.0582
60322,0,0.0851
60379,0,0.1703
60380,0,0.1076
60381,0,0.1289
60382,0,0.1803
60383,0,0.236
60384,0,0.1736
60385,0,0.1608
60386,0,0.1344
60387,0,0.1074
60388,0,0.1116
60389,0,0.121
60390,0,0.1278
60391,0,0.1522
60392,0,0.1668
60393,0,0.1941
60397,0,0.2013
60398,0,0.0536
60399,0,0.0583
60400,0,0.0345
60401,0,0.0634
60402,0,0.0748
60403,0,0.1562
60460,0,0.232
60461,0,0.1583
60462,0,0.154
60463,0,0.1011
60464,0,0.2051
60465,0,0.1865
60466,0,0.1922
60467,0,0.1603
60468,0,0.1193
60469,0,0.1094
60470,0,0.1188
60471,0,0.1229
60472,0,0.1191
60473,0,0.1324
60474,0,0.1779
60478,0,0.2148
60479,0,0.0714
60480,0,0.0502
60481,0,0.0425
60482,0,0.0326
60483,0,0.0674
60484,0,0.1114
60541,0,0.1795
60542,0,0.1699
60543,0,0.1635
60544,0,0.1549
60545,0,0.0808
60546,0,0.1719
60547,0,0.1821
60548,0,0.1631
60549,0,0.1029
60550,0,0.1116
60551,0,0.1273
60552,0,0.1269
60553,0,0.0788
60554,0,0.1074
60555,0,0.1018
60556,0,0.1905
60557,0,0.191
60560,0,0.2011
60561,0,0.0629
60562,0,0.0227
60563,0,0.0289
60564,0,0.0392
60565,0,0.0365
60566,0,0.1484
60621,0,0.2208
60622,0,0.1774
60623,0,0.2011
60624,0,0.1615
60625,0,0.1479
60626,0,0.0167
60627,0,0.1461
60628,0,0.167
60629,0,0.0768
60630,0,0.1018
60631,0,0.1164
60632,0,0.13
60633,0,0.1095
60634,0,0.0479
60635,0,0.0473
60636,0,0.1211
60637,0,0.1546
60638,0,0.1653
60640,0,0.1839
60641,0,0.0551
60642,0,0.035
60643,0,0.0169
60644,0,0.0374
60645,0,0.0381
60646,0,0.0974
60702,0,0.2323
60703,0,0.1834
60704,0,0.1652
60705,0,0.1949
60706,0,0.1526
60707,0,0.0961
60708,0,0.0891
60709,0,0.1399
60710,0,0.0812
60711,0,0.0653
60712,0,0.0943
60713,0,0.132
60714,0,0.1095
60715,0,0.0392
60716,0,0.0387
60717,0,0.0461
60718,0,0.1367
60719,0,0.1615
60720,0,0.1197
60722,0,0.1029
60723,0,0.0479
60724,0,0.0181
60725,0,0.0207
