"HID","preds"
75,0.2743
76,0.2897
77,0.2758
78,0.2516
79,0.2282
80,0.1715
81,0.0753
82,0.1724
156,0.2753
157,0.2782
158,0.2821
159,0.2821
160,0.2164
161,0.1182
162,0.1221
238,0.2688
239,0.2763
240,0.2813
241,0.2817
242,0.225
243,0.0955
255,0.0775
320,0.2722
321,0.2756
322,0.2773
323,0.2798
324,0.221
325,0.2362
335,0.0781
336,0.0751
401,0.2806
402,0.2754
403,0.2812
404,0.28
405,0.2676
406,0.2389
410,0.2288
412,0.2149
416,0.139
417,0.0756
418,0.0751
421,0.0761
483,0.2829
484,0.2857
485,0.2819
486,0.3019
487,0.2766
493,0.1753
494,0.1644
498,0.0782
499,0.0739
502,0.0742
503,0.1428
564,0.2745
565,0.2899
566,0.2877
567,0.291
568,0.3085
573,0.207
574,0.1465
575,0.1301
578,0.1258
579,0.0734
580,0.0727
582,0.0724
583,0.0945
645,0.2806
646,0.2943
647,0.3194
648,0.3257
649,0.3033
654,0.2063
655,0.1423
656,0.0848
657,0.0861
660,0.0765
661,0.0707
663,0.069
664,0.073
665,0.1525
666,0.1784
727,0.2872
728,0.3069
729,0.3605
730,0.315
736,0.1421
737,0.0772
738,0.0826
741,0.0857
742,0.0715
745,0.0692
746,0.1391
747,0.1846
748,0.1212
809,0.4067
810,0.454
811,0.4209
816,0.2095
817,0.0896
818,0.0708
819,0.0801
822,0.0757
823,0.0711
825,0.0681
826,0.0748
827,0.1498
828,0.1414
829,0.0768
889,0.2931
890,0.3358
891,0.4178
892,0.3734
898,0.1616
899,0.0694
900,0.0681
901,0.0745
904,0.0706
905,0.0702
906,0.0688
907,0.0723
908,0.1452
909,0.1431
910,0.0752
911,0.0748
972,0.33
973,0.3953
979,0.2118
980,0.0718
981,0.0659
982,0.0665
983,0.0784
985,0.0712
986,0.0684
987,0.0694
988,0.0704
989,0.0809
990,0.1494
991,0.0742
992,0.07
1060,0.1618
1061,0.0707
1062,0.0631
1063,0.0656
1064,0.0661
1065,0.0673
1066,0.0649
1067,0.0665
1068,0.0705
1069,0.0806
1070,0.131
1071,0.0809
1072,0.0721
1073,0.0683
1141,0.2164
1142,0.1404
1143,0.0654
1144,0.0648
1145,0.0627
1146,0.0643
1147,0.0619
1148,0.0626
1149,0.0645
1150,0.0969
1151,0.1607
1152,0.1399
1153,0.0711
1154,0.0672
