"HID","preds"
75,0.154
76,0.1564
77,0.164
78,0.1399
79,0.134
80,0.1155
81,0.0337
82,0.0808
156,0.1535
157,0.1604
158,0.1644
159,0.1638
160,0.1331
161,0.0907
162,0.0812
238,0.1516
239,0.1593
240,0.1635
241,0.1653
242,0.136
243,0.0665
255,0.0207
320,0.154
321,0.1592
322,0.1673
323,0.1658
324,0.1299
325,0.1311
335,0.0236
336,0.0202
401,0.1527
402,0.1654
403,0.1665
404,0.1652
405,0.1599
406,0.1056
410,0.1289
412,0.1209
416,0.058
417,0.0203
418,0.0199
421,0.0193
483,0.1548
484,0.1639
485,0.1664
486,0.1854
487,0.1626
493,0.0958
494,0.0875
498,0.0226
499,0.0199
502,0.0184
503,0.0499
564,0.1588
565,0.1611
566,0.1641
567,0.1655
568,0.186
573,0.1141
574,0.0735
575,0.0637
578,0.0531
579,0.0204
580,0.0191
582,0.0168
583,0.0291
645,0.1609
646,0.1658
647,0.2065
648,0.2016
649,0.1929
654,0.1133
655,0.0695
656,0.0298
657,0.032
660,0.022
661,0.0195
663,0.0125
664,0.0214
665,0.0582
666,0.0742
727,0.1699
728,0.2002
729,0.2485
730,0.2024
736,0.0679
737,0.0255
738,0.0278
741,0.0261
742,0.0202
745,0.0176
746,0.0453
747,0.0745
748,0.0393
809,0.2952
810,0.3376
811,0.328
816,0.1137
817,0.0324
818,0.0223
819,0.0268
822,0.0219
823,0.0199
825,0.0174
826,0.0199
827,0.0529
828,0.0469
829,0.0204
889,0.1649
890,0.2524
891,0.3326
892,0.3261
898,0.083
899,0.0208
900,0.0215
901,0.0268
904,0.0195
905,0.02
906,0.0179
907,0.0191
908,0.0456
909,0.0471
910,0.0194
911,0.0178
972,0.2581
973,0.3837
979,0.1178
980,0.0234
981,0.0194
982,0.022
983,0.0268
985,0.0212
986,0.0195
987,0.0191
988,0.0197
989,0.0257
990,0.0489
991,0.018
992,0.0136
1060,0.0835
1061,0.0232
1062,0.0199
1063,0.0202
1064,0.0237
1065,0.0246
1066,0.0201
1067,0.0186
1068,0.0207
1069,0.0238
1070,0.0388
1071,0.0211
1072,0.0178
1073,0.0136
1141,0.1202
1142,0.0625
1143,0.0215
1144,0.0212
1145,0.0214
1146,0.0213
1147,0.0201
1148,0.0186
1149,0.0195
1150,0.0382
1151,0.0584
1152,0.0419
1153,0.017
1154,0.0129
1155,0.013
1188,0.0129
1222,0.1286
1223,0.1077
1224,0.065
1225,0.0254
1226,0.0247
1227,0.0209
1228,0.02
1229,0.0182
1230,0.019
1231,0.0458
1232,0.0603
1233,0.0636
1234,0.0381
1235,0.014
1236,0.0132
1237,0.0122
1270,0.0124
1303,0.1209
1304,0.0854
1305,0.0303
1306,0.0267
1307,0.0231
1308,0.0199
1309,0.0175
1310,0.0176
1311,0.0239
1312,0.0891
1313,0.0982
