"HID","preds"
75,0.22
76,0.21
77,0.22
78,0.22
79,0.18
80,0.14
81,0.08
82,0.15
156,0.22
157,0.21
158,0.21
159,0.21
160,0.18
161,0.09
162,0.11
238,0.22
239,0.21
240,0.22
241,0.21
242,0.18
243,0.08
255,0.06
320,0.23
321,0.23
322,0.21
323,0.22
324,0.17
325,0.22
335,0.09
336,0.06
401,0.21
402,0.23
403,0.22
404,0.21
405,0.19
406,0.23
410,0.23
412,0.19
416,0.13
417,0.06
418,0.06
421,0.08
483,0.24
484,0.23
485,0.23
486,0.25
487,0.23
493,0.17
494,0.16
498,0.09
499,0.06
502,0.06
503,0.14
564,0.22
565,0.24
566,0.23
567,0.24
568,0.26
573,0.18
574,0.13
575,0.14
578,0.13
579,0.06
580,0.06
582,0.06
583,0.09
645,0.23
646,0.26
647,0.3
648,0.27
649,0.26
654,0.19
655,0.13
656,0.11
657,0.1
660,0.08
661,0.06
663,0.06
664,0.07
665,0.15
666,0.17
727,0.25
728,0.27
729,0.31
730,0.27
736,0.13
737,0.1
738,0.09
741,0.09
742,0.06
745,0.06
746,0.12
747,0.17
748,0.12
809,0.36
810,0.37
811,0.36
816,0.19
817,0.11
818,0.06
819,0.08
822,0.08
823,0.06
825,0.06
826,0.08
827,0.14
828,0.14
829,0.06
889,0.24
890,0.3
891,0.33
892,0.31
898,0.13
899,0.06
900,0.06
901,0.07
904,0.06
905,0.06
906,0.06
907,0.06
908,0.12
909,0.14
910,0.06
911,0.06
972,0.31
973,0.32
979,0.18
980,0.08
981,0.05
982,0.07
983,0.06
985,0.07
986,0.05
987,0.06
988,0.07
989,0.08
990,0.12
991,0.08
992,0.06
1060,0.11
1061,0.06
1062,0.05
1063,0.05
1064,0.06
1065,0.06
1066,0.04
1067,0.05
1068,0.07
1069,0.08
1070,0.12
1071,0.08
1072,0.06
1073,0.06
1141,0.19
1142,0.08
1143,0.06
1144,0.07
1145,0.05
1146,0.05
1147,0.04
1148,0.04
1149,0.04
1150,0.1
1151,0.15
1152,0.11
1153,0.06
1154,0.06
1155,0.05
1188,0.04
1222,0.22
1223,0.14
1224,0.09
1225,0.06
1226,0.06
1227,0.04
1228,0.04
1229,0.04
1230,0.04
1231,0.11
1232,0.15
1233,0.14
1234,0.12
1235,0.06
1236,0.06
1237,0.05
1270,0.04
1303,0.22
1304,0.12
1305,0.06
1306,0.08
1307,0.05
1308,0.04
1309,0.04
1310,0.04
1311,0.07
1312,0.18
1313,0.19
1314,0.14
1315,0.04
1316,0.05
1317,0.06
1348,0.04
1350,0.04
1384,0.23
1385,0.16
1386,0.13
1387,0.05
1388,0.07
1389,0.05
1390,0.04
1391,0.04
1392,0.05
1393,0.15
1394,0.23
1395,0.21
1396,0.1
1397,0.04
1398,0.04
1428,0.04
1429,0.03
1432,0.05
1466,0.2
1467,0.17
1468,0.14
1469,0.07
1470,0.08
1471,0.05
1472,0.05
1473,0.04
1474,0.13
1475,0.22
1476,0.24
1477,0.19
1478,0.05
1479,0.04
1480,0.04
1509,0.04
1510,0.03
1511,0.04
1512,0.04
1513,0.04
1514,0.04
1541,0.24
1547,0.16
1548,0.14
1549,0.13
1550,0.08
1551,0.07
1552,0.06
1553,0.05
1554,0.06
1555,0.2
1556,0.23
1557,0.23
1558,0.12
1559,0.03
1560,0.04
1590,0.04
1591,0.04
1592,0.04
1593,0.04
1594,0.04
1623,0.22
1624,0.21
1628,0.21
1629,0.17
1630,0.17
1631,0.12
1632,0.08
1633,0.06
1634,0.06
1635,0.05
1636,0.11
1637,0.21
1638,0.21
1639,0.14
1640,0.03
1641,0.03
1642,0.04
1671,0.04
1672,0.04
1673,0.05
1674,0.05
1675,0.04
1676,0.05
1709,0.21
1710,0.15
1711,0.17
1712,0.17
1713,0.13
1714,0.06
1715,0.06
1716,0.05
1717,0.04
1718,0.14
1719,0.21
1720,0.17
1721,0.09
1722,0.03
1723,0.03
1753,0.04
1754,0.05
1755,0.05
1756,0.05
1757,0.04
1758,0.04
1786,0.2
1787,0.2
1790,0.21
1791,0.15
1792,0.18
1793,0.17
1794,0.12
1795,0.06
1796,0.05
1797,0.05
1798,0.09
1799,0.14
1800,0.14
1801,0.11
1802,0.07
1803,0.02
1804,0.03
1833,0.04
1834,0.05
1835,0.05
1836,0.05
1837,0.05
1838,0.05
1839,0.04
1868,0.21
1869,0.22
1872,0.17
1873,0.18
1874,0.18
1875,0.19
1876,0.09
1877,0.06
1878,0.05
1879,0.04
1880,0.08
1881,0.12
1882,0.12
1883,0.11
1884,0.06
1885,0.04
1914,0.04
1915,0.04
1916,0.06
1917,0.05
1918,0.06
1919,0.05
1920,0.05
1950,0.22
1953,0.19
1954,0.14
1955,0.2
1956,0.19
1957,0.15
1958,0.08
1959,0.04
1960,0.04
1961,0.03
1962,0.07
1963,0.11
1964,0.12
1965,0.09
1966,0.07
1967,0.06
1996,0.04
1997,0.09
1998,0.07
1999,0.07
2000,0.06
2001,0.06
2002,0.06
2031,0.21
2032,0.22
2034,0.17
2035,0.19
2036,0.19
2037,0.2
2038,0.13
2039,0.07
2040,0.04
2041,0.02
2042,0.03
2043,0.1
2044,0.1
2045,0.16
2046,0.1
2047,0.13
2076,0.04
2077,0.05
2078,0.07
2079,0.08
2080,0.07
2081,0.05
2082,0.07
2083,0.06
2084,0.04
2085,0.06
2113,0.22
2114,0.21
2115,0.19
2116,0.17
2117,0.19
