"HID","preds"
75,0.2494
76,0.2551
77,0.2487
78,0.2144
79,0.2336
80,0.2336
81,0.1063
82,0.0932
156,0.2472
157,0.252
158,0.2493
159,0.2287
160,0.2432
161,0.2279
162,0.1783
238,0.2448
239,0.2499
240,0.2469
241,0.2612
242,0.2482
243,0.1595
255,0.0857
320,0.2474
321,0.2548
322,0.2477
323,0.2618
324,0.254
325,0.2528
335,0.0904
336,0.0698
401,0.254
402,0.257
403,0.2578
404,0.2663
405,0.279
406,0.2465
410,0.1751
412,0.0867
416,0.0977
417,0.0928
418,0.0621
421,0.0141
483,0.2711
484,0.2602
485,0.2614
486,0.2757
487,0.2557
493,0.0907
494,0.0886
498,0.0965
499,0.0759
502,0.0147
503,0.0077
564,0.2666
565,0.2673
566,0.263
567,0.2657
568,0.2803
573,0.0946
574,0.0945
575,0.0943
578,0.1023
579,0.0775
580,0.0529
582,0.021
583,0.0034
645,0.2723
646,0.2651
647,0.2656
648,0.2737
649,0.2806
654,0.1006
655,0.0991
656,0.0991
657,0.0995
660,0.1054
661,0.0637
663,0.0228
664,0.0043
665,0.0029
666,0.0041
727,0.2773
728,0.2861
729,0.3043
730,0.2812
736,0.0989
737,0.1055
738,0.1127
741,0.1146
742,0.0718
745,0.0065
746,0.0026
747,0.0045
748,0.005
809,0.3418
810,0.4661
811,0.3451
816,0.1041
817,0.1023
818,0.1123
819,0.1227
822,0.1006
823,0.0672
825,0.0075
826,0.0035
827,0.0028
828,0.0029
829,0.003
889,0.3062
890,0.3306
891,0.3438
892,0.3036
898,0.1029
899,0.1094
900,0.1275
901,0.131
904,0.0804
905,0.0541
906,0.0373
907,0.0062
908,0.0028
909,0.0027
910,0.0027
911,0.0032
972,0.3308
973,0.3257
979,0.1074
980,0.111
981,0.1304
982,0.1311
983,0.1325
985,0.0949
986,0.0777
987,0.0555
988,0.0183
989,0.0063
990,0.0029
991,0.0036
992,0.0033
1060,0.1187
1061,0.1264
1062,0.1332
1063,0.1356
1064,0.1313
1065,0.109
1066,0.0899
1067,0.0534
1068,0.0446
1069,0.0134
1070,0.0059
1071,0.0036
1072,0.0026
1073,0.0034
1141,0.1646
1142,0.1306
1143,0.1361
1144,0.1374
1145,0.1326
1146,0.1249
1147,0.0917
1148,0.0671
1149,0.0482
1150,0.0415
1151,0.0094
1152,0.0055
1153,0.0056
1154,0.0036
1155,0.0034
1188,0.0033
1222,0.222
1223,0.1464
1224,0.139
1225,0.1387
1226,0.1392
1227,0.1229
1228,0.1068
1229,0.0678
1230,0.0484
1231,0.0363
1232,0.0215
1233,0.0063
1234,0.0027
1235,0.0025
1236,0.0036
1237,0.0028
1270,0.0037
1303,0.2539
1304,0.1443
1305,0.1426
1306,0.1462
1307,0.1401
1308,0.1189
1309,0.0789
1310,0.051
1311,0.0365
1312,0.0578
1313,0.0143
1314,0.0028
1315,0.0028
1316,0.0026
1317,0.0033
1348,0.0029
1350,0.0027
1384,0.2671
1385,0.26
1386,0.1482
1387,0.1467
1388,0.1482
1389,0.1358
1390,0.0869
1391,0.0539
1392,0.0424
1393,0.0309
1394,0.0375
1395,0.0068
1396,0.0026
1397,0.0028
1398,0.0032
1428,0.0423
1429,0.005
1432,0.0028
1466,0.2768
1467,0.2374
1468,0.1484
1469,0.1497
1470,0.1451
1471,0.1216
1472,0.0645
1473,0.0411
1474,0.0232
1475,0.0412
1476,0.0305
1477,0.0064
1478,0.003
1479,0.0029
1480,0.0045
1509,0.0031
1510,0.0173
1511,0.0039
1512,0.0016
1513,0.0014
1514,0.0028
1541,0.2038
1547,0.266
1548,0.1598
1549,0.1477
1550,0.1493
1551,0.1331
1552,0.1056
1553,0.0494
1554,0.0305
1555,0.0268
1556,0.0351
1557,0.0114
1558,0.0043
1559,0.0029
1560,0.0028
1590,0.0031
1591,0.0588
1592,0.0053
1593,0.002
1594,0.0024
1623,0.1872
1624,0.1937
1628,0.2854
1629,0.2452
1630,0.2071
1631,0.1507
1632,0.1451
1633,0.1295
1634,0.0961
1635,0.0363
1636,0.0221
1637,0.029
1638,0.0122
1639,0.0063
1640,0.0037
1641,0.0021
1642,0.0099
1671,0.0032
1672,0.0024
1673,0.0044
1674,0.0027
1675,0.0015
1676,0.0015
1709,0.2797
1710,0.2613
