"HID","preds"
75,0.15
76,0.24
77,0.22
78,0.22
79,0.2
80,0.2
81,0.13
82,0.09
156,0.12
157,0.23
158,0.22
159,0.22
160,0.2
161,0.19
162,0.11
238,0.2
239,0.22
240,0.22
241,0.2
242,0.2
243,0.13
255,0.11
320,0.12
321,0.22
322,0.22
323,0.2
324,0.2
325,0.21
335,0.09
336,0.12
401,0.19
402,0.24
403,0.21
404,0.22
405,0.23
406,0.15
410,0.2
412,0.13
416,0.08
417,0.08
418,0.1
421,0.08
483,0.21
484,0.24
485,0.24
486,0.23
487,0.17
493,0.12
494,0.11
498,0.08
499,0.09
502,0.09
503,0.08
564,0.17
565,0.21
566,0.26
567,0.22
568,0.24
573,0.11
574,0.09
575,0.09
578,0.09
579,0.07
580,0.06
582,0.06
583,0.07
645,0.14
646,0.24
647,0.24
648,0.23
649,0.16
654,0.11
655,0.08
656,0.08
657,0.07
660,0.08
661,0.07
663,0.09
664,0.06
665,0.08
666,0.06
727,0.19
728,0.24
729,0.27
730,0.23
736,0.09
737,0.09
738,0.05
741,0.08
742,0.07
745,0.06
746,0.05
747,0.08
748,0.06
809,0.32
810,0.52
811,0.33
816,0.09
817,0.08
818,0.06
819,0.02
822,0.08
823,0.05
825,0.05
826,0.05
827,0.08
828,0.05
829,0.06
889,0.27
890,0.35
891,0.38
892,0.27
898,0.08
899,0.06
900,0.05
901,0.05
904,0.06
905,0.04
906,0.04
907,0.07
908,0.05
909,0.08
910,0.05
911,0.06
972,0.36
973,0.3
979,0.1
980,0.08
981,0.06
982,0.04
983,0.05
985,0.06
986,0.04
987,0.04
988,0.04
989,0.04
990,0.08
991,0.07
992,0.06
1060,0.08
1061,0.07
1062,0.05
1063,0.04
1064,0.07
1065,0.08
1066,0.06
1067,0.04
1068,0.05
1069,0.03
1070,0.03
1071,0.07
1072,0.07
1073,0.06
1141,0.09
1142,0.08
1143,0.04
1144,0.04
1145,0.07
1146,0.08
1147,0.08
1148,0.05
1149,0.03
1150,0.04
1151,0.03
1152,0.05
1153,0.05
1154,0.06
1155,0.06
1188,0.08
1222,0.16
1223,0.08
1224,0.07
1225,0.01
1226,0.02
1227,0.07
1228,0.08
1229,0.08
1230,0.04
1231,0.04
1232,0.03
1233,0.01
1234,0.04
1235,0.02
1236,0.03
1237,0.06
1270,0.09
1303,0.18
1304,0.07
1305,0.03
1306,0.02
1307,0.04
1308,0.08
1309,0.08
1310,0.08
1311,0.02
1312,0.06
1313,0.01
1314,0.01
1315,0.02
1316,0.02
1317,0.01
1348,0.02
1350,0.04
1384,0.19
1385,0.18
1386,0.04
1387,0.01
1388,0.02
1389,0.07
1390,0.07
1391,0.07
1392,0.03
1393,0.01
1394,0.09
1395,0.01
1396,0.01
1397,0.01
1398,0.01
1428,0.06
1429,0.04
1432,0.02
1466,0.19
1467,0.15
1468,0.03
1469,0.01
1470,0.02
1471,0.07
1472,0.06
1473,0.06
1474,0.01
1475,0.08
1476,0.07
1477,0
1478,0.01
1479,0.01
1480,0.02
1509,0.07
1510,0.06
1511,0.05
1512,0.01
1513,0.01
1514,0.02
1541,0.2
1547,0.18
1548,0.03
1549,0.01
1550,0.01
1551,0.03
1552,0.07
1553,0.05
1554,0.03
1555,0.05
1556,0.07
1557,0.01
1558,0.01
1559,0.01
1560,0
1590,0.09
1591,0.06
1592,0.01
1593,0
1594,0
1623,0.18
1624,0.19
1628,0.2
1629,0.14
1630,0.07
1631,0.02
1632,0.03
1633,0.06
1634,0.07
1635,0.05
1636,0.02
1637,0.05
1638,0
1639,0
1640,0.01
1641,0.01
1642,0.01
1671,0.08
1672,0.06
1673,0.07
1674,0.01
1675,0
1676,0
1709,0.21
1710,0.14
1711,0.13
1712,0.14
1713,0.03
1714,0.02
1715,0.06
1716,0.05
1717,0.02
1718,0.02
1719,0
1720,0
1721,0
1722,0
1723,0.01
1753,0.06
1754,0.06
1755,0.04
1756,0.01
1757,0
1758,0.01
1786,0.19
1787,0.14
1790,0.21
1791,0.14
1792,0.16
1793,0.16
1794,0.03
1795,0.03
1796,0.06
1797,0.06
1798,0.03
1799,0
1800,0
1801,0
1802,0
1803,0.01
1804,0
1833,0.07
1834,0.06
1835,0.08
1836,0.01
1837,0.01
1838,0.01
1839,0.01
1868,0.16
1869,0.16
1872,0.14
1873,0.17
1874,0.18
1875,0.16
1876,0.03
1877,0.03
1878,0.06
1879,0.04
1880,0.02
1881,0
1882,0
1883,0
1884,0
1885,0
1914,0.08
1915,0.06
1916,0.07
1917,0.08
1918,0.02
1919,0.02
1920,0.02
1950,0.16
1953,0.15
1954,0.15
1955,0.18
1956,0.19
1957,0.13
1958,0.02
1959,0.03
1960,0.07
1961,0.04
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1996,0.08
1997,0.07
1998,0.08
1999,0.1
2000,0.02
2001,0.02
2002,0.05
2031,0.19
2032,0.18
2034,0.15
2035,0.16
2036,0.22
2037,0.18
2038,0.15
2039,0.03
2040,0.05
2041,0.05
2042,0.02
2043,0
2044,0
2045,0
2046,0
2047,0
2076,0.07
2077,0.07
2078,0.08
2079,0.11
2080,0.1
2081,0.02
2082,0.03
2083,0.04
2084,0.01
2085,0
2113,0.17
2114,0.15
2115,0.17
2116,0.17
2117,0.22
2118,0.22
2119,0.19
2120,0.12
2121,0.03
2122,0.06
2123,0.05
2124,0.01
2125,0
2126,0
2127,0
2128,0.02
2129,0
2158,0.06
2159,0.07
2160,0.04
2161,0.06
2162,0.1
2163,0.06
2164,0.1
2165,0.07
2166,0.01
2195,0.16
2196,0.18
2197,0.18
2198,0.2
2199,0.24
2200,0.21
2201,0.18
2202,0.1
2203,0.03
2204,0.06
2205,0.04
2206,0.01
2207,0.01
2208,0.01
2209,0.04
2210,0.05
2235,0.06
2236,0.06
2239,0.05
2240,0.08
2241,0.09
2242,0.12
2243,0.09
2244,0.09
2245,0.06
2246,0.14
2247,0.1
2276,0.16
2277,0.17
2278,0.16
2279,0.26
2280,0.22
2281,0.16
2282,0.15
2283,0.11
2284,0.05
2285,0.04
2286,0.04
2287,0.01
2288,0.04
2289,0.03
2290,0.05
2291,0.03
2315,0.06
2316,0.06
2317,0.06
2319,0.08
2320,0.08
2321,0.1
2322,0.07
2323,0.15
2324,0.11
2325,0.07
2326,0.12
2327,0.14
2328,0.14
2329,0.12
2330,0.11
2358,0.18
2359,0.17
2361,0.25
2362,0.22
2363,0.17
2364,0.15
2365,0.12
2366,0.05
2367,0.04
2368,0.01
2369,0.05
2370,0.08
2371,0.04
2372,0.1
2396,0.06
2397,0.06
2398,0.06
2400,0.06
2401,0.08
2402,0.08
2403,0.04
2404,0.09
2405,0.14
2406,0.13
2407,0.13
2408,0.14
2409,0.14
2410,0.18
2411,0.18
2440,0.19
2441,0.18
2442,0.25
2443,0.24
2444,0.22
2445,0.15
2446,0.14
2447,0.11
2448,0.05
2449,0.04
2450,0.04
2451,0.06
2452,0.08
2453,0.11
2454,0.01
2477,0.06
2478,0.06
2479,0.06
2480,0.06
2481,0.06
2482,0.06
2483,0.09
2484,0.09
2485,0.04
2486,0.13
2487,0.15
2488,0.15
2489,0.17
2490,0.14
2491,0.14
2492,0.16
2493,0.18
2494,0.18
2521,0.15
2522,0.16
2523,0.27
2524,0.24
2525,0.19
2526,0.15
2527,0.14
2528,0.03
2529,0.05
2530,0.04
2531,0.05
2532,0.09
2533,0.08
2534,0.07
2535,0.03
2556,0.07
2557,0.06
2558,0.06
2559,0.06
2560,0.06
2562,0.06
2563,0.08
2564,0.08
2565,0.09
2566,0.05
2567,0.13
2568,0.16
2569,0.16
2570,0.15
2571,0.15
2572,0.14
2573,0.17
2574,0.17
2603,0.13
2604,0.22
2605,0.25
2606,0.23
2607,0.18
2608,0.16
2609,0.13
2610,0.03
2611,0.05
2612,0.05
2613,0.06
2614,0.09
2615,0.1
2616,0.06
2638,0.06
2639,0.06
2640,0.06
2641,0.06
2643,0.06
2644,0.09
2645,0.08
2646,0.1
2647,0.1
2648,0.09
2649,0.14
2650,0.16
2651,0.17
2652,0.15
2653,0.14
2654,0.14
2655,0.17
2656,0.18
2683,0.14
2687,0.26
2688,0.19
2689,0.17
2690,0.16
2691,0.09
2692,0.03
2693,0.05
2694,0.04
2695,0.1
2696,0.1
2697,0.12
2698,0.02
2719,0.06
2720,0.06
2721,0.06
2722,0.06
2723,0.06
2724,0.06
2725,0.13
2726,0.1
2727,0.1
2728,0.05
2729,0.08
2730,0.06
2731,0.14
2732,0.17
2733,0.17
2734,0.15
2735,0.15
2736,0.14
2737,0.19
2738,0.21
2764,0.13
2769,0.18
2770,0.19
2771,0.18
2772,0.03
2773,0.05
2774,0.05
2775,0.04
2776,0.09
2777,0.11
2778,0.08
2799,0.06
2800,0.06
2801,0.06
2802,0.06
2803,0.06
2805,0.06
2806,0.06
2807,0.07
2808,0.04
2809,0.04
2810,0.04
2811,0.11
2812,0.14
2813,0.17
2814,0.16
2815,0.15
2816,0.14
2817,0.14
2818,0.21
2845,0.09
2846,0.1
2849,0.29
2850,0.23
2851,0.2
2852,0.17
2853,0.14
2854,0.05
2855,0.06
2856,0.04
2857,0.08
2858,0.09
2859,0.13
2860,0.03
2880,0.04
2882,0.06
2883,0.06
2884,0.07
2885,0.06
2886,0.06
2887,0.03
2888,0.06
2889,0.08
2890,0.09
2891,0.07
2892,0.12
2893,0.12
2894,0.16
2895,0.17
2896,0.16
2897,0.16
2898,0.15
2899,0.16
2900,0.21
2927,0.08
2928,0.07
2930,0.18
2931,0.28
2932,0.22
2933,0.2
2934,0.16
2935,0.1
2936,0.05
2937,0.04
2938,0.05
2939,0.08
2940,0.09
2941,0.13
2961,0.06
2962,0.05
2964,0.06
2965,0.06
2966,0.06
2967,0.06
2968,0.08
2969,0.07
2970,0.09
2971,0.11
2972,0.12
2973,0.15
2974,0.16
2975,0.16
2976,0.16
2977,0.16
2978,0.17
2979,0.15
2980,0.16
2981,0.19
2982,0.2
3010,0.17
3011,0.22
3012,0.27
3013,0.23
3014,0.17
3015,0.08
3016,0.09
3017,0.05
3018,0.04
3019,0.06
3020,0.09
3021,0.11
3022,0.05
3042,0.06
3043,0.06
3045,0.06
3046,0.07
3048,0.06
3049,0.05
3050,0.06
3051,0.11
3052,0.13
3053,0.15
3054,0.15
3055,0.16
3056,0.16
3057,0.16
3058,0.16
3059,0.16
3060,0.15
3061,0.16
3062,0.21
3063,0.19
3092,0.19
3093,0.26
3094,0.26
3095,0.23
3096,0.15
3097,0.11
3098,0.05
3099,0.04
3100,0.04
3101,0.09
3102,0.1
3103,0.13
3115,0.06
3116,0.06
3119,0.08
3121,0.07
3123,0.06
3124,0.06
3125,0.06
3126,0.06
3127,0.07
3128,0.06
3130,0.11
3131,0.06
3132,0.1
3133,0.13
3134,0.15
3135,0.15
3136,0.16
3137,0.16
3138,0.16
3139,0.16
3140,0.16
3141,0.15
3142,0.15
3143,0.21
3144,0.19
3145,0.2
3146,0.17
3174,0.25
3175,0.27
3176,0.26
3177,0.17
3178,0.12
3179,0.09
3180,0.05
3181,0.04
3182,0.05
3183,0.09
3184,0.1
3185,0.11
3197,0.06
3198,0.06
3200,0.07
3205,0.06
3206,0.06
3207,0.06
3208,0.06
3209,0.08
3212,0.09
3213,0.08
3214,0.12
3215,0.15
3216,0.15
3217,0.15
3218,0.16
3219,0.16
3220,0.15
3221,0.16
3222,0.16
3223,0.16
3224,0.16
3225,0.18
3226,0.18
3227,0.17
3228,0.2
3255,0.27
3256,0.29
3257,0.21
3258,0.13
3259,0.11
3260,0.02
3261,0.04
3262,0.04
3263,0.07
3264,0.09
3265,0.12
3266,0.04
3280,0.07
3283,0.07
3286,0.06
3287,0.06
3288,0.06
3289,0.08
3292,0.05
3293,0.1
3294,0.12
3295,0.15
3296,0.15
3297,0.15
3298,0.15
3299,0.16
3300,0.15
3301,0.16
3302,0.16
3303,0.15
3304,0.16
3305,0.21
3306,0.17
3307,0.16
3308,0.18
3315,0.21
3316,0.26
3338,0.3
3339,0.21
3340,0.12
3341,0.07
3342,0.03
3343,0.05
3344,0.04
3345,0.08
3346,0.1
3347,0.13
3367,0.06
3368,0.06
3369,0.06
3370,0.07
3373,0.1
3374,0.12
3375,0.12
3376,0.14
3377,0.15
3378,0.15
3379,0.15
3380,0.15
3381,0.15
3382,0.16
3383,0.16
3384,0.16
3385,0.15
3386,0.15
3387,0.19
3388,0.15
3396,0.23
3397,0.23
3420,0.23
3421,0.14
3422,0.08
3423,0.02
3424,0.04
3425,0.04
3426,0.06
3427,0.1
3428,0.11
3429,0.12
3430,0.02
3438,0.06
3441,0.07
3446,0.07
3447,0.06
3449,0.06
3451,0.06
3452,0.08
3454,0.06
3455,0.06
3456,0.11
3457,0.15
3458,0.14
3459,0.14
3460,0.15
3461,0.14
3462,0.16
3463,0.15
3464,0.16
3465,0.16
3466,0.15
3467,0.15
3468,0.16
3469,0.17
3470,0.15
3472,0.2
3478,0.22
3479,0.24
3500,0.35
3501,0.21
3502,0.11
3503,0.02
3504,0.05
3505,0.04
3506,0.04
3507,0.07
3508,0.08
3509,0.17
3510,0.1
3518,0.06
3521,0.06
3522,0.06
3529,0.06
3530,0.06
3531,0.06
3532,0.06
3535,0.09
3536,0.11
3537,0.12
3538,0.14
3539,0.14
3540,0.14
3541,0.15
3542,0.15
3543,0.16
3544,0.16
3545,0.16
3546,0.16
3547,0.15
3548,0.15
3549,0.2
3550,0.15
3551,0.16
3552,0.17
3558,0.24
3559,0.23
3582,0.25
3583,0.2
3584,0.1
3585,0.01
3586,0.04
3587,0.04
3588,0.04
3589,0.09
3590,0.12
3591,0.14
3592,0.09
3599,0.06
3600,0.06
3603,0.06
3605,0.07
3609,0.07
3611,0.06
3612,0.06
3613,0.06
3614,0.08
3616,0.07
3617,0.04
3618,0.08
3619,0.19
3620,0.14
3621,0.14
3622,0.14
3623,0.16
3624,0.15
3625,0.16
3626,0.16
3627,0.16
3628,0.15
3629,0.15
3630,0.16
3631,0.18
3632,0.15
3633,0.16
3634,0.19
3639,0.24
3640,0.22
3641,0.26
3663,0.32
3664,0.23
3665,0.17
3666,0.01
3667,0.04
3668,0.04
3669,0.08
3670,0.05
3671,0.12
3672,0.13
3673,0.13
3674,0.1
3675,0.07
3679,0.07
3680,0.06
3681,0.06
3682,0.06
3684,0.06
3685,0.07
3693,0.06
3694,0.06
3695,0.06
3697,0.06
3698,0.07
3699,0.06
3700,0.13
3701,0.2
3702,0.15
3703,0.14
3704,0.15
3705,0.15
3706,0.15
3707,0.16
3708,0.16
3709,0.16
3710,0.15
3711,0.15
3712,0.16
3713,0.19
3714,0.16
3715,0.17
3721,0.25
3722,0.23
3744,0.3
3745,0.22
3746,0.13
3747,0.02
3748,0.04
3749,0.04
3750,0.04
3751,0.08
3752,0.13
3753,0.12
3754,0.13
3755,0.08
3756,0.07
3760,0.06
3761,0.07
3762,0.06
3763,0.07
3765,0.06
3766,0.06
3767,0.06
3774,0.06
3775,0.06
3776,0.07
3778,0.06
3779,0.09
3780,0.05
3781,0.21
3782,0.23
3783,0.14
3784,0.15
3785,0.16
3786,0.16
3787,0.16
3788,0.16
3789,0.16
3790,0.16
3791,0.15
3792,0.15
3793,0.15
3794,0.17
3795,0.16
3796,0.19
3801,0.23
3802,0.22
3803,0.25
3825,0.37
3826,0.34
3827,0.22
3828,0.03
3829,0.04
3830,0.05
3831,0.04
3832,0.04
3833,0.1
3834,0.11
3835,0.12
3836,0.12
3837,0.07
3841,0.06
3842,0.06
3843,0.06
3844,0.07
3847,0.06
3848,0.06
3855,0.07
3856,0.06
3857,0.06
3860,0.06
3861,0.1
3862,0.2
3863,0.22
3864,0.21
3865,0.15
3866,0.16
3867,0.16
3868,0.16
3869,0.15
3870,0.16
3871,0.16
3872,0.16
3873,0.15
3874,0.15
3875,0.2
3876,0.18
3877,0.17
3882,0.23
3883,0.21
3884,0.26
3907,0.32
3908,0.26
3909,0.14
3910,0.02
3911,0.02
3912,0.04
3913,0.04
3914,0.07
3915,0.1
3916,0.1
3917,0.09
3918,0.12
3919,0.08
3920,0.07
3923,0.06
3924,0.06
3925,0.06
3926,0.06
3928,0.06
3929,0.06
3930,0.07
3934,0.07
3937,0.07
3938,0.06
3942,0.06
3943,0.12
3944,0.21
3945,0.23
3946,0.18
3947,0.15
3948,0.15
3949,0.16
3950,0.15
3951,0.15
3952,0.16
3953,0.16
3954,0.16
3955,0.15
3956,0.15
3957,0.21
3958,0.18
3959,0.19
3964,0.21
3965,0.21
3966,0.23
3987,0.39
3988,0.33
3989,0.22
3990,0.03
3991,0.02
3992,0.02
3993,0.05
3994,0.05
3995,0.06
3996,0.1
3997,0.12
3998,0.12
3999,0.13
4000,0.05
4003,0.06
4004,0.06
4005,0.06
4006,0.06
4009,0.06
4010,0.07
4011,0.06
4012,0.07
4013,0.09
4017,0.06
4018,0.06
4022,0.06
4023,0.08
4024,0.2
4025,0.21
4026,0.21
4027,0.15
4028,0.16
4029,0.16
4030,0.16
4031,0.16
4032,0.15
4033,0.15
4034,0.16
4035,0.15
4036,0.17
4037,0.17
4038,0.2
4039,0.17
4044,0.23
4045,0.21
4046,0.3
4069,0.37
4070,0.38
4071,0.18
4072,0.02
4073,0.01
4074,0.03
4075,0.05
4076,0.06
4077,0.09
4078,0.09
4079,0.11
4080,0.12
4081,0.13
4082,0.06
4085,0.06
4087,0.06
4088,0.06
4092,0.08
4094,0.09
4095,0.07
4096,0.07
4098,0.06
4099,0.06
4100,0.06
4103,0.06
4104,0.06
4105,0.15
4106,0.16
4107,0.24
4108,0.18
4109,0.16
4110,0.15
4111,0.16
4112,0.15
4113,0.16
4114,0.15
4115,0.15
4116,0.16
4117,0.17
4118,0.16
4119,0.2
4120,0.2
4125,0.22
4126,0.21
4127,0.22
4151,0.44
4152,0.2
4153,0.1
4154,0.01
4155,0.01
4156,0.01
4157,0.05
4158,0.07
4159,0.1
4160,0.1
4161,0.12
4162,0.12
4163,0.08
4168,0.06
4169,0.06
4176,0.07
4178,0.07
4179,0.07
4180,0.06
4181,0.06
4182,0.06
4185,0.06
4186,0.06
4188,0.19
4189,0.17
4190,0.19
4191,0.16
4192,0.16
4193,0.16
4194,0.16
4195,0.16
4196,0.15
4197,0.15
4198,0.17
4199,0.17
4200,0.18
4201,0.2
4202,0.17
4206,0.17
4207,0.23
4208,0.21
4209,0.26
4231,0.41
4232,0.34
4233,0.18
4234,0.01
4235,0.01
4236,0.01
4237,0.01
4238,0.05
4239,0.07
4240,0.08
4241,0.12
4242,0.13
4243,0.12
4244,0.07
4248,0.06
4249,0.06
4250,0.07
4256,0.09
4259,0.07
4261,0.07
4262,0.09
4266,0.06
4269,0.12
4270,0.18
4271,0.17
4272,0.16
4273,0.17
4274,0.16
4275,0.16
4276,0.15
4277,0.15
4278,0.17
4279,0.17
4280,0.18
4281,0.17
4282,0.18
4287,0.22
4288,0.21
4289,0.27
4313,0.39
4314,0.26
4315,0.13
4316,0.02
4317,0.01
4318,0.02
4319,0.03
4320,0.06
4321,0.09
4322,0.11
4323,0.12
4324,0.12
4325,0.08
4326,0.08
4330,0.06
4331,0.07
4332,0.07
4338,0.09
4340,0.09
4351,0.14
4352,0.2
4353,0.16
4354,0.16
4355,0.17
4356,0.17
4357,0.16
4358,0.15
4359,0.15
4360,0.16
4361,0.17
4362,0.17
4363,0.17
4368,0.2
4369,0.23
4370,0.23
4395,0.36
4396,0.19
4397,0.01
4398,0.01
4399,0.01
4400,0.01
4401,0.05
4402,0.07
4403,0.07
4404,0.11
4405,0.12
4406,0.1
4407,0.1
4411,0.06
4412,0.07
4413,0.07
4422,0.09
4433,0.15
4434,0.2
4435,0.16
4436,0.14
4437,0.14
4438,0.16
4439,0.15
4440,0.16
4441,0.16
4442,0.17
4443,0.15
4444,0.17
4445,0.16
4451,0.22
4475,0.36
4476,0.32
4477,0.1
4478,0.02
4479,0.02
4480,0.01
4481,0.01
4482,0.05
4483,0.08
4484,0.07
4485,0.12
4486,0.12
4487,0.09
4488,0.08
4489,0.06
4492,0.06
4493,0.07
4494,0.07
4501,0.11
4502,0.08
4503,0.1
4505,0.08
4514,0.19
4515,0.2
4516,0.15
4517,0.14
4518,0.14
4519,0.16
4520,0.15
4521,0.16
4522,0.16
4523,0.18
4524,0.16
4525,0.16
4557,0.37
4558,0.17
4559,0.01
4560,0.03
4561,0.02
4562,0.02
4563,0.01
4564,0.03
4565,0.07
4566,0.09
4567,0.11
4568,0.09
4569,0.08
4570,0.08
4573,0.06
4574,0.06
4575,0.07
4576,0.07
4578,0.07
4584,0.07
4585,0.06
4586,0.09
4587,0.06
4595,0.15
4596,0.2
4597,0.16
4598,0.14
4599,0.14
4600,0.14
4601,0.16
4602,0.16
4603,0.16
4604,0.17
4605,0.16
4606,0.17
4638,0.39
4639,0.26
4640,0.1
4641,0.02
4642,0.04
4643,0.02
4644,0
4645,0.01
4646,0.02
4647,0.06
4648,0.1
4649,0.1
4650,0.09
4651,0.13
4652,0.07
4655,0.06
4656,0.07
4657,0.06
4658,0.07
4659,0.07
4665,0.06
4666,0.06
4667,0.06
4668,0.09
4677,0.16
4678,0.2
4679,0.19
4680,0.15
4681,0.14
4682,0.16
4683,0.15
4684,0.16
4685,0.17
4686,0.15
4687,0.17
4688,0.17
4719,0.42
4720,0.15
4721,0.03
4722,0.01
4723,0.04
4724,0.01
4725,0.01
4726,0
4727,0.02
4728,0.06
4729,0.09
4730,0.08
4731,0.09
4732,0.12
4733,0.03
