"HID","PA","valpred"
48763,0,0.24
48844,0,0.22
48925,0,0.19
49005,0,0.2
49006,0,0.22
49087,0,0.21
49168,0,0.18
49249,0,0.21
49330,0,0.19
49492,0,0.2
59090,0,0.22
59091,0,0.21
59092,0,0.22
59093,0,0.23
59171,0,0.22
59172,0,0.22
59173,0,0.22
59251,0,0.21
59252,0,0.21
59253,0,0.21
59254,0,0.18
59262,0,0.26
59332,0,0.19
59333,0,0.2
59334,0,0.2
59335,0,0.2
59336,0,0.23
59344,0,0.3
59413,0,0.17
59414,0,0.17
59415,0,0.19
59416,0,0.2
59424,0,0.26
59425,0,0.28
59494,0,0.19
59495,0,0.19
59496,0,0.18
59497,0,0.18
59506,0,0.27
59507,0,0.28
59576,0,0.19
59577,0,0.18
59578,0,0.18
59579,0,0.18
59587,0,0.26
59588,0,0.28
59589,0,0.28
59656,0,0.2
59657,0,0.2
59658,0,0.2
59659,0,0.19
59668,0,0.25
59669,0,0.13
59670,0,0.1
59736,0,0.13
59737,0,0.21
59738,0,0.18
59739,0,0.2
59740,0,0.18
59741,0,0.23
59749,0,0.24
59750,0,0.19
59751,0,0.06
59752,0,0.04
59816,0,0.04
59817,0,0.14
59818,0,0.19
59819,0,0.15
59820,0,0.17
59821,0,0.19
59822,0,0.18
59830,0,0.24
59831,0,0.23
59832,0,0.14
59833,0,0.05
59834,0,0.08
59895,0,0.11
59896,0,0.07
59897,0,0.12
59898,0,0.18
59899,0,0.18
59900,0,0.15
59901,0,0.15
59902,0,0.21
59903,0,0.25
59910,0,0.21
59911,0,0.2
59912,0,0.16
59913,0,0.05
59914,0,0.04
59915,0,0.1
59976,0,0.11
59977,0,0.14
59978,0,0.17
59979,0,0.14
59980,0,0.17
59981,0,0.18
59982,0,0.12
59983,0,0.17
59984,0,0.2
59985,0,0.24
59991,0,0.18
59992,0,0.18
59993,0,0.24
59994,0,0.08
59995,0,0.05
59996,0,0.06
59997,0,0.36
60057,0,0.06
60058,0,0.12
60059,0,0.16
60060,0,0.25
60061,0,0.15
60062,0,0.17
60063,0,0.16
60064,0,0.12
60065,0,0.18
60066,0,0.25
60067,0,0.27
60073,0,0.13
60074,0,0.21
60075,0,0.05
60076,0,0.03
60077,0,0.03
60078,0,0.14
60137,0,0.07
60138,0,0.08
60139,0,0.1
60140,0,0.23
60141,0,0.12
60142,0,0.19
60143,0,0.15
60144,0,0.12
60145,0,0.1
60146,0,0.21
60147,0,0.28
60148,0,0.25
60153,0,0.18
60154,0,0.22
60155,0,0.08
60156,0,0.04
60157,0,0.02
60158,0,0.07
60159,0,0.34
60218,0,0.1
60219,0,0.12
60220,0,0.11
60221,0,0.18
60222,0,0.21
60223,0,0.19
60224,0,0.13
60225,0,0.12
60226,0,0.11
60227,0,0.14
60228,0,0.19
60229,0,0.23
60230,0,0.24
60235,0,0.23
60236,0,0.16
60237,0,0.15
60238,0,0.05
60239,0,0.03
60240,0,0.12
60299,0,0.11
60300,0,0.12
60301,0,0.06
60302,0,0.28
60303,0,0.28
60304,0,0.21
60305,0,0.18
