"HID","PA","valpred"
48763,0,0.24
48844,0,0.25
48925,0,0.26
49005,0,0.27
49006,0,0.26
49087,0,0.27
49168,0,0.25
49249,0,0.23
49330,0,0.24
49492,0,0.25
59090,0,0.23
59091,0,0.25
59092,0,0.23
59093,0,0.26
59171,0,0.23
59172,0,0.23
59173,0,0.25
59251,0,0.23
59252,0,0.24
59253,0,0.24
59254,0,0.22
59262,0,0.19
59332,0,0.25
59333,0,0.23
59334,0,0.24
59335,0,0.23
59336,0,0.22
59344,0,0.16
59413,0,0.29
59414,0,0.21
59415,0,0.23
59416,0,0.23
59424,0,0.18
59425,0,0.14
59494,0,0.23
59495,0,0.21
59496,0,0.22
59497,0,0.19
59506,0,0.18
59507,0,0.13
59576,0,0.25
59577,0,0.22
59578,0,0.2
59579,0,0.21
59587,0,0.09
59588,0,0.12
59589,0,0.09
59656,0,0.25
59657,0,0.22
59658,0,0.21
59659,0,0.2
59668,0,0.08
59669,0,0.05
59670,0,0.11
59736,0,0.39
59737,0,0.27
59738,0,0.28
59739,0,0.2
59740,0,0.24
59741,0,0.17
59749,0,0.09
59750,0,0.08
59751,0,0.06
59752,0,0.07
59816,0,0.08
59817,0,0.37
59818,0,0.36
59819,0,0.27
59820,0,0.22
59821,0,0.23
59822,0,0.25
59830,0,0.07
59831,0,0.08
59832,0,0.04
59833,0,0.08
59834,0,0.09
59895,0,0.1
59896,0,0.08
59897,0,0.33
59898,0,0.35
59899,0,0.23
59900,0,0.2
59901,0,0.19
59902,0,0.25
59903,0,0.19
59910,0,0.07
59911,0,0.06
59912,0,0.03
59913,0,0.07
59914,0,0.09
59915,0,0.06
59976,0,0.22
59977,0,0.08
59978,0,0.31
59979,0,0.29
59980,0,0.25
59981,0,0.17
59982,0,0.17
59983,0,0.18
59984,0,0.22
59985,0,0.19
59991,0,0.06
59992,0,0.05
59993,0,0.1
59994,0,0.08
59995,0,0.06
59996,0,0.1
59997,0,0.14
60057,0,0.1
60058,0,0.09
60059,0,0.28
60060,0,0.22
60061,0,0.2
60062,0,0.23
60063,0,0.18
60064,0,0.19
60065,0,0.16
60066,0,0.19
60067,0,0.21
60073,0,0.06
60074,0,0.05
60075,0,0.04
60076,0,0.06
60077,0,0.12
60078,0,0.07
60137,0,0.21
60138,0,0.09
60139,0,0.11
60140,0,0.23
60141,0,0.21
60142,0,0.18
60143,0,0.18
60144,0,0.18
60145,0,0.17
60146,0,0.15
60147,0,0.19
60148,0,0.19
60153,0,0.12
60154,0,0.06
60155,0,0.05
60156,0,0.07
60157,0,0.1
60158,0,0.1
60159,0,0.15
60218,0,0.23
60219,0,0.2
60220,0,0.08
60221,0,0.18
60222,0,0.23
60223,0,0.18
60224,0,0.16
60225,0,0.17
60226,0,0.18
60227,0,0.17
60228,0,0.16
60229,0,0.18
60230,0,0.27
60235,0,0.06
60236,0,0.08
60237,0,0.11
60238,0,0.08
60239,0,0.1
60240,0,0.07
60299,0,0.22
60300,0,0.22
60301,0,0.21
60302,0,0.14
60303,0,0.19
60304,0,0.19
60305,0,0.19
60306,0,0.18
60307,0,0.18
60308,0,0.17
60309,0,0.15
60310,0,0.19
60311,0,0.15
60312,0,0.25
60316,0,0.07
60317,0,0.09
60318,0,0.11
60319,0,0.09
60320,0,0.11
