"HID","probs","pred_labels"
75,6.57498774671235e-05,0
76,3.22444635519927e-06,0
77,4.53224431719769e-07,0
78,2.53403351938562e-07,0
79,5.27021093619166e-07,0
80,6.03707688418882e-06,0
81,0.000500352054446064,0
82,0.00761637973921037,0
156,3.47430794724148e-05,0
157,5.00008557149002e-06,0
158,3.63958290066759e-07,0
159,1.99283298432421e-07,0
160,1.18392164217146e-06,0
161,6.37468762082902e-05,0
162,0.00077582630836758,0
238,7.94313002875501e-05,0
239,1.10819082157547e-06,0
240,1.18955336214641e-07,0
241,1.50551766811285e-07,0
242,1.91396042838475e-06,0
243,0.000278490341380834,0
255,2.45945737186017e-11,0
320,5.59088252148793e-05,0
321,7.88231394657722e-07,0
322,7.33734905768865e-08,0
323,2.73554235241552e-07,0
324,1.34058539241947e-05,0
325,0.000234987320427534,0
335,4.81196285642733e-11,0
336,1.47078107170457e-11,0
401,6.60613871306597e-06,0
402,1.79596961617479e-07,0
403,9.79048740712977e-08,0
404,5.24166401182225e-07,0
405,2.10370492014436e-05,0
406,0.00439500032640914,0
410,3.32620635389183e-08,0
412,3.29578178263521e-09,0
416,1.3332830823622e-10,0
417,4.69146194206921e-11,0
418,2.24678041134821e-11,0
421,1.33873702484715e-12,0
483,6.53311103859452e-06,0
484,9.25710434533584e-08,0
485,1.79599071304551e-07,0
486,7.149434625093e-06,0
487,0.000944902026288956,0
493,1.46599975990347e-08,0
494,7.90100751276407e-09,0
498,1.10806293965043e-10,0
499,4.50288686823876e-11,0
502,2.82427781560931e-12,0
503,6.39048955540519e-13,0
564,0.00016143599673537,0
565,1.63640816783308e-06,0
566,5.14890935983961e-07,0
567,7.55246208380745e-07,0
568,4.93245840161826e-05,0
573,4.2086242964257e-08,0
574,2.42240579559684e-08,0
575,1.13093524454678e-08,0
578,3.23176997684337e-10,0
579,9.50640648307645e-11,0
580,5.38986663145694e-11,0
582,5.38201397614261e-12,0
583,1.47303367625946e-12,0
645,0.000275638479285303,0
646,1.49732363514786e-06,0
647,1.35682978580655e-06,0
648,1.27730256649859e-05,0
649,0.0018402185224355,0
654,8.19583251334907e-08,0
655,5.88150024483795e-08,0
656,3.70008502032244e-08,0
657,1.87060679933762e-08,0
660,2.58136775884531e-10,0
661,8.36573872526715e-11,0
663,1.81623342962855e-11,0
664,2.85630919528292e-12,0
665,5.84488962393929e-13,0
666,1.52218284199252e-13,0
727,0.000197076046969253,0
728,4.08097079361201e-05,0
729,2.60483462282501e-05,0
730,0.000442688610569353,0
736,2.0089511419509e-07,0
737,8.79863801801312e-08,0
738,3.865191832664e-08,0
741,8.50373016049615e-10,0
742,1.86844890208816e-10,0
745,5.64820090612035e-12,0
746,1.33009420272484e-12,0
