"HID","preds"
75,4.79199318458519e-05
76,1.78052865519562e-06
77,2.11578037197767e-07
78,1.11262456171915e-07
79,2.42288942197067e-07
80,3.29059995679483e-06
81,0.000386008167875302
82,0.00699518151909349
156,2.45531994594836e-05
157,3.00957028146924e-06
158,1.69773811490393e-07
159,8.61430722369549e-08
160,5.75660812287377e-07
161,4.18313749703321e-05
162,0.000601627225854709
238,6.41300897225058e-05
239,5.82929037918628e-07
240,5.08893432310302e-08
241,6.43448755945148e-08
242,9.71219998523499e-07
243,0.000205939129783211
255,6.35664215408467e-12
320,4.13650501273959e-05
321,4.05128347988717e-07
322,3.05067813105816e-08
323,1.2297509215825e-07
324,8.0516755519651e-06
325,0.000170174406053231
335,1.2931270956493e-11
336,3.6039617511438e-12
401,4.08662138823946e-06
402,8.11024273243058e-08
403,4.15220062226304e-08
404,2.50750012355644e-07
405,1.29943389574855e-05
406,0.00378025620694069
410,1.98391866546381e-08
412,1.5049140766539e-09
416,3.85276299711739e-11
417,1.15346361357418e-11
418,5.47442044426734e-12
421,2.66486160432608e-13
483,3.9563570315603e-06
484,3.97275543420748e-08
485,7.90543675533656e-08
486,4.03442819960975e-06
487,0.000756463790004734
493,6.80333333199316e-09
494,3.36261867874992e-09
498,2.91257112783593e-11
499,1.07871105190022e-11
502,5.70408545493808e-13
503,1.17410938115807e-13
564,0.000123664746802216
565,8.62993943289395e-07
566,2.44253071195613e-07
567,3.60673840697339e-07
568,3.17511223314423e-05
573,2.13690471897464e-08
574,1.04677970142026e-08
575,4.49604398018358e-09
578,9.15981922401528e-11
579,2.28927004158432e-11
580,1.25731283362024e-11
582,1.09636543279972e-12
583,2.69505869730641e-13
645,0.000204963213761488
646,7.57524387594842e-07
647,6.62987484251673e-07
648,7.15768309915874e-06
649,0.00145498801304537
654,4.36149749509404e-08
655,2.63989250534945e-08
656,1.51251239663065e-08
657,7.13869326398722e-09
660,6.69144323075083e-11
661,1.95716043965938e-11
663,3.80071530724257e-12
664,5.28155671815796e-13
665,9.82408975297213e-14
666,2.22044604925031e-16
727,0.000131509951724172
728,2.41784324151907e-05
729,1.46513550598228e-05
730,0.000304595570828775
736,9.86282058231133e-08
737,3.66231832394894e-08
738,1.48475601705659e-08
741,2.3804335268684e-10
742,4.54056903249341e-11
745,1.07767384273573e-12
746,2.28056059923753e-13
747,2.22044604925031e-16
748,2.22044604925031e-16
809,0.000505958780298558
810,0.000105897605540054
811,0.000496725834115112
816,1.05458662615955e-07
817,8.12848503093184e-08
818,3.57718326516463e-08
819,1.52807377418467e-08
822,1.24816002438033e-10
823,3.72531076366429e-11
825,2.44164360702591e-12
826,4.82605567857767e-13
827,2.22044604925031e-16
828,2.22044604925031e-16
829,2.22044604925031e-16
889,0.0184425156059321
890,0.00204651934813662
891,0.00194867635775096
892,0.00902973220146052
898,1.11608065222846e-07
899,6.28265510709744e-08
900,2.08183689462465e-08
901,7.06528324021789e-09
904,6.46669969537431e-11
905,1.97672751302617e-11
906,5.26912818044794e-12
907,9.96268151350325e-13
908,1.11974430260051e-13
909,2.22044604925031e-16
910,2.22044604925031e-16
911,2.22044604925031e-16
972,0.00615325334137623
973,0.01758454708994
979,2.00957937738522e-07
980,1.44303177698969e-07
981,4.72342783623452e-08
982,1.22897965245363e-08
983,2.9188477887129e-09
985,1.9354693935199e-10
986,4.2091931706884e-11
987,9.19669846323088e-12
988,2.10814616489433e-12
989,3.79208044695242e-13
990,2.22044604925031e-16
991,2.22044604925031e-16
992,2.22044604925031e-16
1060,1.36983151421569e-07
1061,8.54504241007575e-08
1062,3.1112609736497e-08
1063,8.65158758912388e-09
1064,2.33043826375688e-09
1065,6.15022711421911e-10
1066,1.1668692017066e-10
1067,2.15306355068444e-11
1068,3.78543107454047e-12
1069,7.74066694743067e-13
1070,1.24019567106091e-13
1071,2.22044604925031e-16
1072,2.22044604925031e-16
1073,2.22044604925031e-16
1141,2.06973965093495e-07
1142,1.30247001704611e-07
1143,5.79240762889738e-08
1144,1.7384059420585e-08
1145,3.84785979756132e-09
1146,1.64506281414614e-09
1147,3.99406867777365e-10
1148,5.51186319572023e-11
1149,8.36958392351068e-12
1150,1.39492837968805e-12
1151,2.60314992604819e-13
1152,2.22044604925031e-16
1153,2.22044604925031e-16
1154,2.22044604925031e-16
1155,2.22044604925031e-16
1188,2.22044604925031e-16
1222,3.6058122584024e-07
1223,1.66763557237745e-07
1224,9.34149017001932e-08
1225,4.31295754844611e-08
1226,1.33380458743742e-08
1227,3.1738358276664e-09
1228,1.09285947209348e-09
1229,2.05096581703131e-10
1230,2.55114735223132e-11
1231,2.86093736838238e-12
1232,4.6706775434705e-13
1233,1.08705008782916e-13
1234,2.22044604925031e-16
1235,2.22044604925031e-16
1236,2.22044604925031e-16
1237,2.22044604925031e-16
1270,2.22044604925031e-16
1303,2.00773345649829e-07
1304,1.1497864975281e-07
1305,7.37216136193812e-08
1306,2.67970325679451e-08
1307,8.01833354355278e-09
1308,2.75842327691699e-09
1309,8.34712481988351e-10
1310,9.70955067341502e-11
1311,7.44395678267057e-12
1312,9.17823704292902e-13
1313,1.55776775524079e-13
1314,2.22044604925031e-16
1315,2.22044604925031e-16
1316,2.22044604925031e-16
1317,2.22044604925031e-16
1348,2.22044604925031e-16
1350,2.22044604925031e-16
1384,5.7510162833368e-07
1385,1.2131337688452e-07
1386,9.517758993503e-08
1387,5.55283047932403e-08
1388,1.85656936956134e-08
1389,5.83793549572492e-09
1390,1.87272920246776e-09
1391,5.53986392119956e-10
1392,3.7196851102141e-11
1393,2.42026633612815e-12
1394,2.06876280436617e-13
1395,2.22044604925031e-16
1396,2.22044604925031e-16
1397,1.08767817986074e-13
1398,1.11072684376953e-13
1428,2.22044604925031e-16
1429,2.22044604925031e-16
1432,2.22044604925031e-16
1466,2.64371609954969e-07
1467,1.31202563630148e-07
1468,9.99093685617646e-08
1469,4.67070655975379e-08
1470,1.99861823223567e-08
1471,5.76836519321572e-09
1472,1.57013504366187e-09
1473,2.12559758414846e-10
1474,9.59318279482921e-12
1475,5.70296128402611e-13
1476,9.60474393962321e-14
1477,2.22044604925031e-16
1478,2.22044604925031e-16
1479,2.06927519121345e-13
1480,2.22044604925031e-16
1509,2.22044604925031e-16
1510,2.22044604925031e-16
1511,2.22044604925031e-16
1512,2.22044604925031e-16
1513,2.22044604925031e-16
1514,2.22044604925031e-16
1541,0.000299297029083345
1547,1.42386213536503e-07
1548,1.2717448318577e-07
1549,7.33043077450568e-08
1550,3.27208816753929e-08
1551,1.29452353463866e-08
1552,3.77788148868143e-09
1553,8.86835068470436e-10
1554,7.06800730486291e-11
1555,1.96879219665685e-12
1556,1.13094339488341e-13
1557,2.22044604925031e-16
1558,2.22044604925031e-16
1559,1.23308487053832e-13
1560,2.37683876868272e-13
1590,2.22044604925031e-16
1591,2.22044604925031e-16
1592,2.22044604925031e-16
1593,2.22044604925031e-16
1594,2.22044604925031e-16
1623,0.000430680708741077
1624,8.06063123815527e-05
1628,5.76902984575823e-07
1629,2.03703336047977e-07
1630,1.2680296919192e-07
1631,6.89728252704457e-08
1632,3.41494266689182e-08
1633,1.27245617577808e-08
1634,3.2441351104117e-09
1635,3.10943239710991e-10
1636,2.11445527684795e-11
1637,5.18270655134757e-13
1638,2.22044604925031e-16
1639,2.22044604925031e-16
1640,2.22044604925031e-16
1641,2.64084071322245e-13
1642,1.0386485861634e-13
1671,2.22044604925031e-16
1672,2.22044604925031e-16
1673,2.22044604925031e-16
1674,2.22044604925031e-16
1675,2.22044604925031e-16
1676,2.22044604925031e-16
1709,1.1496006053726e-06
1710,3.396629749949e-07
1711,1.59553509848048e-07
1712,6.81809512612056e-08
1713,3.78954703527851e-08
1714,1.91474373550365e-08
1715,9.26914776871772e-09
1716,1.78159806124248e-09
1717,1.08501855587907e-10
1718,3.83299856404895e-12
1719,1.60365834797249e-13
1720,2.22044604925031e-16
1721,2.22044604925031e-16
1722,1.29836266226896e-13
1723,4.60065331143813e-13
1753,2.22044604925031e-16
1754,2.22044604925031e-16
1755,2.22044604925031e-16
1756,2.22044604925031e-16
1757,2.22044604925031e-16
1758,2.22044604925031e-16
1786,0.000142889410222901
1787,9.58692360985378e-05
1790,1.45048143411906e-06
1791,3.34356286065497e-07
1792,1.55564500412053e-07
1793,4.85277915192035e-08
1794,2.40318727940696e-08
1795,1.31258498963448e-08
1796,5.02672589977669e-09
1797,6.75420158966383e-10
1798,2.8210552680444e-11
1799,8.51489199724101e-13
1800,2.22044604925031e-16
1801,2.22044604925031e-16
1802,2.22044604925031e-16
1803,1.90378351965339e-13
1804,1.62709073597396e-13
1833,2.22044604925031e-16
1834,2.22044604925031e-16
1835,2.22044604925031e-16
1836,2.22044604925031e-16
1837,2.22044604925031e-16
1838,2.22044604925031e-16
1839,2.22044604925031e-16
1868,0.000125909525240203
1869,3.97315681628518e-05
1872,1.0953341039501e-06
1873,2.10800175026282e-07
1874,6.12397569500414e-08
1875,2.06950595863992e-08
1876,1.50082370783831e-08
1877,1.5518279099699e-08
1878,2.97341301015274e-09
1879,2.87945128695345e-10
1880,4.89682422122295e-12
1881,2.91636420075032e-13
1882,2.22044604925031e-16
1883,2.22044604925031e-16
1884,2.22044604925031e-16
1885,1.82626033771816e-13
1914,2.22044604925031e-16
1915,2.22044604925031e-16
1916,2.22044604925031e-16
1917,2.22044604925031e-16
1918,2.22044604925031e-16
1919,2.22044604925031e-16
1920,2.22044604925031e-16
1950,0.000183580680892043
1953,2.73167511691257e-06
1954,6.28348112516024e-07
1955,1.08969125600687e-07
1956,1.05025583929832e-08
1957,6.962572090451e-09
1958,7.35020387936831e-09
1959,6.37602140529445e-09
1960,1.77417872097898e-09
1961,8.88308239030087e-11
1962,1.78897451546507e-12
1963,2.22044604925031e-16
1964,2.22044604925031e-16
1965,2.22044604925031e-16
1966,2.22044604925031e-16
1967,1.1344306016965e-13
1996,2.22044604925031e-16
1997,2.22044604925031e-16
1998,2.22044604925031e-16
1999,2.22044604925031e-16
2000,2.22044604925031e-16
2001,2.22044604925031e-16
2002,2.22044604925031e-16
2031,0.000159624309475756
2032,2.73362477629301e-05
2034,2.19527988418741e-06
2035,3.12893988485295e-07
2036,3.61488742370193e-08
2037,2.58045893205549e-09
2038,4.29515458633756e-09
2039,5.9460208461638e-09
2040,3.78824672405342e-09
2041,8.86354751344937e-10
2042,2.50628106651516e-11
2043,5.23266578646397e-13
2044,2.22044604925031e-16
2045,2.22044604925031e-16
2046,2.22044604925031e-16
2047,2.22044604925031e-16
2076,2.22044604925031e-16
2077,2.22044604925031e-16
2078,2.22044604925031e-16
2079,2.22044604925031e-16
2080,2.22044604925031e-16
2081,2.22044604925031e-16
2082,2.22044604925031e-16
2083,2.22044604925031e-16
2084,2.22044604925031e-16
2085,2.22044604925031e-16
2113,7.68526884072234e-05
2114,1.31470150119245e-05
2115,3.70926653660868e-06
2116,7.96771285036065e-07
2117,9.11079880323444e-08
2118,5.0641178190242e-09
2119,4.32965772920401e-10
2120,1.41675904051942e-09
2121,3.45472419061832e-09
2122,3.8212303977201e-09
2123,3.26012371784697e-10
2124,6.22681253960104e-12
2125,1.60178788070174e-13
2126,2.22044604925031e-16
2127,2.22044604925031e-16
2128,2.22044604925031e-16
2129,2.22044604925031e-16
2158,2.22044604925031e-16
2159,2.22044604925031e-16
2160,2.22044604925031e-16
2161,2.22044604925031e-16
2162,2.22044604925031e-16
2163,2.22044604925031e-16
2164,2.22044604925031e-16
2165,2.22044604925031e-16
2166,2.22044604925031e-16
2195,7.03090331757362e-05
2196,9.55999260855322e-06
2197,3.87649608630791e-06
2198,4.15758042759328e-07
2199,6.74595464127529e-09
2200,2.85673970509256e-10
2201,2.87005674356217e-10
2202,1.3456174852135e-09
2203,2.84885259098419e-09
2204,1.27122467937139e-09
2205,1.14512986974132e-10
2206,3.20751143498349e-12
2207,2.22044604925031e-16
2208,2.22044604925031e-16
2209,2.22044604925031e-16
2210,2.22044604925031e-16
2235,2.22044604925031e-16
2236,2.22044604925031e-16
2239,2.22044604925031e-16
2240,2.22044604925031e-16
2241,2.22044604925031e-16
2242,2.22044604925031e-16
2243,2.22044604925031e-16
2244,2.22044604925031e-16
2245,2.22044604925031e-16
2246,2.22044604925031e-16
2247,2.22044604925031e-16
2276,2.98818227314987e-05
2277,8.73127642170047e-06
2278,2.27518431780905e-06
2279,1.61313971996033e-07
2280,7.29560175401195e-10
2281,1.70444853229019e-11
2282,1.4081676151602e-10
2283,1.25336723575247e-09
2284,1.62032433487818e-09
2285,5.83557673591943e-10
2286,4.73419329825666e-11
2287,9.22783239119072e-13
2288,2.22044604925031e-16
2289,2.22044604925031e-16
2290,2.22044604925031e-16
2291,2.22044604925031e-16
2315,2.22044604925031e-16
2316,2.22044604925031e-16
2317,2.22044604925031e-16
2319,2.22044604925031e-16
2320,2.22044604925031e-16
2321,2.22044604925031e-16
2322,2.22044604925031e-16
2323,2.22044604925031e-16
2324,2.22044604925031e-16
2325,2.22044604925031e-16
2326,2.22044604925031e-16
2327,2.22044604925031e-16
2328,2.22044604925031e-16
2329,2.22044604925031e-16
2330,2.22044604925031e-16
2358,1.71930457741789e-05
2359,4.05550660580154e-06
2361,6.55669818670368e-09
2362,1.32633866168509e-10
2363,3.17974762259919e-11
2364,1.41175426937793e-10
2365,6.87716407574074e-10
2366,1.08179728776837e-09
2367,4.45517262767896e-10
2368,1.14771899226527e-11
2369,3.84166592593682e-13
2370,2.22044604925031e-16
2371,2.22044604925031e-16
2372,2.22044604925031e-16
2396,2.22044604925031e-16
2397,2.22044604925031e-16
2398,2.22044604925031e-16
2400,2.22044604925031e-16
2401,2.22044604925031e-16
2402,2.22044604925031e-16
2403,2.22044604925031e-16
2404,2.22044604925031e-16
2405,2.22044604925031e-16
2406,2.22044604925031e-16
2407,2.22044604925031e-16
2408,2.22044604925031e-16
2409,2.22044604925031e-16
2410,2.22044604925031e-16
2411,2.22044604925031e-16
2440,1.28738844947848e-05
2441,2.66672618973813e-06
2442,2.07858112583091e-07
2443,3.40408881931175e-10
2444,2.77463553955585e-11
2445,6.53271623620993e-11
2446,1.78414157435035e-10
2447,6.35312400206548e-10
2448,1.09356330031128e-09
2449,1.62703289748201e-10
2450,6.4864502307598e-12
2451,2.9063380202182e-13
