"HID","preds"
75,1.51998643284e-05
76,1.66287985310372e-06
77,2.39353289546532e-07
78,1.08468817551443e-07
79,2.01166258119454e-07
80,3.19545344270443e-06
81,0.000630292868128972
82,0.00225733059730155
156,1.27506918717843e-05
157,2.00352013571902e-06
158,1.75447558348314e-07
159,6.59233318144388e-08
160,4.42714987046987e-07
161,3.40747456906891e-05
162,0.000517936957043225
238,5.66488366220827e-05
239,5.3919185511198e-07
240,4.45244242253439e-08
241,3.87409561725564e-08
242,7.04773536317095e-07
243,0.000222680678651367
255,1.00429393087722e-12
320,1.72783381918117e-05
321,3.16831490324117e-07
322,2.0110308382881e-08
323,6.91908662612985e-08
324,5.7192229920145e-06
325,0.000139743611599612
335,2.04390081305319e-12
336,7.40302200453768e-13
401,2.94327319592671e-06
402,6.5277947325461e-08
403,2.89955674974027e-08
404,1.69124162594888e-07
405,1.43218806885896e-05
406,0.00120232213328829
410,4.44229882852193e-09
412,2.37016922900763e-10
416,4.15627849518288e-12
417,3.83544555376202e-12
418,8.05676670985601e-13
421,2.22044604925031e-16
483,2.95774248426361e-06
484,4.19204126966922e-08
485,6.65947130243124e-08
486,4.71459345929067e-06
487,0.000550021676663013
493,1.75202649264784e-09
494,7.92896599645817e-10
498,6.92369870290624e-12
499,3.81142740022554e-12
502,1.61727020316863e-13
503,2.22044604925031e-16
564,4.85579327707071e-05
565,9.04829028164361e-07
566,2.4986259815213e-07
567,4.12017168655573e-07
568,3.42680754245638e-05
573,5.06570943876972e-09
574,3.8455500305317e-09
575,8.21851992070988e-10
578,1.27846145353397e-11
579,1.14932161784284e-11
580,4.13347384975876e-12
582,3.47719452923373e-13
583,1.38133448111665e-13
645,5.43408402393576e-05
646,7.77460816638621e-07
647,8.29577624239977e-07
648,9.33461574394362e-06
649,0.001136172519867
654,1.06416718454662e-08
655,1.44843600724265e-08
656,6.69515704455582e-09
657,1.23735252012269e-09
660,2.11564450009428e-11
661,1.05530411737061e-11
663,1.41592905612665e-12
664,3.86908017991958e-13
665,2.22044604925031e-16
666,2.22044604925031e-16
727,4.35413568922341e-05
728,1.04109409689913e-05
729,1.13250942593378e-05
730,0.000250624336522576
736,4.94275582934488e-08
737,2.91507032988986e-08
738,4.6255246009624e-09
741,4.17330273743476e-11
742,2.83536895482697e-11
745,6.91061608243141e-13
746,2.08959440283839e-13
747,2.22044604925031e-16
748,2.22044604925031e-16
809,0.000138525044385504
810,7.91920952978442e-05
811,0.000270405611026781
816,2.6709506066204e-08
817,5.41695449846098e-08
818,2.31767363374796e-08
819,4.14117043018182e-09
822,4.93320658535188e-11
823,2.29632662910989e-11
825,1.87321920592992e-12
826,4.52209264308253e-13
827,2.22044604925031e-16
828,2.22044604925031e-16
829,2.22044604925031e-16
889,0.00116838588531695
890,0.000300769108264064
891,0.000400337548619562
892,0.00245299151530239
898,5.83191073479849e-08
899,5.53386482387389e-08
900,9.91574588007622e-09
901,1.97027606955295e-09
904,3.78134281951411e-11
905,1.32585134148542e-11
906,3.45974058588833e-12
907,9.05426050890635e-13
908,1.11643557791348e-13
909,2.22044604925031e-16
910,2.22044604925031e-16
911,2.22044604925031e-16
972,0.000628156871614052
973,0.00238003463567004
979,4.5833982361602e-08
980,1.30532045016863e-07
981,3.84946885079035e-08
982,6.35339092762119e-09
983,9.0469625469437e-10
985,9.09885583692956e-11
986,2.63502900571e-11
987,6.48523007666822e-12
988,1.71313639238178e-12
989,3.24255231559974e-13
990,2.22044604925031e-16
991,2.22044604925031e-16
992,2.22044604925031e-16
1060,7.66948217413831e-08
1061,7.61952378296333e-08
1062,1.92193465677308e-08
1063,4.09340498470118e-09
1064,1.04042167652568e-09
1065,3.45522770741323e-10
1066,6.87404725427838e-11
1067,1.48630127100951e-11
1068,2.44304725270664e-12
1069,6.47630703117542e-13
1070,2.22044604925031e-16
1071,2.22044604925031e-16
1072,2.22044604925031e-16
1073,2.22044604925031e-16
1141,6.37816249488579e-08
1142,1.0542822242117e-07
1143,3.93358548279058e-08
1144,8.85905656566734e-09
1145,1.9056407369478e-09
1146,7.72747644589332e-10
1147,2.43340048343608e-10
1148,3.38653891964603e-11
1149,5.12166859040914e-12
1150,8.25715529234667e-13
1151,1.78342841411734e-13
1152,2.22044604925031e-16
1153,2.22044604925031e-16
1154,2.22044604925031e-16
1155,2.22044604925031e-16
1188,2.22044604925031e-16
1222,9.64310474170183e-08
1223,8.05829053084287e-08
1224,6.97650380580646e-08
1225,2.14803343642034e-08
1226,5.90222167031046e-09
1227,1.80637715699249e-09
1228,6.84376385939955e-10
1229,1.22560964808624e-10
1230,1.45942782110202e-11
1231,1.42296720729985e-12
1232,2.52437602166523e-13
1233,2.22044604925031e-16
1234,2.22044604925031e-16
1235,2.22044604925031e-16
1236,2.22044604925031e-16
1237,2.22044604925031e-16
1270,2.22044604925031e-16
1303,8.09090202344431e-08
1304,7.57058499996416e-08
1305,4.44740916600979e-08
1306,1.08438503222735e-08
1307,3.72554412311902e-09
1308,1.36001783063298e-09
1309,4.6649193020515e-10
1310,5.27839414935275e-11
1311,3.41931240686159e-12
1312,3.73694764416039e-13
1313,2.22044604925031e-16
1314,2.22044604925031e-16
1315,2.22044604925031e-16
1316,2.22044604925031e-16
1317,2.22044604925031e-16
1348,2.22044604925031e-16
1350,2.22044604925031e-16
1384,1.61867256747992e-07
1385,7.18471764895714e-08
1386,5.75731280654025e-08
1387,2.58562863944071e-08
1388,8.00549252230177e-09
1389,2.9051138091378e-09
1390,9.84083688389818e-10
1391,2.71534150106354e-10
1392,1.50421953350872e-11
1393,8.29927039562189e-13
1394,2.22044604925031e-16
1395,2.22044604925031e-16
1396,2.22044604925031e-16
1397,2.22044604925031e-16
1398,2.22044604925031e-16
1428,2.22044604925031e-16
1429,2.22044604925031e-16
1432,2.22044604925031e-16
1466,7.81956295440483e-08
1467,9.60126401090276e-08
1468,5.2283131687782e-08
1469,1.93069114342625e-08
1470,7.99070365603122e-09
1471,2.50602954726162e-09
1472,7.12456788106667e-10
1473,8.27596790762541e-11
1474,3.08255534262362e-12
1475,1.55105532482954e-13
1476,2.22044604925031e-16
1477,2.22044604925031e-16
1478,2.22044604925031e-16
1479,2.22044604925031e-16
1480,2.22044604925031e-16
1509,2.22044604925031e-16
1510,2.22044604925031e-16
1511,2.22044604925031e-16
1512,2.22044604925031e-16
1513,2.22044604925031e-16
1514,2.22044604925031e-16
1541,0.000106325497771242
1547,8.39558604825677e-08
1548,8.86550313173533e-08
1549,3.50031796775789e-08
1550,1.30963074115109e-08
1551,5.29793114052608e-09
1552,1.66439059207353e-09
1553,3.50039223480726e-10
1554,2.02809643223616e-11
1555,4.2686816335095e-13
1556,2.22044604925031e-16
1557,2.22044604925031e-16
1558,2.22044604925031e-16
1559,2.22044604925031e-16
1560,2.22044604925031e-16
1590,2.22044604925031e-16
1591,2.22044604925031e-16
1592,2.22044604925031e-16
1593,2.22044604925031e-16
1594,2.22044604925031e-16
1623,0.000178349366995961
1624,2.63469786902235e-05
1628,1.56618741715295e-07
1629,1.17341359510377e-07
1630,7.00487259272566e-08
1631,2.88598384192126e-08
1632,1.30947955055928e-08
1633,4.76227982637663e-09
