"HID","preds"
75,4.79199318458501e-05
76,1.78052865519552e-06
77,2.11578037197754e-07
78,1.11262456171909e-07
79,2.42288942197051e-07
80,3.29059995679467e-06
81,0.000386008167875289
82,0.00699518151909336
156,2.45531994594826e-05
157,3.00957028146912e-06
158,1.69773811490382e-07
159,8.61430722369488e-08
160,5.75660812287349e-07
161,4.18313749703304e-05
162,0.000601627225854688
238,6.41300897225035e-05
239,5.8292903791859e-07
240,5.08893432310264e-08
241,6.43448755945102e-08
242,9.71219998523444e-07
243,0.000205939129783204
255,6.356642154084e-12
320,4.13650501273946e-05
321,4.05128347988694e-07
322,3.05067813105793e-08
323,1.22975092158243e-07
324,8.05167555196476e-06
325,0.000170174406053225
335,1.29312709564917e-11
336,3.60396175114341e-12
401,4.08662138823929e-06
402,8.11024273243012e-08
403,4.15220062226278e-08
404,2.50750012355629e-07
405,1.29943389574851e-05
406,0.00378025620694062
410,1.98391866546367e-08
412,1.50491407665379e-09
416,3.85276299711704e-11
417,1.15346361357406e-11
418,5.4744204442668e-12
421,2.66486160432574e-13
483,3.95635703156013e-06
484,3.97275543420722e-08
485,7.90543675533606e-08
486,4.03442819960958e-06
487,0.000756463790004713
493,6.80333333199265e-09
494,3.36261867874964e-09
498,2.91257112783566e-11
499,1.07871105190011e-11
502,5.70408545493741e-13
503,1.17410938115792e-13
564,0.000123664746802212
565,8.62993943289345e-07
566,2.44253071195599e-07
567,3.60673840697319e-07
568,3.1751122331441e-05
573,2.13690471897448e-08
574,1.04677970142018e-08
575,4.49604398018328e-09
578,9.1598192240144e-11
579,2.28927004158408e-11
580,1.2573128336201e-11
582,1.09636543279959e-12
583,2.69505869730607e-13
645,0.000204963213761482
646,7.57524387594804e-07
647,6.62987484251636e-07
648,7.15768309915842e-06
649,0.00145498801304533
654,4.36149749509373e-08
655,2.63989250534926e-08
656,1.51251239663053e-08
657,7.13869326398671e-09
660,6.69144323075014e-11
661,1.95716043965918e-11
663,3.80071530724215e-12
664,5.28155671815736e-13
665,9.8240897529709e-14
666,2.22044604925031e-16
727,0.000131509951724169
728,2.41784324151897e-05
729,1.46513550598223e-05
730,0.000304595570828767
736,9.86282058231063e-08
737,3.66231832394866e-08
738,1.48475601705647e-08
741,2.38043352686818e-10
742,4.54056903249295e-11
745,1.0776738427356e-12
746,2.28056059923725e-13
747,2.22044604925031e-16
748,2.22044604925031e-16
809,0.000505958780298544
810,0.000105897605540051
811,0.000496725834115101
816,1.05458662615949e-07
817,8.1284850309312e-08
818,3.57718326516434e-08
819,1.52807377418455e-08
822,1.24816002438021e-10
823,3.72531076366393e-11
825,2.44164360702564e-12
826,4.8260556785771e-13
827,2.22044604925031e-16
828,2.22044604925031e-16
829,2.22044604925031e-16
889,0.0184425156059319
890,0.00204651934813658
891,0.00194867635775092
892,0.00902973220146039
898,1.11608065222838e-07
899,6.28265510709699e-08
900,2.08183689462448e-08
901,7.06528324021732e-09
904,6.46669969537367e-11
905,1.97672751302597e-11
906,5.26912818044736e-12
907,9.96268151350216e-13
908,1.11974430260038e-13
909,2.22044604925031e-16
910,2.22044604925031e-16
911,2.22044604925031e-16
972,0.00615325334137613
973,0.0175845470899399
979,2.00957937738509e-07
980,1.44303177698959e-07
981,4.72342783623415e-08
982,1.22897965245352e-08
983,2.91884778871265e-09
985,1.9354693935197e-10
986,4.20919317068796e-11
987,9.19669846322987e-12
988,2.1081461648941e-12
989,3.79208044695198e-13
990,2.22044604925031e-16
991,2.22044604925031e-16
992,2.22044604925031e-16
1060,1.3698315142156e-07
1061,8.54504241007523e-08
1062,3.11126097364947e-08
1063,8.65158758912318e-09
1064,2.33043826375668e-09
1065,6.15022711421852e-10
1066,1.16686920170649e-10
1067,2.15306355068422e-11
1068,3.78543107454006e-12
1069,7.74066694742971e-13
1070,1.24019567106074e-13
1071,2.22044604925031e-16
1072,2.22044604925031e-16
1073,2.22044604925031e-16
1141,2.06973965093481e-07
1142,1.30247001704603e-07
1143,5.79240762889695e-08
1144,1.73840594205837e-08
1145,3.84785979756097e-09
1146,1.645062814146e-09
1147,3.9940686777733e-10
1148,5.51186319571962e-11
1149,8.36958392350973e-12
1150,1.39492837968789e-12
1151,2.60314992604788e-13
1152,2.22044604925031e-16
1153,2.22044604925031e-16
1154,2.22044604925031e-16
1155,2.22044604925031e-16
1188,2.22044604925031e-16
1222,3.60581225840217e-07
1223,1.66763557237733e-07
1224,9.34149017001866e-08
1225,4.31295754844582e-08
1226,1.33380458743731e-08
1227,3.17383582766613e-09
1228,1.09285947209337e-09
1229,2.05096581703112e-10
1230,2.55114735223105e-11
1231,2.86093736838207e-12
1232,4.67067754346992e-13
1233,1.08705008782901e-13
1234,2.22044604925031e-16
1235,2.22044604925031e-16
1236,2.22044604925031e-16
1237,2.22044604925031e-16
1270,2.22044604925031e-16
1303,2.00773345649816e-07
1304,1.14978649752802e-07
1305,7.37216136193757e-08
1306,2.67970325679431e-08
1307,8.0183335435521e-09
1308,2.75842327691675e-09
1309,8.3471248198828e-10
1310,9.70955067341409e-11
1311,7.4439567826698e-12
1312,9.17823704292781e-13
1313,1.5577677552406e-13
1314,2.22044604925031e-16
1315,2.22044604925031e-16
1316,2.22044604925031e-16
1317,2.22044604925031e-16
1348,2.22044604925031e-16
1350,2.22044604925031e-16
1384,5.75101628333642e-07
1385,1.21313376884511e-07
1386,9.51775899350229e-08
1387,5.55283047932362e-08
1388,1.85656936956119e-08
1389,5.83793549572446e-09
1390,1.87272920246761e-09
1391,5.53986392119905e-10
1392,3.71968511021375e-11
1393,2.42026633612787e-12
1394,2.06876280436592e-13
1395,2.22044604925031e-16
1396,2.22044604925031e-16
1397,1.08767817986062e-13
1398,1.11072684376939e-13
1428,2.22044604925031e-16
1429,2.22044604925031e-16
1432,2.22044604925031e-16
1466,2.64371609954951e-07
1467,1.31202563630138e-07
1468,9.99093685617572e-08
1469,4.67070655975344e-08
1470,1.99861823223551e-08
1471,5.76836519321523e-09
1472,1.57013504366173e-09
1473,2.12559758414824e-10
1474,9.59318279482815e-12
1475,5.70296128402548e-13
1476,9.60474393962198e-14
1477,2.22044604925031e-16
1478,2.22044604925031e-16
1479,2.06927519121318e-13
1480,2.22044604925031e-16
1509,2.22044604925031e-16
1510,2.22044604925031e-16
1511,2.22044604925031e-16
1512,2.22044604925031e-16
1513,2.22044604925031e-16
1514,2.22044604925031e-16
1541,0.000299297029083334
1547,1.42386213536492e-07
1548,1.27174483185761e-07
1549,7.33043077450516e-08
1550,3.27208816753904e-08
1551,1.29452353463855e-08
1552,3.77788148868111e-09
1553,8.86835068470351e-10
1554,7.06800730486223e-11
1555,1.96879219665664e-12
1556,1.13094339488327e-13
1557,2.22044604925031e-16
1558,2.22044604925031e-16
1559,1.23308487053815e-13
1560,2.37683876868242e-13
1590,2.22044604925031e-16
1591,2.22044604925031e-16
1592,2.22044604925031e-16
1593,2.22044604925031e-16
1594,2.22044604925031e-16
1623,0.000430680708741062
1624,8.06063123815489e-05
1628,5.76902984575784e-07
1629,2.03703336047962e-07
1630,1.2680296919191e-07
1631,6.89728252704406e-08
1632,3.41494266689152e-08
1633,1.27245617577798e-08
1634,3.24413511041144e-09
1635,3.10943239710962e-10
1636,2.11445527684775e-11
1637,5.18270655134694e-13
1638,2.22044604925031e-16
1639,2.22044604925031e-16
1640,2.22044604925031e-16
1641,2.64084071322212e-13
1642,1.03864858616328e-13
1671,2.22044604925031e-16
1672,2.22044604925031e-16
1673,2.22044604925031e-16
1674,2.22044604925031e-16
1675,2.22044604925031e-16
1676,2.22044604925031e-16
1709,1.14960060537253e-06
1710,3.39662974994877e-07
1711,1.59553509848037e-07
1712,6.81809512612005e-08
1713,3.78954703527821e-08
1714,1.9147437355035e-08
1715,9.2691477687169e-09
1716,1.78159806124233e-09
1717,1.08501855587895e-10
1718,3.83299856404849e-12
1719,1.6036583479723e-13
1720,2.22044604925031e-16
1721,2.22044604925031e-16
1722,1.29836266226882e-13
1723,4.60065331143763e-13
1753,2.22044604925031e-16
1754,2.22044604925031e-16
1755,2.22044604925031e-16
1756,2.22044604925031e-16
1757,2.22044604925031e-16
1758,2.22044604925031e-16
1786,0.000142889410222895
1787,9.58692360985337e-05
1790,1.45048143411897e-06
1791,3.34356286065472e-07
1792,1.55564500412042e-07
1793,4.85277915191997e-08
1794,2.40318727940678e-08
1795,1.31258498963437e-08
1796,5.02672589977624e-09
1797,6.75420158966326e-10
1798,2.82105526804409e-11
1799,8.51489199724004e-13
1800,2.22044604925031e-16
1801,2.22044604925031e-16
1802,2.22044604925031e-16
1803,1.90378351965316e-13
1804,1.62709073597376e-13
1833,2.22044604925031e-16
1834,2.22044604925031e-16
1835,2.22044604925031e-16
1836,2.22044604925031e-16
1837,2.22044604925031e-16
1838,2.22044604925031e-16
1839,2.22044604925031e-16
1868,0.000125909525240197
1869,3.97315681628499e-05
1872,1.09533410395003e-06
1873,2.10800175026266e-07
1874,6.12397569500371e-08
1875,2.06950595863975e-08
1876,1.50082370783819e-08
1877,1.55182790996976e-08
1878,2.9734130101525e-09
1879,2.87945128695316e-10
1880,4.89682422122237e-12
1881,2.91636420074994e-13
1882,2.22044604925031e-16
1883,2.22044604925031e-16
1884,2.22044604925031e-16
1885,1.82626033771794e-13
1914,2.22044604925031e-16
1915,2.22044604925031e-16
1916,2.22044604925031e-16
1917,2.22044604925031e-16
1918,2.22044604925031e-16
1919,2.22044604925031e-16
1920,2.22044604925031e-16
1950,0.000183580680892034
1953,2.73167511691242e-06
1954,6.28348112515984e-07
1955,1.08969125600678e-07
1956,1.05025583929823e-08
1957,6.96257209045036e-09
1958,7.35020387936769e-09
1959,6.3760214052939e-09
1960,1.77417872097882e-09
1961,8.88308239029999e-11
1962,1.78897451546484e-12
1963,2.22044604925031e-16
1964,2.22044604925031e-16
1965,2.22044604925031e-16
1966,2.22044604925031e-16
1967,1.13443060169637e-13
1996,2.22044604925031e-16
1997,2.22044604925031e-16
1998,2.22044604925031e-16
1999,2.22044604925031e-16
2000,2.22044604925031e-16
2001,2.22044604925031e-16
2002,2.22044604925031e-16
2031,0.000159624309475749
2032,2.73362477629287e-05
2034,2.19527988418727e-06
2035,3.12893988485276e-07
2036,3.61488742370165e-08
2037,2.58045893205527e-09
2038,4.29515458633722e-09
2039,5.94602084616327e-09
2040,3.78824672405307e-09
2041,8.86354751344858e-10
2042,2.50628106651492e-11
2043,5.23266578646338e-13
2044,2.22044604925031e-16
2045,2.22044604925031e-16
2046,2.22044604925031e-16
2047,2.22044604925031e-16
2076,2.22044604925031e-16
2077,2.22044604925031e-16
2078,2.22044604925031e-16
2079,2.22044604925031e-16
2080,2.22044604925031e-16
2081,2.22044604925031e-16
2082,2.22044604925031e-16
2083,2.22044604925031e-16
2084,2.22044604925031e-16
2085,2.22044604925031e-16
2113,7.68526884072204e-05
2114,1.31470150119238e-05
2115,3.70926653660848e-06
2116,7.96771285036014e-07
2117,9.1107988032338e-08
2118,5.06411781902376e-09
2119,4.32965772920361e-10
2120,1.41675904051929e-09
2121,3.45472419061803e-09
2122,3.82123039771977e-09
2123,3.26012371784665e-10
2124,6.22681253960038e-12
2125,1.60178788070153e-13
2126,2.22044604925031e-16
2127,2.22044604925031e-16
2128,2.22044604925031e-16
2129,2.22044604925031e-16
2158,2.22044604925031e-16
2159,2.22044604925031e-16
2160,2.22044604925031e-16
2161,2.22044604925031e-16
