"HID","preds"
75,1.51998643284016e-05
76,1.66287985310385e-06
77,2.39353289546549e-07
78,1.08468817551449e-07
79,2.01166258119466e-07
80,3.19545344270468e-06
81,0.000630292868129043
82,0.00225733059730185
156,1.27506918717856e-05
157,2.0035201357192e-06
158,1.75447558348326e-07
159,6.59233318144423e-08
160,4.42714987047019e-07
161,3.40747456906923e-05
162,0.000517936957043286
238,5.66488366220889e-05
239,5.39191855112021e-07
240,4.45244242253466e-08
241,3.87409561725585e-08
242,7.04773536317147e-07
243,0.000222680678651391
255,1.00429393087725e-12
320,1.72783381918136e-05
321,3.1683149032414e-07
322,2.0110308382882e-08
323,6.91908662613022e-08
324,5.71922299201498e-06
325,0.000139743611599627
335,2.04390081305324e-12
336,7.40302200453786e-13
401,2.94327319592697e-06
402,6.5277947325465e-08
403,2.89955674974043e-08
404,1.69124162594899e-07
405,1.43218806885909e-05
406,0.00120232213328844
410,4.44229882852234e-09
412,2.3701692290078e-10
416,4.15627849518305e-12
417,3.83544555376212e-12
418,8.05676670985618e-13
421,2.22044604925031e-16
483,2.95774248426388e-06
484,4.19204126966946e-08
485,6.65947130243162e-08
486,4.71459345929106e-06
487,0.000550021676663079
493,1.75202649264796e-09
494,7.9289659964587e-10
498,6.92369870290646e-12
499,3.81142740022563e-12
502,1.61727020316865e-13
503,2.22044604925031e-16
564,4.85579327707129e-05
565,9.04829028164435e-07
566,2.49862598152146e-07
567,4.12017168655601e-07
568,3.42680754245671e-05
573,5.06570943877009e-09
574,3.84555003053196e-09
575,8.2185199207104e-10
578,1.27846145353402e-11
579,1.14932161784287e-11
580,4.13347384975885e-12
582,3.47719452923375e-13
583,1.38133448111667e-13
645,5.43408402393638e-05
646,7.77460816638686e-07
647,8.29577624240041e-07
648,9.33461574394446e-06
649,0.00113617251986714
654,1.06416718454671e-08
655,1.44843600724275e-08
656,6.69515704455625e-09
657,1.23735252012277e-09
660,2.11564450009434e-11
661,1.05530411737062e-11
663,1.41592905612667e-12
664,3.86908017991958e-13
665,2.22044604925031e-16
666,2.22044604925031e-16
727,4.3541356892239e-05
728,1.04109409689923e-05
729,1.13250942593389e-05
730,0.000250624336522605
736,4.94275582934526e-08
737,2.91507032989006e-08
738,4.62552460096268e-09
741,4.17330273743491e-11
742,2.83536895482704e-11
745,6.91061608243141e-13
746,2.08959440283838e-13
747,2.22044604925031e-16
748,2.22044604925031e-16
809,0.00013852504438552
810,7.91920952978518e-05
811,0.000270405611026813
816,2.67095060662063e-08
817,5.41695449846141e-08
818,2.31767363374809e-08
819,4.14117043018204e-09
822,4.93320658535201e-11
823,2.29632662910993e-11
825,1.87321920592993e-12
826,4.52209264308248e-13
827,2.22044604925031e-16
828,2.22044604925031e-16
829,2.22044604925031e-16
889,0.00116838588531711
890,0.000300769108264098
891,0.000400337548619608
892,0.00245299151530272
898,5.83191073479893e-08
899,5.53386482387424e-08
900,9.91574588007679e-09
901,1.97027606955307e-09
904,3.78134281951417e-11
905,1.32585134148544e-11
906,3.45974058588831e-12
907,9.05426050890635e-13
908,1.11643557791346e-13
909,2.22044604925031e-16
910,2.22044604925031e-16
911,2.22044604925031e-16
972,0.000628156871614128
973,0.00238003463567035
979,4.58339823616059e-08
980,1.30532045016873e-07
981,3.84946885079057e-08
982,6.35339092762149e-09
983,9.04696254694412e-10
985,9.09885583692979e-11
986,2.63502900571005e-11
987,6.48523007666824e-12
988,1.71313639238179e-12
989,3.24255231559974e-13
990,2.22044604925031e-16
991,2.22044604925031e-16
992,2.22044604925031e-16
1060,7.66948217413889e-08
1061,7.61952378296382e-08
1062,1.92193465677318e-08
1063,4.09340498470136e-09
1064,1.04042167652572e-09
1065,3.45522770741334e-10
1066,6.8740472542785e-11
1067,1.48630127100953e-11
1068,2.44304725270665e-12
1069,6.47630703117538e-13
1070,2.22044604925031e-16
1071,2.22044604925031e-16
1072,2.22044604925031e-16
1073,2.22044604925031e-16
1141,6.37816249488629e-08
1142,1.05428222421177e-07
1143,3.9335854827908e-08
1144,8.85905656566778e-09
1145,1.90564073694788e-09
1146,7.7274764458936e-10
1147,2.43340048343616e-10
1148,3.38653891964606e-11
1149,5.12166859040914e-12
1150,8.25715529234655e-13
1151,1.78342841411732e-13
1152,2.22044604925031e-16
1153,2.22044604925031e-16
1154,2.22044604925031e-16
1155,2.22044604925031e-16
1188,2.22044604925031e-16
1222,9.64310474170272e-08
1223,8.05829053084348e-08
1224,6.97650380580688e-08
1225,2.14803343642045e-08
1226,5.90222167031071e-09
1227,1.80637715699256e-09
1228,6.84376385939984e-10
1229,1.22560964808626e-10
1230,1.45942782110204e-11
1231,1.42296720729984e-12
1232,2.5243760216652e-13
1233,2.22044604925031e-16
1234,2.22044604925031e-16
1235,2.22044604925031e-16
1236,2.22044604925031e-16
1237,2.22044604925031e-16
1270,2.22044604925031e-16
1303,8.090902023445e-08
