"HID","preds"
75,1.42570288051681e-08
76,8.79935208689046e-08
77,5.15815026280509e-08
78,5.62527402073998e-08
79,2.92586484270955e-07
80,8.66847269434996e-06
81,0.00212992177348627
82,0.000492315396033804
156,2.4440240966472e-08
157,2.72829103511634e-08
158,3.62916672384913e-08
159,6.32331366220388e-08
160,9.44501477501969e-07
161,0.00010792951563055
162,0.000851716962537435
238,2.37016777673185e-08
239,2.76762056869506e-08
240,2.05161273038411e-08
241,5.54489494670876e-08
242,2.33652160146263e-06
243,0.00129981781038791
255,1.99361441619484e-07
320,2.57304274042665e-08
321,1.7849448864205e-08
322,1.40223476548474e-08
323,1.66112892670257e-07
324,2.85367248661257e-05
325,0.000456352354136872
335,7.08147874228323e-07
336,6.17826447480729e-08
401,4.56250604628009e-08
402,1.81226454871642e-08
403,3.43160731283239e-08
404,6.68639343946376e-07
405,0.000103727134393994
406,0.00119001244941237
410,0.999722482049209
412,0.0536165599535548
416,1.14957095529959e-06
417,1.1715686035337e-07
418,2.7734857216815e-08
421,2.18832539841207e-10
483,4.72784186087239e-08
484,2.05883431225563e-08
485,1.91019863987185e-07
486,2.17699691499007e-05
487,0.000754873824300729
493,0.0395145137893132
494,0.00115223709118256
498,4.05194316251952e-07
499,8.26032710811551e-08
502,2.18419962613443e-10
503,4.34432405138442e-11
564,4.18009085603961e-08
565,4.65106158790267e-08
566,1.27056882734268e-07
567,1.64859323359597e-06
568,8.89862836154001e-05
573,0.374959493062159
574,0.000735757118906076
575,7.03121221530103e-05
578,8.68317723843002e-07
579,1.95940510028769e-07
580,2.86766563868075e-08
582,2.98341018042526e-10
583,3.0268179701725e-11
645,1.01480792011928e-07
646,8.75761282744762e-08
647,1.00970089833838e-06
648,4.46646470688065e-05
649,0.000544636403051624
654,0.798043840894802
655,0.00144750279302507
656,8.81987122177411e-05
657,1.35954910107376e-05
660,3.00024367983637e-07
661,7.99065891683317e-08
663,8.12840509149853e-10
664,3.68130663498193e-11
665,4.98132295755128e-12
666,3.1442616986807e-12
727,5.0977419105271e-07
728,5.75559013232781e-07
729,4.71236723950503e-06
730,6.01686308651823e-05
736,0.00265116031594422
737,0.00010593713127125
738,1.94305592008478e-05
741,5.90456645349112e-07
742,1.87903366929325e-07
745,6.79323239732324e-11
746,7.77986062187442e-12
747,1.11042675236482e-12
748,1.05761375600311e-12
809,2.31399646018271e-06
810,4.72013922238812e-05
811,2.21323259908144e-05
816,0.86844655816699
817,0.00119219568322725
818,3.77760391337569e-05
819,1.01427486412042e-05
822,2.16107543394354e-07
823,4.91477174788077e-08
825,1.21403903064192e-10
826,1.07952635427507e-11
827,1.06378174838902e-12
828,3.76207619332011e-13
829,7.43100363220918e-13
889,1.18363679998103e-06
890,2.43058491777788e-06
891,6.68679020660442e-06
892,3.32160314124265e-05
898,0.0151799198349531
899,6.71556866934889e-05
900,2.07764842120473e-05
901,1.03807731575469e-05
904,6.86535834302515e-08
905,1.11829360678735e-08
906,4.13026261204e-10
907,2.41004756055218e-11
908,1.34433310246702e-12
909,2.42971545526558e-13
910,1.06779782240326e-13
911,7.62685462948439e-13
972,2.63925607198313e-06
973,7.68821874981844e-06
979,0.798878760267844
980,0.000511182976132162
981,5.80889490972848e-05
982,1.95290484612866e-05
983,2.5489477009448e-06
985,1.21853336999301e-07
986,2.02709379763866e-08
987,8.54325315586884e-10
988,5.65928766753886e-11
989,3.27640143032032e-12
990,3.58646530892331e-13
991,2.22044604925031e-16
992,2.22044604925031e-16
1060,0.00586140184376803
1061,0.000140206905742517
1062,4.26170952514656e-05
1063,9.99686368610938e-06
1064,1.16604312833485e-06
1065,1.48559312668105e-07
1066,5.3324968672091e-08
1067,5.75151132444618e-09
1068,1.29549253399312e-10
1069,7.39837755616126e-12
1070,4.15079149435092e-13
1071,9.54243519247075e-14
1072,2.22044604925031e-16
1073,1.09926047552153e-13
1141,0.42564899529247
1142,0.000509896071637753
1143,9.04238039253118e-05
1144,2.17178073564002e-05
1145,1.99575356173171e-06
1146,4.53633544247912e-07
1147,1.13151542473067e-07
1148,1.45279993812277e-08
1149,5.23011979765867e-10
1150,1.64765585882644e-11
1151,1.09309090317553e-12
1152,1.18517792829976e-13
1153,2.22044604925031e-16
1154,2.22044604925031e-16
1155,1.6180291005683e-13
1188,2.22044604925031e-16
1222,0.994346977880343
1223,0.0124630407219861
1224,0.000307500016360303
1225,6.85766363895758e-05
1226,1.2254203303805e-05
1227,9.80830732534751e-07
1228,2.14712615600257e-07
1229,6.06994406563639e-08
1230,3.59534759718724e-09
1231,6.9614057183997e-11
1232,2.09652856953611e-12
1233,1.55729170246024e-13
1234,2.22044604925031e-16
1235,2.22044604925031e-16
1236,2.22044604925031e-16
1237,2.29557234798469e-13
1270,2.22044604925031e-16
1303,0.276932578182506
1304,0.00149424344995371
