"HID","preds"
75,1.42570288051693e-08
76,8.79935208689115e-08
77,5.15815026280546e-08
78,5.62527402074034e-08
79,2.92586484270976e-07
80,8.6684726943507e-06
81,0.00212992177348652
82,0.000492315396033867
156,2.44402409664741e-08
157,2.72829103511654e-08
158,3.62916672384936e-08
159,6.32331366220424e-08
160,9.44501477502043e-07
161,0.000107929515630561
162,0.000851716962537532
238,2.37016777673208e-08
239,2.76762056869525e-08
240,2.05161273038423e-08
241,5.54489494670909e-08
242,2.33652160146281e-06
243,0.00129981781038807
255,1.99361441619501e-07
320,2.57304274042687e-08
321,1.78494488642062e-08
322,1.40223476548482e-08
323,1.6611289267027e-07
324,2.85367248661282e-05
325,0.000456352354136924
335,7.08147874228383e-07
336,6.17826447480778e-08
401,4.56250604628048e-08
402,1.81226454871654e-08
403,3.43160731283257e-08
404,6.68639343946435e-07
405,0.000103727134394005
406,0.00119001244941251
410,0.999722482049209
412,0.0536165599535631
416,1.14957095529971e-06
417,1.17156860353381e-07
418,2.7734857216817e-08
421,2.18832539841215e-10
483,4.72784186087277e-08
484,2.05883431225576e-08
485,1.91019863987198e-07
486,2.17699691499028e-05
487,0.00075487382430082
493,0.0395145137893191
494,0.00115223709118269
498,4.05194316251986e-07
499,8.26032710811598e-08
502,2.18419962613452e-10
503,4.3443240513847e-11
564,4.18009085604003e-08
565,4.65106158790304e-08
566,1.27056882734278e-07
567,1.6485932335961e-06
568,8.89862836154093e-05
573,0.374959493062191
574,0.00073575711890616
575,7.03121221530178e-05
578,8.68317723843076e-07
579,1.9594051002878e-07
580,2.86766563868091e-08
582,2.98341018042541e-10
583,3.0268179701726e-11
645,1.01480792011938e-07
646,8.75761282744837e-08
647,1.00970089833846e-06
648,4.46646470688111e-05
649,0.000544636403051686
654,0.798043840894825
655,0.00144750279302527
656,8.81987122177511e-05
657,1.35954910107392e-05
660,3.00024367983658e-07
661,7.99065891683368e-08
663,8.12840509149876e-10
664,3.68130663498197e-11
665,4.98132295755135e-12
666,3.14426169868079e-12
727,5.0977419105276e-07
728,5.7555901323284e-07
729,4.71236723950546e-06
730,6.01686308651887e-05
736,0.00265116031594451
737,0.000105937131271262
738,1.94305592008498e-05
741,5.90456645349154e-07
742,1.87903366929335e-07
745,6.79323239732346e-11
746,7.77986062187445e-12
747,1.11042675236482e-12
748,1.05761375600314e-12
809,2.31399646018294e-06
810,4.72013922238864e-05
811,2.21323259908167e-05
816,0.868446558167008
817,0.00119219568322738
818,3.77760391337601e-05
819,1.01427486412053e-05
822,2.16107543394369e-07
823,4.914771747881e-08
825,1.21403903064197e-10
826,1.07952635427508e-11
827,1.063781748389e-12
828,3.76207619332012e-13
829,7.43100363220944e-13
889,1.18363679998116e-06
890,2.43058491777817e-06
891,6.68679020660516e-06
892,3.32160314124307e-05
898,0.0151799198349553
899,6.71556866934955e-05
900,2.0776484212049e-05
901,1.03807731575479e-05
904,6.86535834302559e-08
905,1.1182936067874e-08
906,4.13026261204013e-10
907,2.41004756055223e-11
908,1.34433310246703e-12
909,2.4297154552656e-13
910,1.06779782240326e-13
911,7.62685462948445e-13
972,2.6392560719834e-06
973,7.6882187498192e-06
979,0.798878760267871
980,0.000511182976132217
981,5.80889490972901e-05
982,1.95290484612884e-05
983,2.54894770094504e-06
985,1.21853336999311e-07
986,2.02709379763875e-08
987,8.54325315586906e-10
988,5.65928766753902e-11
989,3.2764014303203e-12
990,3.58646530892325e-13
991,2.22044604925031e-16
992,2.22044604925031e-16
1060,0.00586140184376874
1061,0.000140206905742531
1062,4.26170952514695e-05
1063,9.9968636861103e-06
1064,1.16604312833494e-06
1065,1.48559312668114e-07
1066,5.33249686720937e-08
1067,5.75151132444639e-09
1068,1.29549253399314e-10
1069,7.39837755616124e-12
1070,4.15079149435096e-13
1071,9.54243519247068e-14
1072,2.22044604925031e-16
1073,1.09926047552155e-13
1141,0.425648995292508
1142,0.000509896071637814
1143,9.04238039253207e-05
1144,2.17178073564019e-05
1145,1.99575356173188e-06
1146,4.5363354424795e-07
1147,1.13151542473075e-07
1148,1.45279993812284e-08
1149,5.23011979765875e-10
1150,1.64765585882644e-11
1151,1.09309090317553e-12
1152,1.18517792829976e-13
1153,2.22044604925031e-16
1154,2.22044604925031e-16
1155,1.61802910056838e-13
1188,2.22044604925031e-16
1222,0.994346977880344
1223,0.0124630407219874
1224,0.000307500016360336
1225,6.85766363895827e-05
1226,1.22542033038061e-05
1227,9.80830732534813e-07
1228,2.14712615600268e-07
1229,6.0699440656368e-08
1230,3.59534759718739e-09
1231,6.96140571839987e-11
1232,2.09652856953611e-12
1233,1.55729170246023e-13
1234,2.22044604925031e-16
