HID	Elevation_Mean
1	-33.752630
2	-66.575667
3	-44.029718
4	-40.432601
5	-35.996579
6	-32.173418
7	-35.024392
8	-34.147920
9	-27.411247
10	-38.056663
11	-47.695816
12	-44.041750
13	-42.025850
14	-47.748217
15	-57.177429
16	-51.692598
17	-47.291423
18	-38.611101
19	-47.569238
20	-52.474754
21	-70.673442
22	-134.608077
23	-209.568640
24	-221.709659
25	-826.813377
26	-1920.416655
27	-1062.755779
28	-1491.956076
29	-3013.521947
30	-3269.289695
31	-3300.520512
32	-3264.307225
33	-3429.723952
34	-3108.140568
35	-2113.154229
36	-1850.693283
37	-2294.435144
38	-3896.969437
39	-3841.121424
40	-3720.628736
41	-2826.510695
42	-4084.634182
43	-4175.997548
44	-4286.310183
45	-4327.983378
46	-4298.775917
47	-4016.000197
48	-3491.974921
49	-3547.947444
50	-3691.377487
51	-3710.044362
52	-929.880140
53	-1748.242419
54	-1374.291348
55	-191.603408
56	86.188729
57	-106.612215
58	-460.001293
59	-1626.393382
60	-2084.541134
61	-2319.923769
62	-2350.966217
63	-2069.592221
64	-1908.626041
65	-2094.929924
66	-2431.607846
67	-2723.349474
68	-2909.415996
69	-2805.430170
70	-232.686021
71	-152.230629
72	-333.021175
73	-211.739276
74	-68.545367
75	209.053782
76	251.397378
77	824.038518
78	821.042340
79	619.827110
80	362.009935
81	183.883778
82	55.671452
83	-49.401531
84	-38.915691
85	-31.599539
86	-31.195197
87	-29.260761
88	-30.235215
89	-29.379555
90	-32.270743
91	-36.902389
92	-11.443157
93	-35.870368
94	-35.112733
95	-52.043760
96	-50.185210
97	-48.334311
98	-45.335765
99	-47.466400
100	-48.399076
101	-54.155512
102	-80.282307
103	-206.699923
104	-268.369492
105	-212.170788
106	-1096.803029
107	-721.736332
108	-384.035717
109	-1956.251038
110	-3022.426467
111	-3308.171496
112	-3268.217786
113	-3545.323543
114	-3578.503740
115	-3082.429466
116	-2202.693104
117	-1834.908565
118	-3034.943839
119	-3768.437125
120	-3135.536779
121	-3742.154522
122	-2009.839230
123	-4135.450309
124	-4222.379580
125	-4323.287896
126	-4289.188541
127	-4212.468471
128	-3892.404738
129	-3690.448136
130	-3454.959832
131	-3794.747713
132	-3091.669902
133	-845.901203
134	-1323.537905
135	-697.592947
136	-165.972944
137	-159.323380
138	-484.836596
139	-1721.723524
140	-2162.956390
141	-2341.441435
142	-2502.671613
143	-2328.768828
144	-2144.362622
145	-2143.189228
146	-2384.076483
147	-2640.502885
148	-2854.542568
149	-2970.257586
150	-2153.614464
151	-251.602978
152	-310.383245
153	-283.468021
154	-281.704806
155	-153.653705
156	253.521404
157	387.582635
158	880.392059
159	814.911454
160	434.842475
161	320.852532
162	43.686271
163	-120.530687
164	-64.225914
165	-41.345556
166	-25.431741
167	-27.731150
168	-27.823434
169	-25.927919
170	-28.573091
171	-28.005884
172	-30.564951
173	-24.516726
174	6.891158
175	-29.641218
176	-41.772129
177	-45.251610
178	-44.711121
179	-44.158878
180	-48.379374
181	-46.519610
182	-48.470096
183	-59.858158
184	-123.890846
185	-309.809573
186	-354.635620
187	-336.661600
188	-783.784938
189	-537.166152
190	-513.019854
191	-2372.688352
192	-3238.959078
193	-3256.696252
194	-3582.221429
195	-3663.755390
196	-3316.334209
197	-2427.924660
198	-2002.551922
199	-2434.904668
200	-3734.726679
201	-3379.077370
202	-3152.155095
203	-3840.288847
204	-2323.450981
205	-4066.004478
206	-4281.780044
207	-4304.333055
208	-4257.154569
209	-4181.179374
210	-3781.378151
211	-3811.974771
212	-3412.326289
213	-3987.276782
214	-1770.494157
215	-730.770067
216	-871.878819
217	-560.140946
218	-547.308652
219	-1465.549106
220	-2023.420153
221	-2218.847482
222	-2298.677298
223	-2567.636800
224	-2619.425352
225	-2398.852956
226	-2260.836276
227	-2416.321850
228	-2609.973554
229	-2775.202677
230	-2923.182273
231	-3007.001773
232	-1553.773055
233	-283.906098
234	-305.220114
235	-327.470386
236	-269.919849
237	-172.959290
238	78.554536
239	747.640045
240	1073.374403
241	795.301620
242	501.302412
243	227.854782
244	-47.323756
245	-69.381514
246	-46.993825
247	-31.420112
248	33.090582
249	-24.108971
250	-21.908897
251	-26.486840
252	-26.533616
253	-29.978647
254	-16.516768
255	135.899817
256	-18.868452
257	-33.302330
258	-48.780296
259	23.418936
260	-36.507376
261	-46.357942
262	-42.246774
263	-45.173372
264	-52.271457
265	-67.629208
266	-192.770673
267	-440.766547
268	-523.104884
269	-706.651071
270	-605.698730
271	-389.887162
272	-1017.572956
273	-2807.618295
274	-3114.653370
275	-3268.527846
276	-3807.900980
277	-3725.401045
278	-2660.058980
279	-1731.139761
280	-2060.167900
281	-3052.830170
282	-3559.974358
283	-2885.166683
284	-3604.002164
285	-2787.464986
286	-2593.748655
287	-4125.762330
288	-4258.725836
289	-4311.640488
290	-4207.514078
291	-4158.056618
292	-3575.894275
293	-3405.499390
294	-3512.075548
295	-3718.188857
296	-980.664604
297	-762.147194
298	-644.693252
299	-1165.708249
300	-1501.475743
301	-2571.448738
302	-2625.054610
303	-2388.900058
304	-2621.751168
305	-2725.338976
306	-2430.714525
307	-2383.859389
308	-2438.626994
309	-2658.402805
310	-2783.215819
311	-2902.955868
312	-3028.151913
313	-2816.559064
314	-1504.064696
315	-371.435232
316	-253.390021
317	-352.404504
318	-236.452783
319	-135.824335
320	367.471624
321	1204.850815
322	904.364800
323	774.393449
324	501.138082
325	310.747746
326	-60.918317
327	-38.523221
328	10.920918
329	-16.906975
330	-11.283609
331	-15.005349
332	-21.037738
333	-25.016901
334	-24.191925
335	138.782361
336	136.022492
337	-20.303260
338	-37.547704
339	35.277614
340	44.100067
341	-36.208301
342	-43.441230
343	-41.023280
344	-43.036901
345	-60.468266
346	-124.410506
347	-379.425452
348	-754.053163
349	-836.910631
350	-716.600213
351	-397.025766
352	-578.483079
353	-1928.701185
354	-3374.458521
355	-3106.021545
356	-3808.718625
357	-3770.919232
358	-3108.405526
359	-2329.553621
360	-2077.295110
361	-2362.771725
362	-3169.530664
363	-3233.634198
364	-3158.512161
365	-3548.351305
366	-1640.167230
367	-2854.176848
368	-4059.813719
369	-4270.513884
370	-4255.758788
371	-4151.357396
372	-4137.694448
373	-3555.113212
374	-3051.775506
375	-3495.184216
376	-2806.331031
377	-798.783090
378	-756.036567
379	-1401.714091
380	-1748.440146
381	-2217.031677
382	-2365.137257
383	-2454.904985
384	-2575.353363
385	-2599.491448
386	-2307.105550
387	-2360.331430
388	-2454.346994
389	-2679.125311
390	-2835.406135
391	-2931.194152
392	-3054.984525
393	-3023.393570
394	-2414.227437
395	-1104.147690
396	-304.919756
397	-381.042293
398	-252.092976
399	-286.941086
400	-6.878257
401	670.564644
402	1142.758655
403	1116.428789
404	847.368548
405	622.320633
406	54.195549
407	-66.930711
408	-46.592238
409	-26.247534
410	75.415945
411	-14.307334
412	30.433811
413	-8.980011
414	-18.268478
415	-18.873814
416	177.361611
417	184.486107
418	11.170159
419	-27.925935
420	-22.844092
421	199.143521
422	-23.277931
423	-37.693138
424	-40.771271
425	-40.516578
426	-48.070700
427	-81.628370
428	-252.675873
429	-1122.739832
430	-1767.010283
431	-1431.181941
432	-1475.897576
433	-1418.998011
434	-818.961367
435	-3314.179739
436	-3229.637246
437	-3450.095023
438	-3779.311301
439	-3701.467055
440	-2992.266157
441	-2282.463518
442	-2115.143102
443	-2659.218500
444	-3040.893579
445	-3043.428255
446	-3292.093918
447	-3194.428755
448	-1638.802108
449	-3162.992634
450	-4022.505200
451	-4261.020011
452	-4192.098828
453	-4051.087917
454	-3918.689600
455	-2929.192746
456	-3029.453814
457	-3538.637985
458	-2144.934135
459	-1071.727922
460	-1542.813105
461	-2988.916157
462	-2379.414012
463	-2617.666014
464	-2455.772861
465	-2456.511210
466	-2618.238713
467	-2627.237646
468	-2719.485066
469	-2503.827096
470	-2637.865984
471	-2884.469790
472	-3003.634066
473	-3090.365323
474	-3128.882796
475	-2737.308505
476	-1775.352211
477	-864.382393
478	-373.790387
479	-353.241279
480	-217.837470
481	-222.153778
482	81.051707
