HID,CDD_present,CDD_future,outlier_marker
31165,256.90243,389.850306,f
33779,385.091032,421.076029,pf
33860,368.278155,408.247745,pf
33941,461.7943,556.407347,pf
34022,533.456267,684.869938,pf
34103,487.049991,618.394172,pf
34184,611.201125,862.588726,pf
34185,350.487457,381.449748,f
34265,793.169115,1291.360587,pf
34266,472.910022,596.744807,pf
34267,343.34792,375.216715,f
34346,697.257357,984.157283,pf
34347,436.592017,516.544673,pf
34427,795.106777,1228.234755,pf
34428,483.705581,587.65553,pf
34508,958.628882,1565.329564,pf
34509,639.201388,912.490988,pf
34510,475.08985,615.677459,pf
34589,771.311001,1166.705141,pf
34590,562.969983,740.409092,pf
34670,976.466157,1419.492745,pf
34671,707.068859,950.816477,pf
34672,432.783306,505.287869,pf
34751,1059.278265,1435.15914,pf
34752,838.339354,1168.152399,pf
34753,649.333457,871.618657,pf
34832,964.045965,1357.438745,pf
34833,743.2383,1017.724036,pf
34834,460.558848,525.00027,pf
34913,1063.533576,1376.427732,pf
34914,812.068124,1251.941709,pf
34915,612.378312,751.749826,pf
34916,432.382357,474.838575,pf
34994,1076.407365,1287.078721,pf
34995,899.330796,1305.990656,pf
34996,746.808959,1074.398619,pf
34997,515.567306,599.96783,pf
35075,1032.170977,1280.283496,pf
35076,815.124852,1362.529084,pf
35077,669.544467,775.380503,pf
35078,512.315376,611.396907,pf
35156,1085.825751,1226.168204,pf
35157,955.096373,1246.280812,pf
35158,812.189303,1053.676607,pf
35159,611.343745,715.603792,pf
35237,1041.674142,1120.190051,pf
35238,995.858564,1150.588086,pf
35239,887.782085,1150.106358,pf
35240,815.895229,856.36988,pf
35241,470.444247,498.787257,pf
35318,979.311127,1082.848212,pf
35319,1009.25635,1083.520741,pf
35320,805.710008,1043.934522,pf
35321,638.951312,815.851417,pf
35322,455.039083,467.339922,pf
35399,947.771667,971.080212,pf
35400,983.117468,1115.33668,pf
35401,855.815256,1098.94507,pf
35402,736.571243,971.230423,pf
35403,537.632153,557.508658,pf
35480,890.052337,888.535178,pf
35481,945.577127,1111.129332,pf
35482,923.258476,1113.154157,pf
35483,788.372901,1234.751882,pf
35484,643.722295,803.613185,pf
35485,513.121003,584.614009,pf
35561,878.972013,926.530194,pf
35562,921.839953,1113.226633,pf
35563,840.07552,1176.230846,pf
35564,734.318255,950.185832,pf
35565,586.118878,712.094468,pf
35642,813.996541,840.797698,pf
35643,913.910097,1050.380864,pf
35644,853.613988,1147.002222,pf
35645,817.064804,1105.32995,pf
