"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b_Intercept","2,731","1","-23.6","0","1.8","-27","-24.8","-23.6","-22.3","-20.2"
"b_BIO03_Mean","1,788","1","-0.1","0","0","-0.1","-0.1","-0.1","-0.1","-0.1"
"b_TN10P_IDW1N10","2,711","1","1.1","0","0.2","0.8","1","1.1","1.2","1.4"
"b_GSL_IDW1N10","2,285","1","0","0","0","0","0","0","0","0"
"b_TNX_IDW1N10","2,499","1","0.2","0","0","0.1","0.1","0.2","0.2","0.2"
"b_ID_IDW1N10","2,476","1","-0.1","0","0","-0.1","-0.1","-0.1","-0.1","-0.1"
"b_BIO14_Mean","2,432","1","0","0","0","0","0","0","0","0"
"b_BIO18_Mean","4,000","1","0","0","0","0","0","0","0","0"
"b_CWD_IDW1N10","1,901","1","0.1","0","0","0","0","0.1","0.1","0.1"
"b_RX1DAY_IDW1N10","2,924","1","0.1","0","0","0.1","0.1","0.1","0.1","0.1"
"b_WSDI_IDW1N10","2,983","1","0.3","0","0","0.2","0.3","0.3","0.3","0.3"
"lprior","2,720","1","-36.8","0","0.1","-37.1","-36.9","-36.8","-36.8","-36.6"
"log-posterior","1,522","1","-1493","0.1","2.3","-1498.4","-1494.3","-1492.7","-1491.4","-1489.4"
