"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b_Intercept","2,229","1","-11.8","0","0.7","-13.1","-12.2","-11.8","-11.3","-10.5"
"b_BIO03_Mean","2,374","1","-8.7","0","0.6","-10","-9.1","-8.7","-8.3","-7.5"
"b_TN10P_IDW1N10","3,309","1","3.6","0","0.5","2.5","3.2","3.6","4","4.7"
"b_GSL_IDW1N10","2,081","1","5","0","0.8","3.3","4.4","5","5.5","6.7"
"b_TNX_IDW1N10","2,626","1","4","0","0.6","2.8","3.6","4","4.4","5.1"
"b_ID_IDW1N10","2,229","1","-15.4","0","1.6","-18.6","-16.5","-15.4","-14.3","-12.5"
"b_BIO14_Mean","2,498","1","-1.8","0","0.7","-3","-2.2","-1.8","-1.3","-0.5"
"b_BIO18_Mean","2,249","1","10.7","0","1.6","7.7","9.7","10.7","11.8","13.8"
"b_CWD_IDW1N10","2,610","1","4.8","0","0.8","3.4","4.3","4.8","5.3","6.3"
"b_RX1DAY_IDW1N10","3,049","1","16.6","0","0.8","15","16","16.6","17.1","18.1"
"b_WSDI_IDW1N10","3,263","1","4.2","0","0.3","3.6","4","4.2","4.4","4.8"
"lprior","2,779","1","-40.3","0","0.3","-41","-40.6","-40.3","-40.1","-39.8"
"log-posterior","1,673","1","-1496.6","0.1","2.3","-1502","-1497.9","-1496.2","-1494.9","-1492.9"
