"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b_Intercept","2,319","1","-5","0","0.5","-5.9","-5.3","-4.9","-4.6","-4"
"b_BIO08_Mean","1,777","1","-3.1","0","0.5","-4.1","-3.5","-3.1","-2.8","-2.1"
"b_TXX_IDW1N10","1,891","1","8.4","0","0.6","7.1","8","8.4","8.9","9.6"
"b_BIO02_Mean","2,670","1","-5.3","0","0.4","-6.1","-5.5","-5.3","-5","-4.5"
"b_TN90P_IDW1N10","2,582","1","-3.4","0","0.4","-4.2","-3.7","-3.4","-3.1","-2.6"
"b_ID_IDW1N10","1,852","1","-18","0","1.1","-20.3","-18.8","-18","-17.2","-15.9"
"b_BIO14_Mean","2,321","1","-6.4","0","0.5","-7.3","-6.7","-6.4","-6.1","-5.5"
"b_BIO18_Mean","2,523","1","13.1","0","1.5","10.1","12.1","13.1","14.1","16"
"b_CWD_IDW1N10","2,673","1","1.6","0","0.6","0.5","1.2","1.6","2","2.7"
"b_RX1DAY_IDW1N10","2,388","1","18.7","0","0.9","17","18.1","18.7","19.3","20.5"
"b_WSDI_IDW1N10","2,677","1","4.7","0","0.4","3.9","4.4","4.7","4.9","5.4"
"lprior","1,808","1","-41.3","0","0.4","-42.2","-41.6","-41.3","-41.1","-40.6"
"log-posterior","1,604","1","-1500.2","0.1","2.4","-1505.6","-1501.5","-1499.8","-1498.5","-1496.5"
