"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b_Intercept","2,786","1","-23.1","0","1.7","-26.4","-24.2","-23","-21.9","-19.7"
"b_BIO03_Mean","2,195","1","-0.1","0","0","-0.1","-0.1","-0.1","-0.1","-0.1"
"b_TN10P_IDW1N10","2,697","1","1","0","0.2","0.7","0.9","1","1.1","1.3"
"b_GSL_IDW1N10","2,372","1","0","0","0","0","0","0","0","0"
"b_TNX_IDW1N10","2,806","1","0.2","0","0","0.1","0.1","0.2","0.2","0.2"
"b_ID_IDW1N10","2,695","1","-0.1","0","0","-0.1","-0.1","-0.1","-0.1","-0.1"
"b_BIO14_Mean","2,915","1","0","0","0","0","0","0","0","0"
"b_BIO18_Mean","3,750","1","0","0","0","0","0","0","0","0"
"b_CWD_IDW1N10","2,344","1","0.1","0","0","0","0","0.1","0.1","0.1"
"b_RX1DAY_IDW1N10","3,353","1","0.1","0","0","0.1","0.1","0.1","0.1","0.1"
