"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b_Intercept","2,202","1","-11.7","0","0.6","-13","-12.1","-11.7","-11.3","-10.5"
"b_BIO03_Mean","2,053","1","-8.5","0","0.6","-9.8","-9","-8.5","-8.1","-7.3"
"b_TN10P_IDW1N10","3,424","1","3.4","0","0.6","2.4","3.1","3.4","3.8","4.5"
"b_GSL_IDW1N10","1,757","1","5.1","0","0.8","3.5","4.6","5.1","5.6","6.6"
"b_TNX_IDW1N10","2,525","1","3.8","0","0.6","2.7","3.4","3.8","4.2","4.9"
"b_ID_IDW1N10","2,400","1","-14.6","0","1.4","-17.5","-15.5","-14.6","-13.6","-11.8"
"b_BIO14_Mean","2,192","1","-1.8","0","0.6","-3","-2.2","-1.8","-1.3","-0.5"
"b_BIO18_Mean","2,330","1","10.3","0","1.5","7.4","9.3","10.3","11.2","13.3"
"b_CWD_IDW1N10","2,544","1","4.8","0","0.7","3.4","4.3","4.8","5.3","6.3"
"b_RX1DAY_IDW1N10","3,043","1","16.3","0","0.8","14.9","15.8","16.3","16.8","17.9"
