"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b_Intercept","3,356","1","-0.4","0","0.1","-0.6","-0.5","-0.4","-0.3","-0.2"
"bs_sBIO03_Mean_1","5,005","1","1.9","0","0.1","1.6","1.8","1.9","2","2.2"
"bs_sTN10P_IDW1N10_1","4,555","1","-0.4","0","0.1","-0.6","-0.5","-0.4","-0.4","-0.2"
"bs_sGSL_IDW1N10_1","3,545","1","-1.5","0","0.3","-2","-1.7","-1.5","-1.3","-0.9"
"bs_sTNX_IDW1N10_1","2,703","1","-0.3","0","0.1","-0.5","-0.4","-0.3","-0.2","0"
"bs_sID_IDW1N10_1","3,049","1","3","0","0.4","2","2.7","3","3.2","3.8"
"bs_sBIO14_Mean_1","3,973","1","0.2","0","0.1","-0.1","0.1","0.2","0.2","0.4"
"bs_sBIO18_Mean_1","5,182","1","-0.6","0","0.2","-1","-0.7","-0.6","-0.5","-0.3"
"bs_sCWD_IDW1N10_1","4,872","1","-0.8","0","0.1","-1.1","-0.9","-0.8","-0.7","-0.5"
"bs_sRX1DAY_IDW1N10_1","5,156","1","-2.6","0","0.2","-2.9","-2.7","-2.6","-2.5","-2.2"
"bs_sWSDI_IDW1N10_1","6,000","1","-1","0","0.1","-1.1","-1","-1","-0.9","-0.8"
"sds_sBIO03_Mean_1","3,116","1","2.1","0","0.8","0.5","1.6","2.1","2.7","3.7"
"sds_sTN10P_IDW1N10_1","3,508","1","1.5","0","0.8","0.1","0.8","1.4","2.1","3.2"
"sds_sGSL_IDW1N10_1","6,000","1","0.9","0","0.7","0","0.4","0.8","1.3","2.5"
"sds_sTNX_IDW1N10_1","4,938","1","3.4","0","0.5","2.4","3","3.3","3.7","4.5"
"sds_sID_IDW1N10_1","2,859","1","1.7","0","1.2","0.1","0.7","1.6","2.6","4.4"
"sds_sBIO14_Mean_1","6,000","1","0.8","0","0.6","0","0.3","0.7","1.2","2.3"
"sds_sBIO18_Mean_1","6,000","1","0.8","0","0.6","0","0.3","0.7","1.2","2.3"
"sds_sCWD_IDW1N10_1","6,000","1","0.8","0","0.6","0","0.3","0.7","1.1","2.2"
"sds_sRX1DAY_IDW1N10_1","6,000","1","3.8","0","0.6","2.6","3.4","3.8","4.3","5.1"
"sds_sWSDI_IDW1N10_1","6,000","1","0.8","0","0.6","0","0.3","0.7","1.1","2.1"
"s_sBIO03_Mean_1[1]","2,621","1","4.6","0","2.4","0.2","2.9","4.6","6.3","9.6"
"s_sTN10P_IDW1N10_1[1]","3,823","1","-2.4","0","2.3","-7.9","-3.8","-1.9","-0.5","0.4"
"s_sGSL_IDW1N10_1[1]","4,730","1","-0.7","0","1.3","-4.2","-1.1","-0.3","0.1","1.1"
"s_sTNX_IDW1N10_1[1]","4,333","1","11.2","0","1.7","8","10","11.2","12.3","14.4"
