"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b_Intercept","2,334","1","-0.2","0","0.2","-0.5","-0.3","-0.2","-0.1","0.1"
"bs_sBIO08_Mean_1","3,445","1","1","0","0.1","0.8","0.9","1","1.1","1.3"
"bs_sTXX_IDW1N10_1","2,915","1","-2.4","0","0.2","-2.7","-2.5","-2.4","-2.3","-2.1"
"bs_sBIO02_Mean_1","4,738","1","1.4","0","0.1","1.2","1.3","1.4","1.4","1.6"
"bs_sTN90P_IDW1N10_1","3,516","1","1.4","0","0.1","1.2","1.3","1.4","1.5","1.6"
"bs_sID_IDW1N10_1","1,971","1","2.8","0","0.5","1.7","2.5","2.8","3.1","3.5"
"bs_sBIO14_Mean_1","4,055","1","0.5","0","0.1","0.4","0.5","0.5","0.6","0.7"
"bs_sBIO18_Mean_1","4,788","1","-1","0","0.2","-1.3","-1.1","-1","-0.9","-0.7"
"bs_sCWD_IDW1N10_1","3,512","1","-0.3","0","0.1","-0.5","-0.3","-0.3","-0.2","0"
"bs_sRX1DAY_IDW1N10_1","4,992","1","-3.2","0","0.2","-3.6","-3.4","-3.2","-3.1","-2.9"
"bs_sWSDI_IDW1N10_1","4,512","1","-1","0","0.1","-1.1","-1","-1","-0.9","-0.8"
"sds_sBIO08_Mean_1","6,000","1","0.8","0","0.6","0","0.3","0.7","1.2","2.3"
"sds_sTXX_IDW1N10_1","3,021","1","1.1","0","0.7","0.1","0.6","1.1","1.6","2.6"
"sds_sBIO02_Mean_1","3,554","1","1.1","0","0.6","0.1","0.6","1","1.5","2.5"
"sds_sTN90P_IDW1N10_1","4,221","1","5","0","0.5","4","4.6","5","5.3","6.1"
"sds_sID_IDW1N10_1","2,003","1","2.1","0","1.4","0.1","0.9","1.9","3","5"
"sds_sBIO14_Mean_1","6,000","1","0.9","0","0.7","0","0.4","0.8","1.4","2.5"
"sds_sBIO18_Mean_1","6,000","1","0.8","0","0.6","0","0.3","0.7","1.1","2.3"
"sds_sCWD_IDW1N10_1","4,819","1","1.2","0","0.8","0.1","0.5","1.1","1.7","2.9"
"sds_sRX1DAY_IDW1N10_1","4,863","1","3.9","0","0.7","2.5","3.4","3.9","4.3","5.2"
"sds_sWSDI_IDW1N10_1","6,000","1","1.7","0","0.6","0.6","1.3","1.7","2.1","3"
"s_sBIO08_Mean_1[1]","6,000","1","-0.5","0","0.9","-2.6","-0.9","-0.2","0","0.8"
"s_sTXX_IDW1N10_1[1]","3,101","1","1.3","0","1.2","-0.4","0.3","1.1","2","3.9"
"s_sBIO02_Mean_1[1]","3,436","1","1.1","0","0.9","-0.2","0.4","1","1.7","2.9"
"s_sTN90P_IDW1N10_1[1]","4,101","1","24.8","0","2","20.8","23.4","24.8","26.2","28.8"
