"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b_Intercept","3,064","1","-0.4","0","0.1","-0.6","-0.5","-0.4","-0.3","-0.2"
"bs_sBIO03_Mean_1","4,264","1","1.9","0","0.1","1.6","1.8","1.9","2","2.2"
"bs_sTN10P_IDW1N10_1","4,398","1","-0.4","0","0.1","-0.6","-0.5","-0.4","-0.4","-0.2"
"bs_sGSL_IDW1N10_1","3,879","1","-1.5","0","0.3","-2","-1.6","-1.5","-1.3","-0.9"
"bs_sTNX_IDW1N10_1","3,538","1","-0.3","0","0.1","-0.5","-0.4","-0.3","-0.2","0"
"bs_sID_IDW1N10_1","2,525","1","3","0","0.4","2.1","2.7","3","3.2","3.7"
"bs_sBIO14_Mean_1","3,631","1","0.2","0","0.1","-0.1","0.1","0.2","0.2","0.4"
"bs_sBIO18_Mean_1","5,398","1","-0.6","0","0.2","-0.9","-0.7","-0.6","-0.5","-0.3"
"bs_sCWD_IDW1N10_1","4,525","1","-0.8","0","0.1","-1.1","-0.9","-0.8","-0.7","-0.5"
"bs_sRX1DAY_IDW1N10_1","5,549","1","-2.6","0","0.2","-2.9","-2.7","-2.6","-2.5","-2.2"
"bs_sWSDI_IDW1N10_1","4,849","1","-1","0","0.1","-1.1","-1","-1","-0.9","-0.8"
"sds_sBIO03_Mean_1","2,956","1","2.1","0","0.8","0.3","1.6","2.1","2.6","3.6"
"sds_sTN10P_IDW1N10_1","3,262","1","1.5","0","0.9","0.1","0.8","1.4","2.1","3.3"
"sds_sGSL_IDW1N10_1","6,000","1","0.9","0","0.7","0","0.4","0.8","1.3","2.5"
"sds_sTNX_IDW1N10_1","5,428","1","3.4","0","0.6","2.4","3","3.3","3.7","4.5"
"sds_sID_IDW1N10_1","2,498","1","1.7","0","1.2","0.1","0.7","1.5","2.5","4.5"
"sds_sBIO14_Mean_1","6,000","1","0.8","0","0.6","0","0.3","0.7","1.2","2.3"
"sds_sBIO18_Mean_1","6,000","1","0.8","0","0.6","0","0.3","0.7","1.2","2.2"
"sds_sCWD_IDW1N10_1","6,000","1","0.8","0","0.6","0","0.3","0.7","1.1","2.2"
"sds_sRX1DAY_IDW1N10_1","6,000","1","3.9","0","0.6","2.7","3.4","3.8","4.3","5.1"
"sds_sWSDI_IDW1N10_1","6,000","1","0.8","0","0.6","0","0.3","0.7","1.2","2.1"
"s_sBIO03_Mean_1[1]","2,671","1","4.4","0","2.4","0","2.7","4.4","6.1","9.3"
"s_sTN10P_IDW1N10_1[1]","3,562","1","-2.4","0","2.3","-8","-3.8","-1.9","-0.5","0.4"
"s_sGSL_IDW1N10_1[1]","4,019","1","-0.7","0","1.3","-4.1","-1.1","-0.3","0.1","1.1"
"s_sTNX_IDW1N10_1[1]","4,199","1","11.1","0","1.6","8","10","11.1","12.2","14.2"
