"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b_Intercept","4,402","1","0","0","0.3","-0.6","-0.2","0","0.2","0.6"
"bs_sBIO08_Mean_1","6,000","1","-2.9","0.1","4.3","-11.1","-5.8","-3.1","-0.2","6.2"
"bs_sTXX_IDW1N10_1","6,000","1","6.2","0.1","5","-3.5","2.9","6.2","9.6","15.9"
"bs_sBIO02_Mean_1","6,000","1","-10","0.1","4.5","-18.6","-13","-10","-7","-0.9"
"bs_sTN90P_IDW1N10_1","6,000","1","-1.2","0.1","5","-11.1","-4.6","-1.1","2.3","8.6"
"bs_sID_IDW1N10_1","6,000","1","-0.3","0.1","5","-9.9","-3.6","-0.4","3","9.4"
"bs_sBIO14_Mean_1","6,000","1","3","0.1","4.6","-6.3","0","3.1","6.1","11.7"
"bs_sBIO18_Mean_1","6,000","1","0","0.1","5","-9.7","-3.5","-0.1","3.4","9.8"
"bs_sCWD_IDW1N10_1","6,000","1","0","0.1","5.1","-10","-3.4","0","3.3","10"
"bs_sRX1DAY_IDW1N10_1","6,000","1","1.1","0.1","5","-8.5","-2.2","1.1","4.4","11.1"
"bs_sWSDI_IDW1N10_1","6,000","1","-1.6","0.1","4.6","-10.4","-4.7","-1.6","1.5","7.2"
"sds_sBIO08_Mean_1","1,842","1","6.2","0.1","4.4","0.3","2.8","5.6","8.8","16.3"
"sds_sTXX_IDW1N10_1","2,068","1","22.4","0.1","5.8","14","18.4","21.5","25.3","36.2"
"sds_sBIO02_Mean_1","2,275","1","14.1","0.1","5","6.7","10.6","13.3","16.7","25.4"
"sds_sTN90P_IDW1N10_1","2,441","1","20.6","0.1","6.7","10.8","15.8","19.4","24.2","36.8"
"sds_sID_IDW1N10_1","2,738","1","52.3","0.4","20.2","25.3","38.3","48.5","61.5","103.3"
"sds_sBIO14_Mean_1","3,435","1","7.6","0.1","3","3.6","5.5","7","8.9","15"
"sds_sBIO18_Mean_1","2,433","1","98.6","0.6","28.1","58.8","78.8","94.1","112.5","166.6"
"sds_sCWD_IDW1N10_1","1,769","1","70.5","0.4","18.7","43.4","57.5","67.2","79.9","115.9"
"sds_sRX1DAY_IDW1N10_1","1,977","1","63.9","0.4","17.8","37.4","51.5","61.4","73.2","106.3"
"sds_sWSDI_IDW1N10_1","1,870","1","10.4","0.1","5.1","3.3","6.6","9.6","13.2","22.3"
"s_sBIO08_Mean_1[1]","6,000","1","-5.5","0.1","8.3","-27.3","-9.3","-3","0","5.3"
"s_sBIO08_Mean_1[2]","3,834","1","4.3","0.1","5","-3.3","0.7","3.3","7","16"
"s_sBIO08_Mean_1[3]","3,166","1","-2.6","0.1","3.2","-9.9","-4.6","-2.1","-0.1","2.4"
"s_sBIO08_Mean_1[4]","3,799","1","-2.1","0.1","3.2","-9.7","-4.1","-1.5","0.1","2.9"
