"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b_Intercept","4,452","1","0","0","0.3","-0.5","-0.2","0","0.2","0.5"
"bs_sBIO03_Mean_1","6,000","1","5.2","0.1","4.8","-4.3","2","5.1","8.4","14.6"
"bs_sTN10P_IDW1N10_1","6,000","1","-0.7","0.1","5","-10.4","-4","-0.7","2.8","9.4"
"bs_sGSL_IDW1N10_1","6,000","1","0.6","0.1","4.6","-8.6","-2.4","0.7","3.7","9.5"
"bs_sTNX_IDW1N10_1","6,000","1","3.7","0.1","4.9","-6.1","0.4","3.8","7.1","13.3"
"bs_sID_IDW1N10_1","6,000","1","-0.9","0.1","5.1","-10.6","-4.4","-1","2.4","9.3"
"bs_sBIO14_Mean_1","6,000","1","2.4","0.1","4.6","-6.6","-0.6","2.5","5.5","11.3"
"bs_sBIO18_Mean_1","6,000","1","-0.1","0.1","5","-9.6","-3.4","-0.1","3.2","9.9"
"bs_sCWD_IDW1N10_1","6,000","1","0.2","0.1","5.1","-9.6","-3.5","0.1","3.7","10.2"
"bs_sRX1DAY_IDW1N10_1","6,000","1","0.4","0.1","5","-9.3","-2.9","0.4","3.8","10.5"
"bs_sWSDI_IDW1N10_1","6,000","1","-0.5","0.1","4.4","-9.4","-3.4","-0.4","2.6","7.9"
"sds_sBIO03_Mean_1","2,339","1","27.7","0.2","10.1","13.4","20.5","26","33","51.8"
"sds_sTN10P_IDW1N10_1","2,835","1","19.1","0.1","7.1","7.7","14.3","18.3","23.1","35"
"sds_sGSL_IDW1N10_1","2,800","1","4.9","0","2.6","1.3","3.2","4.4","5.9","11.2"
"sds_sTNX_IDW1N10_1","2,075","1","27.4","0.2","7.7","15.9","21.9","26.2","31.5","45.6"
"sds_sID_IDW1N10_1","2,902","1","21.3","0.2","11","8.1","13.8","18.7","25.8","49.6"
"sds_sBIO14_Mean_1","3,279","1","8.8","0.1","3.1","4.5","6.6","8.3","10.3","16.3"
"sds_sBIO18_Mean_1","2,214","1","84.7","0.6","25.9","48.4","67","79.8","97.2","147.7"
"sds_sCWD_IDW1N10_1","2,421","1","58.6","0.3","16.1","34.7","47.2","56.2","67.1","97.6"
"sds_sRX1DAY_IDW1N10_1","2,484","1","39.1","0.2","11.7","22.1","30.9","37.1","45.3","67.5"
"sds_sWSDI_IDW1N10_1","3,734","1","6.4","0","2.4","3.2","4.7","5.9","7.5","12.2"
"s_sBIO03_Mean_1[1]","6,000","1","27.9","0.2","15.1","0.7","17.4","27","37.4","60.5"
"s_sBIO03_Mean_1[2]","6,000","1","16.1","0.1","5.5","5.1","12.5","16.2","19.8","26.4"
"s_sBIO03_Mean_1[3]","6,000","1","14.2","0.1","3.9","6.3","11.5","14.1","16.8","21.9"
"s_sBIO03_Mean_1[4]","6,000","1","5.8","0","3.6","-0.8","3.2","5.6","8.1","13.5"
