"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b_Intercept","6,000","1","0","0","0.3","-0.6","-0.2","0","0.2","0.6"
"bs_sBIO08_Mean_1","6,000","1","-3","0.1","4.4","-11.3","-5.9","-3.1","-0.2","6.2"
"bs_sTXX_IDW1N10_1","6,000","1","6.2","0.1","4.9","-3.3","2.9","6.2","9.6","15.8"
"bs_sBIO02_Mean_1","6,000","1","-9.9","0.1","4.6","-18.7","-13","-10","-6.9","-1"
"bs_sTN90P_IDW1N10_1","6,000","1","-1.2","0.1","5","-10.8","-4.6","-1.2","2.2","8.5"
"bs_sID_IDW1N10_1","6,000","1","-0.2","0.1","4.9","-9.9","-3.5","-0.2","3","9.3"
"bs_sBIO14_Mean_1","6,000","1","2.9","0.1","4.6","-6.1","-0.2","2.9","6","11.8"
"bs_sBIO18_Mean_1","6,000","1","-0.1","0.1","4.9","-10.1","-3.3","-0.1","3.2","9.7"
"bs_sCWD_IDW1N10_1","6,000","1","0","0.1","5.1","-10.2","-3.3","0","3.4","10.1"
"bs_sRX1DAY_IDW1N10_1","6,000","1","1.2","0.1","5.1","-8.7","-2.3","1.1","4.6","10.9"
"bs_sWSDI_IDW1N10_1","6,000","1","-1.5","0.1","4.5","-10.2","-4.6","-1.6","1.4","7.4"
"sds_sBIO08_Mean_1","1,784","1","6.3","0.1","4.4","0.3","2.9","5.6","8.8","16.6"
"sds_sTXX_IDW1N10_1","2,584","1","22.5","0.1","5.8","14.1","18.4","21.7","25.5","36.9"
"sds_sBIO02_Mean_1","2,291","1","14.1","0.1","5","6.7","10.6","13.3","16.8","25.8"
"sds_sTN90P_IDW1N10_1","2,764","1","20.7","0.1","6.7","11","16","19.5","24.2","36.5"
"sds_sID_IDW1N10_1","3,043","1","52.6","0.4","19.8","25.6","38.7","48.8","62.1","103.7"
"sds_sBIO14_Mean_1","3,451","1","7.6","0.1","3.1","3.6","5.5","7","9","15.3"
"sds_sBIO18_Mean_1","2,662","1","99.7","0.5","28.1","60","79.7","94.7","113.4","170.7"
"sds_sCWD_IDW1N10_1","2,134","1","70.4","0.4","18.9","42.9","57.3","67.4","80","115.1"
"sds_sRX1DAY_IDW1N10_1","2,061","1","64.7","0.4","18.2","38.4","52","61.5","74.1","108.9"
"sds_sWSDI_IDW1N10_1","1,836","1","10.5","0.1","5.1","3.3","6.6","9.8","13.4","22.5"
"s_sBIO08_Mean_1[1]","6,000","1","-5.4","0.1","8.4","-27.5","-9.2","-2.8","0","5.4"
"s_sBIO08_Mean_1[2]","6,000","1","4.2","0.1","4.9","-3.3","0.7","3.3","6.8","16"
"s_sBIO08_Mean_1[3]","3,469","1","-2.6","0.1","3.2","-9.5","-4.6","-2.1","-0.1","2.4"
"s_sBIO08_Mean_1[4]","3,732","1","-2.2","0.1","3.1","-9.2","-4.1","-1.6","0.1","2.7"
